_ix,high,low
MAX10x100,-0.39,1.867
MAX10x50,-1.077,0.319
MAX20x100,-1.086,1.467
MAX20x200,-0.444,-0.752
MAX20x50,-1.029,-0.675
MAX50x100,-1.678,1.178
MAX50x200,-0.072,-0.343
MAX5x20,-2.453,0.12
