_ix,high,low
RSI10,-1.162,0.005
RSI14,-0.729,-1.791
RSI21,-1.231,-1.676
RSI30,-1.028,-1.057
RSI45,-1.119,-1.838
RSI5,-2.071,-0.329
RSI60,-1.07,-0.975
RSI7,-1.452,-0.751
