_ix,high,low
RSI10,-0.664,0.1
RSI14,-0.452,-0.989
RSI21,-0.752,-0.864
RSI30,-0.646,-0.44
RSI45,-0.692,-0.817
RSI5,-1.046,-0.129
RSI60,-0.679,-0.282
RSI7,-0.773,-0.349
