ticker,cik,split_date,ratio,ratio_log10,shares_before,shares_after,filed_before,filed_after,gap_days,shares_ratio,dist_to_split,dist_to_flat,big,shares_flat,shares_followed,verdict
A,1090872,2014-11-03,1.398,0.146,338000000.0,338000000.0,2014-09-02,2014-12-22,111,1.0,0.146,0.0,False,True,True,"細幅,不判"
AAPL,320193,2014-06-09,7.0,0.845,879528000.0,6051711000.0,2014-04-24,2014-07-23,90,6.880635,0.007,0.838,False,False,True,"細幅,不判"
AAPL,320193,2020-08-31,4.0,0.602,4354788000.0,17528214000.0,2020-07-31,2020-10-30,91,4.025044,0.003,0.605,False,False,True,"細幅,不判"
ABT,1800,2013-01-02,2.084201750729471,0.319,1594279000.0,1591838000.0,2012-11-07,2013-02-15,100,0.998469,0.32,0.001,False,True,False,"細幅,不判"
ACGL,947484,2011-05-12,3.0,0.477,46820172.0,137975599.0,2011-05-09,2011-08-05,88,2.946926,0.008,0.469,False,False,True,"細幅,不判"
ACGL,947484,2018-06-21,3.0,0.477,139297934.0,413111205.0,2018-05-09,2018-08-08,91,2.965666,0.005,0.472,False,False,True,"細幅,不判"
ADP,8670,2014-10-01,1.139,0.057,483100000.0,481700000.0,2014-08-08,2014-10-30,83,0.997102,0.058,0.001,False,True,True,"細幅,不判"
AFL,4977,2018-03-19,2.0,0.301,398930000.0,783852000.0,2018-02-23,2018-05-04,70,1.964886,0.008,0.293,False,True,True,"細幅,不判"
ALK,766421,2012-03-19,2.0,0.301,36710000.0,72659000.0,2012-02-21,2012-05-03,72,1.97927,0.005,0.297,False,True,True,"細幅,不判"
ALK,766421,2014-07-10,2.0,0.301,69410618.0,138711132.0,2014-05-09,2014-08-06,89,1.998414,0.0,0.301,False,False,True,"細幅,不判"
AMCR,1748790,2026-01-15,0.2,-0.699,2315000000.0,463800000.0,2025-11-06,2026-02-04,90,0.200346,0.001,0.698,False,False,True,"細幅,不判"
AME,1037868,2010-12-22,1.5,0.176,107148000.0,160884000.0,2010-11-04,2011-02-24,112,1.501512,0.0,0.177,False,True,True,"細幅,不判"
AME,1037868,2012-07-02,1.5,0.176,162205000.0,243121000.0,2012-05-03,2012-08-02,91,1.49885,0.0,0.176,False,True,True,"細幅,不判"
AMZN,1018724,2022-06-06,20.0,1.301,509000000.0,10175000000.0,2022-04-29,2022-07-29,91,19.990177,0.0,1.301,True,False,True,屬於本公司(股數跟隨)
ANET,1596532,2021-11-18,4.0,0.602,79909000.0,319238000.0,2021-11-02,2022-02-15,105,3.995019,0.001,0.602,False,False,True,"細幅,不判"
ANET,1596532,2024-12-04,4.0,0.602,320448000.0,1281077000.0,2024-11-08,2025-02-19,103,3.997769,0.0,0.602,False,False,True,"細幅,不判"
AOS,91142,2013-05-16,2.0,0.301,93184890.0,93231908.0,2013-05-06,2013-08-05,91,1.000505,0.301,0.0,False,True,False,"細幅,不判"
AOS,91142,2016-10-06,2.0,0.301,88499360.0,176548378.0,2016-08-08,2016-11-08,92,1.994911,0.001,0.3,False,False,True,"細幅,不判"
APD,2969,2016-10-03,1.081,0.034,218500000.0,218300000.0,2016-07-29,2016-11-21,115,0.999085,0.034,0.0,False,True,True,"細幅,不判"
APH,820313,2014-10-10,2.0,0.301,160791135.0,320636405.0,2014-08-06,2014-11-05,91,1.994117,0.001,0.3,False,False,True,"細幅,不判"
APH,820313,2021-03-05,2.0,0.301,307500000.0,624100000.0,2021-02-10,2021-04-30,79,2.029593,0.006,0.307,False,False,True,"細幅,不判"
APH,820313,2024-06-12,2.0,0.301,627900000.0,1264900000.0,2024-04-26,2024-07-26,91,2.014493,0.003,0.304,False,False,True,"細幅,不判"
APTV,1521332,2017-12-05,1.193,0.077,267160000.0,267440000.0,2017-11-02,2018-02-05,95,1.001048,0.076,0.0,False,True,True,"細幅,不判"
AVGO,1730168,2024-07-15,10.0,1.0,480000000.0,4663000000.0,2024-06-13,2024-09-11,90,9.714583,0.013,0.987,True,False,True,屬於本公司(股數跟隨)
BALL,9389,2017-05-17,2.0,0.301,178967000.0,358979000.0,2017-05-08,2017-08-09,93,2.005839,0.001,0.302,False,False,True,"細幅,不判"
BAX,10456,2015-07-01,1.841,0.265,548000000.0,549000000.0,2015-05-06,2015-08-07,93,1.001825,0.264,0.001,False,True,True,"細幅,不判"
BBWI,701985,2021-08-03,1.237,0.092,284000000.0,280000000.0,2021-06-03,2021-09-02,91,0.985915,0.099,0.006,False,True,True,"細幅,不判"
BDX,10795,2022-04-01,1.025,0.011,286723000.0,287299000.0,2022-02-03,2022-05-05,91,1.002009,0.01,0.001,False,True,True,"細幅,不判"
BDX,10795,2026-02-10,1.272,0.104,285845000.0,280640000.0,2026-02-09,2026-05-07,87,0.981791,0.112,0.008,False,True,True,"細幅,不判"
BEN,38777,2013-07-26,3.0,0.477,211600000.0,634300000.0,2013-04-30,2013-07-29,90,2.997637,0.0,0.477,False,False,True,"細幅,不判"
BF-B,14693,2012-08-13,1.5,0.176,144055000.0,214798000.0,2012-06-27,2012-09-05,70,1.491083,0.003,0.174,False,True,True,"細幅,不判"
BF-B,14693,2016-08-19,2.0,0.301,204280000.0,396009000.0,2016-06-16,2016-08-31,76,1.93856,0.014,0.287,False,True,True,"細幅,不判"
BF-B,14693,2018-03-01,1.25,0.097,386627000.0,484244000.0,2017-12-06,2018-03-07,91,1.252484,0.001,0.098,False,True,True,"細幅,不判"
BKNG,1075531,2026-04-06,25.0,1.398,32639000.0,794000000.0,2026-02-18,2026-04-28,69,24.326726,0.012,1.386,True,False,True,屬於本公司(股數跟隨)
BRK-B,1067983,2010-01-21,50.0,1.699,1551727.0,1551174.0,2009-11-06,2010-03-01,115,0.999644,1.699,0.0,True,True,False,不屬於本公司(股數無跟隨)
BRO,79282,2018-03-29,2.0,0.301,138793000.0,275714000.0,2018-02-28,2018-05-10,71,1.986512,0.003,0.298,False,True,True,"細幅,不判"
BWA,908255,2013-12-17,2.0,0.301,115238000.0,231337000.0,2013-10-30,2014-02-13,106,2.007471,0.002,0.303,False,False,True,"細幅,不判"
BWA,908255,2023-07-05,1.136,0.055,234400000.0,234400000.0,2023-05-04,2023-08-02,90,1.0,0.055,0.0,False,True,True,"細幅,不判"
C,831001,2011-05-09,0.1,-1.0,29965800000.0,2997000000.0,2011-05-05,2011-08-05,92,0.100014,0.0,1.0,True,False,True,屬於本公司(股數跟隨)
CAG,23217,2016-11-10,1.285,0.109,442700000.0,441300000.0,2016-10-04,2017-01-04,92,0.996838,0.11,0.001,False,True,True,"細幅,不判"
CF,1324404,2015-06-18,5.0,0.699,48100000.0,236100000.0,2015-05-07,2015-08-06,91,4.908524,0.008,0.691,False,False,True,"細幅,不判"
CHD,313927,2011-06-02,2.0,0.301,72600000.0,145900000.0,2011-05-06,2011-08-05,91,2.009642,0.002,0.303,False,False,True,"細幅,不判"
CHD,313927,2016-09-02,2.0,0.301,130900000.0,262700000.0,2016-08-04,2016-11-03,91,2.006875,0.001,0.303,False,False,True,"細幅,不判"
CL,21665,2013-05-16,2.0,0.301,472500000.0,942300000.0,2013-04-25,2013-07-25,91,1.994286,0.001,0.3,False,False,True,"細幅,不判"
CME,1156375,2012-07-23,5.0,0.699,66370000.0,332162000.0,2012-05-08,2012-08-08,92,5.004701,0.0,0.699,False,False,True,"細幅,不判"
CMG,1058090,2024-06-26,50.0,1.699,27624000.0,1381518000.0,2024-04-25,2024-07-25,91,50.011512,0.0,1.699,True,False,True,屬於本公司(股數跟隨)
CNC,1071739,2015-02-20,2.0,0.301,60681875.0,120360212.0,2014-10-28,2015-02-23,118,1.983462,0.004,0.297,False,True,True,"細幅,不判"
CNC,1071739,2019-02-07,2.0,0.301,209522000.0,398506000.0,2018-10-23,2019-02-19,119,1.901977,0.022,0.279,False,True,True,"細幅,不判"
