horizon,ticker,t0,t0_price,peak_date,peak_price,multiple,maxdd_after_peak,today_vs_peak,chain_theme,宇宙分段,有帳目面板,t0_year,峰頂年
3y,NXH,2020-03-31,4.99,2020-08-20,122.32,24.51,-0.9699,-0.9698,,新增154,False,2020,2020
3y,OVV,2020-03-31,2.3053,2022-06-07,55.5017,24.08,-0.4713,0.1996,,新增154,False,2020,2022
3y,IONQ,2022-12-30,3.45,2025-10-13,82.09,23.79,-0.6761,-0.5398,quantum,新增154,False,2022,2025
3y,LULU,2009-02-27,2.86,2012-02-27,67.35,23.55,-0.4469,0.7814,,既有574,True,2009,2012
3y,SYRE,2023-05-31,3.25,2026-05-11,76.43,23.52,-0.1284,0.1579,,新增154,False,2023,2026
3y,LVS,2009-02-27,1.4269,2012-02-22,33.5005,23.48,-0.313,0.3131,,既有574,True,2009,2012
3y,BE,2023-08-31,14.99,2026-06-22,345.85,23.07,-0.5265,-0.3823,,新增154,False,2023,2026
3y,VRT,2023-04-28,14.8661,2026-04-24,323.3927,21.75,-0.3103,-0.2131,,既有574,True,2023,2026
3y,LITE,2023-07-31,52.36,2026-05-11,1053.09,20.11,-0.428,-0.1794,optical_cpo,既有574,True,2023,2026
3y,DDS,2020-07-31,18.1186,2023-02-07,353.8602,19.53,-0.3367,0.7688,,既有574,False,2020,2023
3y,MU,2023-06-30,62.2953,2026-06-25,1213.3734,19.48,-0.391,-0.2264,memory,既有574,True,2023,2026
3y,TECK,2009-02-27,2.5991,2011-01-12,49.5829,19.08,-0.9525,0.347,copper,新增154,False,2009,2011
3y,AMD,2015-09-30,1.72,2018-09-14,32.72,19.02,-0.4911,12.9532,semis,既有574,True,2015,2018
3y,STX,2023-06-30,57.7112,2026-06-22,1093.2605,18.94,-0.3181,-0.2564,,既有574,True,2023,2026
3y,HOOD,2022-12-30,8.14,2025-10-09,152.46,18.73,-0.5726,-0.3176,fintech|web3_crypto,既有574,True,2022,2025
3y,OKLO,2022-10-31,9.84,2025-10-14,174.14,17.7,-0.7884,-0.7787,smr_newbuild,新增154,False,2022,2025
3y,SIG,2020-03-31,6.0611,2021-11-18,103.6806,17.11,-0.5599,-0.2231,,既有574,True,2020,2021
3y,HIMS,2022-05-31,4.04,2025-02-19,68.74,17.01,-0.7888,-0.5863,glp1,新增154,False,2022,2025
3y,NFLX,2012-09-28,0.7777,2015-08-06,12.645,16.26,-0.3453,5.3907,streaming,新增154,True,2012,2015
3y,RRC,2020-03-31,2.1879,2022-06-07,35.5253,16.24,-0.3766,0.1935,,既有574,True,2020,2022
3y,GNW,2009-02-27,1.21,2010-04-23,18.96,15.67,-0.9151,-0.4765,,既有574,True,2009,2010
3y,ROKU,2018-12-31,30.64,2021-07-26,479.5,15.65,-0.9191,-0.6756,streaming,新增154,False,2018,2021
3y,UEC,2009-01-30,0.46,2010-12-02,7.17,15.59,-0.947,0.6165,uranium_power,新增154,False,2009,2010
3y,NVDA,2022-09-30,12.109,2025-09-30,186.3423,15.39,-0.1147,0.172,semis,既有574,True,2022,2025
3y,RUN,2018-01-31,6.33,2021-01-08,96.5,15.24,-0.9413,-0.9133,solar,新增154,False,2018,2021
3y,ULTA,2009-02-27,5.538,2012-02-16,83.2386,15.03,-0.1115,5.5662,,既有574,True,2009,2012
3y,WFRD,2021-01-29,6.593,2023-12-26,98.1778,14.89,-0.6097,-0.0373,oilfield_services,新增154,False,2021,2023
3y,CIEN,2023-07-31,42.2,2026-06-02,627.0,14.86,-0.4731,-0.4303,optical_cpo,既有574,True,2023,2026
3y,TWST,2018-10-31,14.0,2021-01-20,207.97,14.86,-0.9448,-0.365,,新增154,False,2018,2021
3y,MDB,2018-01-31,27.11,2020-12-22,396.0,14.61,-0.6532,0.0965,,新增154,False,2018,2020
3y,FIX,2023-05-31,146.3806,2026-05-14,2040.5032,13.94,-0.2555,-0.2433,,既有574,True,2023,2026
3y,NBR,2020-04-30,14.73,2022-04-18,200.02,13.58,-0.877,-0.5345,,既有574,True,2020,2022
3y,ANF,2022-08-31,14.39,2024-06-12,192.34,13.37,-0.6589,-0.2705,,既有574,True,2022,2024
3y,DVN,2020-03-31,5.0127,2022-10-31,66.2141,13.21,-0.6083,-0.2612,,既有574,True,2020,2022
3y,RIG,2020-10-30,0.67,2023-07-31,8.8,13.13,-0.758,-0.3233,,既有574,True,2020,2023
3y,NET,2019-10-31,16.84,2021-11-18,217.25,12.9,-0.8258,0.3142,,新增154,False,2019,2021
3y,REGN,2010-08-31,21.7745,2013-05-14,280.1562,12.87,-0.2381,1.9098,biotech,既有574,True,2010,2013
3y,SANM,2009-02-27,1.5,2010-04-26,19.22,12.81,-0.6821,8.7456,,既有574,False,2009,2010
3y,BIDU,2009-01-30,12.877,2011-07-26,164.36,12.76,-0.5341,-0.4229,china,新增154,False,2009,2011
3y,SHOP,2017-12-29,10.1,2020-12-22,127.708,12.64,-0.799,0.0948,software_cloud,新增154,False,2017,2020
3y,APA,2020-03-31,3.5508,2022-06-07,44.5687,12.55,-0.7047,-0.01,,既有574,True,2020,2022
3y,NKTR,2023-07-31,8.1,2026-04-20,100.35,12.39,-0.4397,-0.2821,,既有574,True,2023,2026
3y,TRGP,2020-03-31,6.0427,2023-03-03,73.3068,12.13,-0.1564,3.02,,既有574,True,2020,2023
3y,PBF,2020-10-30,4.1701,2023-09-28,50.2307,12.05,-0.7278,0.4929,,新增154,False,2020,2023
3y,COIN,2022-12-30,35.39,2025-07-18,419.78,11.86,-0.6639,-0.5769,web3_crypto,既有574,True,2022,2025
3y,NXE,2014-01-31,0.237,2017-01-24,2.807,11.84,-0.8058,2.5376,uranium_power,新增154,False,2014,2017
3y,ASH,2009-02-27,2.2386,2011-05-31,26.4869,11.83,-0.3718,1.8342,,既有574,False,2009,2011
3y,ETSY,2018-01-31,18.76,2021-01-19,221.31,11.8,-0.8156,-0.6284,,既有574,True,2018,2021
3y,FOSL,2009-01-30,11.54,2011-07-19,134.29,11.64,-0.9942,-0.964,,既有574,True,2009,2011
3y,KTOS,2023-01-31,11.45,2026-01-16,130.72,11.42,-0.6643,-0.6226,,新增154,False,2023,2026
3y,PTGX,2022-11-30,7.91,2025-11-26,90.07,11.39,-0.1148,0.6264,,新增154,False,2022,2025
3y,UIS,2009-02-27,3.6,2011-02-17,41.02,11.39,-0.9512,-0.9356,,既有574,False,2009,2011
3y,COHR,2023-08-31,37.63,2026-06-02,426.89,11.34,-0.4798,-0.3639,optical_cpo,既有574,True,2023,2026
3y,XYZ,2016-01-29,8.77,2018-09-28,99.01,11.29,-0.6153,-0.1984,,既有574,True,2016,2018
3y,CDE,2023-08-31,2.4073,2026-02-27,27.1195,11.27,-0.4779,-0.2551,,新增154,False,2023,2026
3y,OKTA,2017-12-29,25.61,2020-12-22,285.6,11.15,-0.8424,-0.4173,cyber,新增154,False,2017,2020
3y,VST,2022-09-30,19.8914,2025-09-22,217.0162,10.91,-0.3801,-0.3675,power_producers,既有574,True,2022,2025
3y,PENN,2020-03-31,12.65,2021-03-15,136.47,10.79,-0.9138,-0.8803,betting,既有574,True,2020,2021
3y,URI,2009-02-27,3.8988,2012-02-27,41.6356,10.68,-0.3704,22.9939,,既有574,True,2009,2012
3y,AAL,2011-12-30,4.7797,2014-12-30,50.6156,10.59,-0.8214,-0.7425,,既有574,True,2011,2014
3y,SEDG,2018-12-31,35.1,2021-11-15,368.33,10.49,-0.9716,-0.9113,solar,既有574,True,2018,2021
3y,VIAV,2009-02-27,1.57,2011-02-11,16.0182,10.2,-0.7047,1.1682,,既有574,True,2009,2011
3y,GNRC,2018-12-31,49.7,2021-11-01,505.8,10.18,-0.8375,-0.6435,,既有574,True,2018,2021
3y,RVLV,2020-03-31,8.64,2021-11-18,87.79,10.16,-0.8574,-0.747,,新增154,False,2020,2021
3y,PSNL,2023-08-31,1.82,2026-08-21,18.38,10.1,-0.0871,-0.0718,,新增154,False,2023,2026
3y,DXCM,2017-10-31,11.2425,2020-08-05,112.9475,10.05,-0.5145,-0.1972,,既有574,True,2017,2020
3y,F,2009-01-30,0.9296,2011-01-27,9.3407,10.05,-0.6852,0.4772,,既有574,True,2009,2011
5y,ENPH,2017-05-31,0.76,2021-11-19,267.74,352.29,-0.9024,-0.8677,solar,既有574,True,2017,2021
5y,MARA,2020-03-31,0.45,2021-11-09,76.09,169.09,-0.9586,-0.8656,web3_crypto,新增154,False,2020,2021
5y,EP,2017-08-31,0.2,2022-05-04,24.8,124.0,-0.902,-0.8741,,既有574,True,2017,2022
5y,QUBT,2014-12-31,0.2,2018-02-26,24.0,120.0,-0.9994,-0.6708,quantum,新增154,False,2014,2018
5y,CAR,2009-02-27,0.38,2014-02-27,45.5006,119.72,-0.8375,2.0967,,既有574,False,2009,2014
5y,CDNA,2017-04-28,0.87,2021-01-20,95.6,109.89,-0.9487,-0.4878,,新增154,False,2017,2021
5y,GME,2020-03-31,0.875,2021-01-27,86.8775,99.29,-0.8848,-0.7876,,既有574,True,2020,2021
5y,CPWR,2012-06-29,0.1269,2017-06-05,12.25,96.56,-1.0,-0.9996,,既有574,True,2012,2017
5y,RIOT,2020-03-31,0.833,2021-02-17,77.9,93.52,-0.9578,-0.7716,web3_crypto,新增154,False,2020,2021
5y,PR,2020-03-31,0.228,2024-04-09,16.4143,72.0,-0.3991,0.4493,,新增154,False,2020,2024
5y,PLUG,2017-01-31,1.06,2021-01-26,73.18,69.04,-0.9904,-0.9714,,新增154,False,2017,2021
5y,SHOP,2016-02-29,2.238,2021-02-16,147.4,65.86,-0.8258,-0.0514,software_cloud,新增154,False,2016,2021
5y,SMCI,2019-07-31,1.831,2024-03-13,118.807,64.89,-0.8484,-0.6938,,既有574,True,2019,2024
5y,AMD,2015-09-30,1.72,2020-09-01,92.18,53.59,-0.3931,3.9528,semis,既有574,True,2015,2020
5y,LEU,2018-12-31,1.69,2021-11-12,85.59,50.64,-0.7823,0.9665,uranium_power,新增154,False,2018,2021
5y,NIO,2019-10-31,1.45,2021-02-09,62.84,43.34,-0.95,-0.9354,ev,新增154,False,2019,2021
5y,LVS,2009-02-27,1.4269,2014-02-27,59.2337,41.51,-0.5351,-0.2573,,既有574,True,2009,2014
5y,MSTR,2020-03-31,11.81,2024-11-20,473.83,40.12,-0.8263,-0.7364,web3_crypto,新增154,False,2020,2024
5y,MRNA,2019-07-31,13.1,2021-08-09,484.47,36.98,-0.9538,-0.6917,,既有574,True,2019,2021
5y,CVNA,2017-05-31,2.01,2021-08-10,74.02,36.83,-0.9899,-0.0353,,既有574,True,2017,2021
5y,TRGP,2020-03-31,6.0427,2025-01-21,209.4219,34.66,-0.3161,0.4072,,既有574,True,2020,2025
5y,CLSK,2020-03-31,1.183,2021-01-07,40.39,34.14,-0.9559,-0.7262,,新增154,False,2020,2021
5y,NVDA,2019-05-31,3.3615,2024-05-29,114.6266,34.1,-0.1784,0.9053,semis,既有574,True,2019,2024
5y,TSLA,2019-05-31,12.344,2021-11-04,409.97,33.21,-0.7363,-0.1294,ev,既有574,True,2019,2021
5y,HUT,2020-03-31,2.575,2021-11-08,79.5,30.87,-0.9504,-0.0243,web3_crypto,新增154,False,2020,2021
5y,XYZ,2016-06-30,9.05,2021-02-19,276.57,30.56,-0.8582,-0.713,,既有574,True,2016,2021
