horizon,ticker,t0,t0_price,peak_date,peak_price,multiple,maxdd_after_peak,today_vs_peak,chain_theme,宇宙分段,有帳目面板,t0_year,峰頂年
5y,NOW,2016-02-29,10.998,2021-02-11,118.894,10.81,-0.4251,0.2085,software_cloud,既有574,True,2016,2021
5y,TTWO,2012-12-31,11.01,2017-11-21,119.02,10.81,-0.2889,0.8205,,新增154,True,2012,2017
5y,PENN,2020-03-31,12.65,2021-03-15,136.47,10.79,-0.9138,-0.8803,betting,既有574,True,2020,2021
5y,ZBRA,2016-06-30,50.1,2021-06-29,536.06,10.7,-0.6307,-0.3572,,既有574,True,2016,2021
5y,MPC,2020-03-31,19.5601,2024-04-05,208.6913,10.67,-0.4475,0.818,,既有574,True,2020,2024
5y,OII,2020-03-31,2.94,2024-12-02,30.58,10.4,-0.4784,0.6782,,新增154,False,2020,2024
5y,W,2016-10-31,33.33,2021-03-22,345.47,10.37,-0.9301,-0.7283,,新增154,False,2016,2021
5y,MTW,2009-03-31,2.8402,2014-03-18,29.2465,10.3,-0.7524,-0.3521,,既有574,False,2009,2014
5y,TSCO,2009-02-27,1.253,2013-12-31,12.8434,10.25,-0.3312,1.7181,,既有574,True,2009,2013
5y,VIAV,2009-02-27,1.57,2011-02-11,16.0182,10.2,-0.7047,1.1682,,既有574,True,2009,2011
5y,RVLV,2020-03-31,8.64,2021-11-18,87.79,10.16,-0.8574,-0.747,,新增154,False,2020,2021
5y,NXPI,2010-08-31,9.7623,2015-05-29,98.9007,10.13,-0.4298,1.2348,,既有574,True,2010,2015
5y,MTG,2012-08-31,0.9988,2017-07-21,10.0816,10.09,-0.5771,2.0466,,既有574,False,2012,2017
5y,F,2009-01-30,0.9296,2011-01-27,9.3407,10.05,-0.6852,0.4772,,既有574,True,2009,2011
5y,GE,2020-09-30,30.244,2025-09-23,304.0858,10.05,-0.1025,0.0876,,既有574,True,2020,2025
5y,BIIB,2010-05-28,47.43,2015-03-20,475.98,10.04,-0.7618,-0.55,biotech,既有574,True,2010,2015
