arm,horizon,start_year,n_names,median_peak_multiple,n_ge_2x,share_ge_2x,n_ge_3x,share_ge_3x,n_ge_5x,share_ge_5x,n_ge_10x,share_ge_10x
C_best_month_clean,5y,2011,550,2.834,454,0.8255,236,0.4291,61,0.1109,7,0.0127
C_best_month_clean,5y,2012,561,2.8,455,0.8111,236,0.4207,60,0.107,7,0.0125
C_best_month_clean,5y,2013,575,2.498,419,0.7287,194,0.3374,51,0.0887,7,0.0122
C_best_month_clean,5y,2014,588,2.231,366,0.6224,137,0.233,32,0.0544,6,0.0102
C_best_month_clean,5y,2015,603,2.438,398,0.66,190,0.3151,77,0.1277,18,0.0299
C_best_month_clean,5y,2016,615,2.815,468,0.761,274,0.4455,110,0.1789,31,0.0504
C_best_month_clean,5y,2017,622,2.496,429,0.6897,226,0.3633,85,0.1367,28,0.045
C_best_month_clean,5y,2018,635,2.501,452,0.7118,213,0.3354,86,0.1354,28,0.0441
C_best_month_clean,5y,2019,648,2.503,468,0.7222,245,0.3781,103,0.159,25,0.0386
C_best_month_clean,5y,2020,666,3.222,570,0.8559,366,0.5495,174,0.2613,57,0.0856
C_best_month_clean,5y,2021,686,2.186,400,0.5831,214,0.312,87,0.1268,30,0.0437
