feature,n_years,AUC_year_weighted,AUC_year_median,separation_abs
log_mcap,11,0.2178,0.229,0.2822
in_index,12,0.2678,0.2672,0.23220000000000002
in_chain,12,0.6741,0.6714,0.17410000000000003
shares_chg_12m,10,0.6658,0.6919,0.16579999999999995
cfo_positive,11,0.3409,0.3396,0.15910000000000002
capex_int_chg_36m,7,0.3669,0.3917,0.1331
rev_growth_12m,10,0.5824,0.6029,0.08240000000000003
