ticker,t0,multiple,R1_股數增發,R2_無營業額而市值高,R3_燒錢靠增發,R4_已經跑掉,R5_上市未滿兩年,R2+R4
SIG,2020-03-31,17.6,0.0,0.0,0.0,0.0,0.0,0.0
SMCI,2019-07-31,64.9,0.0,0.0,0.0,0.0,0.0,0.0
STX,2009-01-30,18.3,,,,0.0,0.0,
SW,2009-03-31,16.5,,,,,1.0,
TECK,2009-02-27,19.1,,,,0.0,0.0,
THC,2020-03-31,11.7,0.0,0.0,0.0,0.0,0.0,0.0
TPL,2020-03-31,14.6,,,,0.0,0.0,
TRGP,2020-03-31,34.7,0.0,0.0,0.0,0.0,0.0,0.0
TSCO,2009-02-27,10.3,,,,0.0,0.0,
TSLA,2019-05-31,33.2,0.0,0.0,0.0,0.0,0.0,0.0
TTWO,2012-12-31,10.8,0.0,0.0,0.0,0.0,0.0,0.0
TWST,2018-10-31,14.9,,,,,1.0,
UAA,2009-02-27,16.2,,,,0.0,0.0,
UAL,2009-06-30,15.4,,,,0.0,0.0,
UEC,2020-10-30,19.5,,,,0.0,0.0,
UIS,2009-02-27,11.4,,,,0.0,0.0,
ULTA,2009-02-27,23.7,,,,0.0,1.0,
URI,2009-03-31,22.6,,,,0.0,0.0,
VEEV,2016-02-29,13.1,0.0,0.0,0.0,0.0,0.0,0.0
VIAV,2009-02-27,10.2,,,,0.0,0.0,
VKTX,2020-03-31,20.2,,,,0.0,0.0,
VRT,2020-03-31,17.8,,,,0.0,1.0,
VST,2021-05-28,14.8,,,,0.0,0.0,
W,2016-10-31,10.4,,,,0.0,0.0,
WDC,2021-08-31,15.7,0.0,0.0,0.0,0.0,0.0,0.0
WFRD,2021-01-29,19.7,,,,,1.0,
WSM,2020-03-31,11.4,0.0,0.0,0.0,0.0,0.0,0.0
WULF,2020-03-31,12.9,,,,0.0,0.0,
WYNN,2009-03-31,17.3,,,,0.0,0.0,
XYZ,2016-06-30,30.6,,,,,1.0,
ZBRA,2016-06-30,10.7,0.0,0.0,0.0,0.0,0.0,0.0
ZS,2018-05-31,14.0,,,,,1.0,
