fallback,cadence,層,格數,有效格,平原,山脊,孤峰,普通,無效,無鄰,最優,最優參數,鄰域平均最高,層平均,高地格數
cash,monthly,fallback=cash、cadence=monthly,5,5,0,0,1,4,0,0,-0.21139362104581827,lookback_months=6、fallback=cash、cadence=monthly,-0.2950987973429817,-0.3122815706519718,2
cash,quarterly,fallback=cash、cadence=quarterly,5,5,0,0,0,5,0,0,-0.3405671720244523,lookback_months=12、fallback=cash、cadence=quarterly,-0.3405671720244523,-0.36209853150526694,0
equal,monthly,fallback=equal、cadence=monthly,5,5,0,0,1,4,0,0,-0.33480076586828733,lookback_months=12、fallback=equal、cadence=monthly,-0.33695138549156345,-0.33999272963047245,1
equal,quarterly,fallback=equal、cadence=quarterly,5,5,0,0,0,5,0,0,-0.3405671720244523,lookback_months=12、fallback=equal、cadence=quarterly,-0.3405671720244523,-0.3620985315052669,0
