lookback_months,fallback,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
1,cash,monthly,2.87872875778293,0.12374013409012963,-0.3408099251000808,0.6594982078853047,1.1214776756052127,0.6652614000174638,59.99641577060932,6.498378270254075,-0.06592953285681125,-0.014779550791990115,run-3d1679149c250ddd,409,279,2929,2015-01-02,2026-08-26,False,0.3517
1,cash,quarterly,2.3343103298631154,0.10920753979362585,-0.39470518808213484,0.711340206185567,1.473191310724184,0.5578530692617623,129.96907216494844,2.1601434005684035,-0.08046212715331502,-0.02931214508849389,run-035183127255f727,143,97,2929,2015-01-02,2026-08-26,False,0.5112
1,equal,monthly,3.631838494976381,0.14103364141409247,-0.34080992510008035,0.6761904761904762,1.1835250592784177,0.7902838207493991,64.98412698412699,6.371742567187014,-0.048636025532848404,0.0025139565319727275,run-73a484799b1d7d85,440,315,2929,2015-01-02,2026-08-26,False,0.3657
1,equal,quarterly,2.651567634257658,0.11791840920199359,-0.39470518808213473,0.7431192660550459,1.3104750840810218,0.6159381064089745,144.59633027522935,2.1913991036078713,-0.07175125774494728,-0.020601275680126152,run-2cf7b251f0fed52c,154,109,2929,2015-01-02,2026-08-26,False,0.3
3,cash,monthly,4.407126764566918,0.15633371053392953,-0.33530178243853836,0.756,1.4891510082946484,0.9352907050842129,87.684,3.4089403448121427,-0.03333595641301135,0.017814025651809784,run-4c52e2911ca0cc16,316,250,2929,2015-01-02,2026-08-26,False,0.3555
3,cash,quarterly,4.102127068435703,0.15056992887903808,-0.36732652644318764,0.7906976744186046,1.1218948001816889,0.8902170487490069,128.2906976744186,2.0966845959571785,-0.03909973806790279,0.012050243996918342,run-af5d6618874610c2,130,86,2929,2015-01-02,2026-08-26,False,0.2806
3,equal,monthly,5.034033821488515,0.16730260050943446,-0.33530178243853803,0.7659574468085106,1.4949474134389893,1.0065282095793846,88.60992907801419,3.533597529498788,-0.02236706643750641,0.02878291562731472,run-31608427bec2ef83,353,282,2929,2015-01-02,2026-08-26,False,0.2719
3,equal,quarterly,4.081977917650627,0.1501781572526939,-0.36732652644318764,0.7857142857142857,1.1266155225653323,0.8615753975230789,138.75510204081633,2.0624293987128475,-0.03949150969424697,0.011658472370574158,run-e39c7cad63ad4e4e,141,98,2929,2015-01-02,2026-08-26,False,0.3902
6,cash,monthly,5.768060309555619,0.17889297455564268,-0.21139346218326038,0.7589285714285714,1.5932339921556613,1.2381616769630448,100.70089285714286,3.227083568524782,-0.010776692391298193,0.04037328967352294,run-6d9d318722bb82d1,275,224,2929,2015-01-02,2026-08-26,False,0.2851
6,cash,quarterly,2.857011839015474,0.12319723654602432,-0.36732652644318775,0.7625,1.422277881976791,0.6470992356888597,141.125,1.7511587076503428,-0.06647243040091655,-0.015322448336095418,run-f590bff054d05009,114,80,2929,2015-01-02,2026-08-26,False,0.3304
6,equal,monthly,3.8923577450509548,0.14642006885085834,-0.34994947346600114,0.7056451612903226,1.4813791033460753,0.8209275518494394,97.9475806451613,3.352631399900387,-0.04324959809608253,0.0079003839687386,run-34dd3b96934ec922,305,248,2929,2015-01-02,2026-08-26,False,0.3538
6,equal,quarterly,2.626996979163646,0.11726900358167636,-0.36732652644318775,0.75,1.3117782393792692,0.586009811278458,164.17391304347825,1.7658915532310657,-0.07240066336526452,-0.021250681300443386,run-43c0a15499da3f28,127,92,2929,2015-01-02,2026-08-26,False,0.5376
9,cash,monthly,5.187023543073969,0.16982078242500953,-0.33910183690425144,0.7272727272727273,3.0088029790303064,1.0133999941812815,127.75909090909092,2.340958641882857,-0.019848884521931343,0.03130109754288979,run-c976fccde0e65c92,257,220,2929,2015-01-02,2026-08-26,False,0.4475
9,cash,quarterly,4.760644334271118,0.16265370077779728,-0.34056724459487453,0.759493670886076,4.35333639200451,0.9782055199363517,159.0126582278481,1.4429666258175613,-0.02701596616914359,0.02413401589567754,run-e0685486e09a4781,104,79,2929,2015-01-02,2026-08-26,False,0.4034
9,equal,monthly,4.218584339521901,0.15280694823934282,-0.33910183690425144,0.6598360655737705,2.407785594582128,0.8572073728225781,125.08196721311475,2.4530052279785086,-0.03686271870759805,0.014287263357223079,run-3f20c230bfd22e9a,284,244,2929,2015-01-02,2026-08-26,False,0.5772
