lookback_days,power,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
21,1.0,monthly,3.064115425534638,0.12826472734422167,-0.34837588765297134,0.9054820415879017,2.425929765492787,0.7540095020075513,404.04158790170135,0.6324766912706408,-0.0614049396027192,-0.010254957537898068,run-530344a1391c8d26,560,529,2929,2015-01-02,2026-08-26,False,0.5254
21,1.0,quarterly,3.099583964173391,0.1291088234638229,-0.3450344877498348,0.975,10.248679647586385,0.7599064465009642,870.53125,0.2961395328553816,-0.060560843483117965,-0.009410861418296834,run-8a4729cf248cd3cf,188,160,2929,2015-01-02,2026-08-26,False,0.3113
21,2.0,monthly,2.889261411080174,0.12400243839931924,-0.3468685695272826,0.8431734317343174,2.066574392026751,0.7352417903067737,219.9538745387454,1.1587333732662488,-0.06566722854762164,-0.014517246482800505,run-3f1c282568182d3a,560,542,2929,2015-01-02,2026-08-26,False,0.4735
21,2.0,quarterly,2.934193854000181,0.12511418961314513,-0.3415759000033356,0.9248554913294798,3.104526000220007,0.7437204623484791,496.97109826589593,0.5036516316129341,-0.06455547733379574,-0.01340549526897461,run-00a03926945e34b6,188,173,2929,2015-01-02,2026-08-26,False,0.2979
63,1.0,monthly,3.052611654112072,0.12798950918090912,-0.34771401956047054,0.9678111587982833,10.519551148395061,0.7492931285643897,861.9420600858369,0.29773064302580066,-0.06168015776603175,-0.01053017570121062,run-2b79ef2d467b21f5,560,466,2929,2015-01-02,2026-08-26,False,0.5711
63,1.0,quarterly,3.0228081198508283,0.12727314936546708,-0.34607341111767387,0.9731543624161074,19.334185185593768,0.7420167607498579,1139.4697986577182,0.22122292562353518,-0.0623965175814738,-0.011246535516652667,run-b42f882cf917f1c2,188,149,2929,2015-01-02,2026-08-26,False,0.3653
63,2.0,monthly,2.8848358559611853,0.12389230392821426,-0.345704036130995,0.8978805394990366,3.4444724570828504,0.7316760104762631,487.2697495183044,0.5095273301528256,-0.06577736301872661,-0.014627380953905478,run-457395a9d77d6f57,560,519,2929,2015-01-02,2026-08-26,False,0.6403
63,2.0,quarterly,2.823728232939339,0.12235973898572539,-0.3431806390509754,0.930635838150289,3.957639615342339,0.7175278135762101,723.4624277456647,0.3784910324316267,-0.06730992796121549,-0.016159945896394357,run-3f7c1461c58b683d,188,173,2929,2015-01-02,2026-08-26,False,0.3167
126,1.0,monthly,2.976541231707469,0.12615140751108722,-0.3474525809196537,0.9727722772277227,13.444621400763415,0.732558508937547,1221.1658415841584,0.19092471649441203,-0.06351825943585365,-0.012368277371032521,run-fc8ccef676092f97,560,404,2929,2015-01-02,2026-08-26,False,0.477
126,1.0,quarterly,3.026494417562959,0.12736201583576512,-0.3465862410781596,0.9669421487603306,23.741692715900637,0.742059616119447,1395.5785123966941,0.1492642563741757,-0.062307651111175755,-0.011157669046354624,run-db1478d84b794636,188,121,2929,2015-01-02,2026-08-26,False,0.4792
126,2.0,monthly,2.7641570306316345,0.1208440061579088,-0.3451480627529123,0.9498956158663883,3.175589167756583,0.7039133346248077,821.7202505219207,0.3060135453710778,-0.06882566078903207,-0.01767567872421094,run-d5f4b0bb40506097,560,479,2929,2015-01-02,2026-08-26,False,0.4375
126,2.0,quarterly,2.834412369249072,0.12262930184721066,-0.34400209914945945,0.9533333333333334,4.16313724915628,0.7191597479039643,1034.3333333333333,0.2348906870471716,-0.06704036509973021,-0.015890383034909084,run-3ce6942a5e02856d,188,150,2929,2015-01-02,2026-08-26,False,0.295
252,1.0,monthly,3.0924314505278607,0.1289391434560605,-0.34730238224646337,0.9673024523160763,36.49027868827873,0.7543851016441628,1364.384196185286,0.1518117271656045,-0.06073052349088037,-0.009580541426059241,run-ef909e6a5f21d7dc,560,367,2929,2015-01-02,2026-08-26,False,0.4656
252,1.0,quarterly,3.1365372435426178,0.1299811842830998,-0.3465673774078236,0.9658119658119658,47.87132942029419,0.761878147248179,1418.6239316239316,0.12809614759368337,-0.05968848266384108,-0.00853850059901995,run-368f9549a14f8f27,188,117,2929,2015-01-02,2026-08-26,False,0.3151
252,2.0,monthly,2.9729482882694476,0.1260637981479653,-0.34484517578829244,0.9672897196261683,13.346919923867773,0.7469562156386563,1084.8411214953271,0.21447053023102824,-0.06360586879897556,-0.012455886734154431,run-8af152b4b7064476,560,428,2929,2015-01-02,2026-08-26,False,0.4737
252,2.0,quarterly,3.03456072740925,0.12755621323883237,-0.3439520443204085,0.9699248120300752,21.33005888974776,0.7584838452349986,1177.2556390977443,0.1859140379142416,-0.0621134537081085,-0.01096347164328737,run-b5c17994571ff706,188,133,2929,2015-01-02,2026-08-26,False,0.3422
