window,arm,direction,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_h1,exc_spy_h2,exc_spy_pre13,exc_spy_post13,ann_turnover,pct_in_mkt,n_rebal,N,H,E,X
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=50,H=1",277,2003-07-01,2026-08-03,23.09,7.9221,-51.742,-3.329,-1.397,-3.1629,-1.378,-3.6401,-3.001,0.6414,-6.2775,2.93,72.56,146.0,,1.0,10.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=55,H=1",277,2003-07-01,2026-08-03,23.09,8.6354,-48.113,-2.6157,-1.116,-2.4497,-1.086,-2.7014,-2.5247,1.8127,-5.8777,2.8,74.37,143.0,,1.0,10.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=60,H=1",277,2003-07-01,2026-08-03,23.09,9.0661,-50.6,-2.185,-0.951,-2.0189,-0.903,-3.1981,-1.1149,1.1927,-4.6957,2.67,77.26,135.0,,1.0,10.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=65,H=1",277,2003-07-01,2026-08-03,23.09,8.2416,-48.733,-3.0096,-1.464,-2.8435,-1.397,-3.6107,-2.376,0.6781,-5.7529,2.51,80.51,135.0,,1.0,10.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=70,H=1",277,2003-07-01,2026-08-03,23.09,7.6398,-48.733,-3.6113,-1.752,-3.4453,-1.696,-5.5235,-1.5728,-1.7015,-5.0794,2.38,82.31,133.0,,1.0,10.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=75,H=1",277,2003-07-01,2026-08-03,23.09,9.0821,-49.444,-2.169,-0.981,-2.003,-0.915,-4.9946,0.8655,-1.039,-3.043,2.17,86.64,126.0,,1.0,10.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=80,H=1",277,2003-07-01,2026-08-03,23.09,10.1562,-48.871,-1.0949,-0.501,-0.9288,-0.404,-3.2316,1.183,0.1063,-2.007,1.95,89.89,117.0,,1.0,10.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=85,H=1",277,2003-07-01,2026-08-03,23.09,9.3942,-47.912,-1.8569,-1.037,-1.6908,-0.945,-2.6871,-0.9816,0.7866,-3.8349,1.68,89.89,113.0,,1.0,10.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=90,H=1",277,2003-07-01,2026-08-03,23.09,10.3128,-46.292,-0.9384,-0.555,-0.7723,-0.472,-1.823,-0.0062,1.5007,-2.7555,1.35,92.42,95.0,,1.0,10.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=10,X=95,H=1",277,2003-07-01,2026-08-03,23.09,11.4261,-44.854,0.1749,0.073,0.341,0.284,1.2085,-0.8942,2.9721,-1.8856,0.94,99.28,81.0,,1.0,10.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=50,H=1",277,2003-07-01,2026-08-03,23.09,9.485,-47.964,-1.7661,-0.83,-1.6001,-0.753,1.0579,-4.6405,4.0212,-5.9623,3.39,86.28,168.0,,1.0,15.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=55,H=1",277,2003-07-01,2026-08-03,23.09,10.6625,-42.684,-0.5886,-0.267,-0.4226,-0.168,2.3504,-3.5769,5.6142,-5.0537,3.27,86.28,166.0,,1.0,15.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=60,H=1",277,2003-07-01,2026-08-03,23.09,10.8741,-46.086,-0.3771,-0.175,-0.211,-0.064,1.7248,-2.5303,4.724,-4.0785,3.12,88.09,162.0,,1.0,15.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=65,H=1",277,2003-07-01,2026-08-03,23.09,10.4626,-46.772,-0.7885,-0.393,-0.6224,-0.28,0.8687,-2.493,3.6709,-4.0467,2.84,90.25,155.0,,1.0,15.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=70,H=1",277,2003-07-01,2026-08-03,23.09,10.5224,-45.788,-0.7287,-0.369,-0.5626,-0.255,0.3783,-1.8729,2.856,-3.3667,2.54,90.97,148.0,,1.0,15.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=75,H=1",277,2003-07-01,2026-08-03,23.09,11.9775,-47.334,0.7264,0.446,0.8924,0.601,1.2304,0.2022,3.7706,-1.5043,2.38,94.95,139.0,,1.0,15.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=80,H=1",277,2003-07-01,2026-08-03,23.09,12.6223,-47.243,1.3712,0.845,1.5373,1.026,1.8341,0.8894,2.8892,0.2595,2.11,97.11,133.0,,1.0,15.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=85,H=1",277,2003-07-01,2026-08-03,23.09,11.7665,-46.355,0.5154,0.351,0.6814,0.521,2.0006,-1.0148,2.9473,-1.2762,1.85,97.11,131.0,,1.0,15.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=90,H=1",277,2003-07-01,2026-08-03,23.09,12.4531,-45.548,1.202,0.799,1.368,1.122,2.6112,-0.2509,3.8305,-0.7222,1.45,98.56,110.0,,1.0,15.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=15,X=95,H=1",277,2003-07-01,2026-08-03,23.09,12.3342,-45.208,1.0831,0.818,1.2491,1.377,2.7624,-0.644,3.5381,-0.7172,0.93,99.28,91.0,,1.0,15.0,95.0
