組,規則,宗數,清單家數合計,實挑家數合計,逐宗中位之跨宗中位,逐宗相對大市中位之跨宗中位,逐家合池相對籃子中位,逐家勝率,逐家數,各宗勝率中位,各宗勝出宗數
(a) 新增五宗 E21–E25,(a) 清單有限暴露,5,10,10,-0.039,0.2567,-0.067,0.3,10,0.0,2
(a) 新增五宗 E21–E25,(b) 跌得最少,5,10,10,-0.0142,0.0283,-0.0898,0.2,10,0.0,2
(a) 新增五宗 E21–E25,(c) 財務簡篩,5,10,9,-0.0102,0.0283,0.0105,0.5556,9,0.5,2
(a) 新增五宗 E21–E25,(d) 低波動,5,10,10,-0.0568,0.0283,-0.0145,0.4,10,0.0,2
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,9,19,19,0.0383,0.1219,-0.009,0.4211,19,0.5,5
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,9,19,19,-0.0142,0.0283,-0.0179,0.3684,19,0.3333,4
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,9,19,18,-0.0029,0.0283,0.0018,0.5,18,0.5,4
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,9,19,19,-0.0334,0.0273,-0.0066,0.4211,19,0.3333,3
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,16,30,30,0.1306,0.097,0.0033,0.5,30,0.5834,10
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,16,30,30,0.0114,0.0243,-0.0142,0.4333,30,0.4166,8
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,16,30,29,-0.0083,-0.0819,-0.0046,0.4483,29,0.4166,6
(c) 連同 216 開發七宗共十六宗,(d) 低波動,16,30,30,-0.0301,0.0046,-0.016,0.4,30,0.3333,5
