組,規則,宗數,逐宗中位之跨宗中位
(a) 新增五宗 E21–E25,(a) 清單有限暴露,5,-0.0845
(a) 新增五宗 E21–E25,(b) 跌得最少,5,0.0197
(a) 新增五宗 E21–E25,(c) 財務簡篩,5,-0.0102
(a) 新增五宗 E21–E25,(d) 低波動,5,-0.0746
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,9,0.0407
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,9,0.0197
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,9,-0.0102
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,9,-0.0453
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,16,0.0602
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,16,0.0133
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,16,-0.0535
(c) 連同 216 開發七宗共十六宗,(d) 低波動,16,-0.0419
