組,規則,剔走事件,全組中位,其餘中位
(a) 新增五宗 E21–E25,(a) 清單有限暴露,E21,-0.039,0.2472
(a) 新增五宗 E21–E25,(a) 清單有限暴露,E22,-0.039,0.2069
(a) 新增五宗 E21–E25,(a) 清單有限暴露,E23,-0.039,-0.0793
(a) 新增五宗 E21–E25,(a) 清單有限暴露,E24,-0.039,-0.0793
(a) 新增五宗 E21–E25,(a) 清單有限暴露,E25,-0.039,0.2472
(a) 新增五宗 E21–E25,(b) 跌得最少,E21,-0.0142,0.0689
(a) 新增五宗 E21–E25,(b) 跌得最少,E22,-0.0142,0.0689
(a) 新增五宗 E21–E25,(b) 跌得最少,E23,-0.0142,-0.1021
(a) 新增五宗 E21–E25,(b) 跌得最少,E24,-0.0142,-0.1021
(a) 新增五宗 E21–E25,(b) 跌得最少,E25,-0.0142,-0.019
(a) 新增五宗 E21–E25,(c) 財務簡篩,E21,-0.0102,0.0052
(a) 新增五宗 E21–E25,(c) 財務簡篩,E22,-0.0102,-0.0459
(a) 新增五宗 E21–E25,(c) 財務簡篩,E23,-0.0102,-0.0305
(a) 新增五宗 E21–E25,(c) 財務簡篩,E24,-0.0102,-0.0459
(a) 新增五宗 E21–E25,(c) 財務簡篩,E25,-0.0102,0.0052
(a) 新增五宗 E21–E25,(d) 低波動,E21,-0.0568,-0.0162
(a) 新增五宗 E21–E25,(d) 低波動,E22,-0.0568,-0.1752
(a) 新增五宗 E21–E25,(d) 低波動,E23,-0.0568,-0.0162
(a) 新增五宗 E21–E25,(d) 低波動,E24,-0.0568,-0.1346
(a) 新增五宗 E21–E25,(d) 低波動,E25,-0.0568,-0.1752
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E21,0.0383,0.0856
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E22,0.0383,0.0856
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E23,0.0383,-0.0003
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E24,0.0383,-0.0003
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E25,0.0383,0.0856
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E17,0.0383,0.0856
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E18,0.0383,-0.0003
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E19,0.0383,0.0469
(b) 連同 218 四宗 E17–E20 共九宗,(a) 清單有限暴露,E20,0.0383,-0.0003
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E21,-0.0142,0.0689
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E22,-0.0142,0.0689
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E23,-0.0142,-0.027
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E24,-0.0142,-0.027
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E25,-0.0142,0.0561
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E17,-0.0142,0.0689
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E18,-0.0142,0.0689
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E19,-0.0142,-0.027
(b) 連同 218 四宗 E17–E20 共九宗,(b) 跌得最少,E20,-0.0142,-0.027
