ticker,market_cap
PANW,276113856964.1113
FTNT,116953951809.96725
MSFT,3646608162056.3896
PLTR,399557497098.3972
CSCO,426587887626.7797
ORCL,446184940319.00024
AVGO,1721244980487.571
ZS,26713251471.90207
ADBE,99412762985.22949
RBRK,18632521868.66137
FFIV,22582919490.35022
GEN,17897752028.45717
DT,14824363626.581299
CDNS,78292856632.90405
APP,106423965066.10165
SNPS,75748214959.03693
AKAM,15436601498.995941
ANET,239279541758.14087
CHKP,13361909473.041748
NTAP,36497597893.61359
FROG,10939292462.434296
LDOS,16329470117.400269
ACN,108852265336.91858
HO.FP,
GOOGL,4065964029410.4224
INFY,44227349780.7599
MSTR,51549283733.151855
ADSK,44209769744.87305
IBM,219889459979.28238
S,6980125147.651161
ROP,38499142135.42255
BAH,9104369900.034485
TTWO,40508378872.60164
QLYS,5799712711.815979
VRNS,5260610125.368404
CVLT,5470475022.813965
BB,4439710653.035214
4704.JP,
SAIC,5454977903.962555
OTEX.CN,
FICO,20680275980.66101
TENB,3575017162.745987
NTNX,17797901322.61673
FSLY,3655138451.385498
PTC,14071091131.756409
U,18481534271.269306
IOT,22657064732.003628
TYL,13818525515.876587
BMNR,14667450092.26765
TRMB,13245396438.44001
MANH,12017820543.947754
NTCT,2717072171.7802124
ATEN,1784729730.6403713
HUT,11144504912.067413
IDCC,8948877919.917633
ZD,1904825850.9036255
AUR,12696323699.232456
RIOT,7902952970.690107
WULF,8125704828.808422
DSGX,6134605991.120819
QBTS,6202635929.640818
ZETA,7738749422.999182
CORZ,5579988727.409363
SNAP,9117754565.339905
OTEX,5446556596.145325
CIFR,6601063522.584841
CRCL,23079932811.28231
ACIW,5212319200.661831
DBX,7658611329.052689
APPF,7275004456.420898
BSY,9384515758.120008
TTAN,5419566819.979668
BOX,4663454504.556942
MARA,4467551207.707364
YOU,4405622149.016819
RDWR,1179151389.0638351
CCC,4037558707.1541824
DLB,5880058749.052238
LIF,3422990164.927906
CLSK,3314224258.487443
PEGA,5818290903.205185
ATO.FP,
ADEA,2889891322.3362923
SPSC,2779933480.225525
ALRM,2708553292.4471283
AGYS,2988121249.581787
SOUN,2793465475.7484655
TDC,2551920049.6673584
KVYO,4813915518.106148
FIVN,2286540077.104765
RAMP,2294706530.6539536
NCNO,2279671854.970791
INTA,2925021153.015976
AVPT,2716500102.122322
PRGS,1674968557.5380783
BLKB,2028029547.8119583
ALKT,2004092680.7229233
NN,1991979361.4465618
APPN,2451096456.7760315
AI,1679345546.8538818
LSPD,1261317534.757164
VYX,1125959981.3213596
VERX,1983925821.1425018
AIP,1099041030.7200623
