ticker,name,etf,in_igv,in_cibr,igv_weight,cibr_weight,weight_sum
SAIC,Science Applications International Corporation,CIBR,0,1,0.0,0.9,0.9
ZM,ZOOM COMMUNICATIONS CLASS A,IGV,1,0,0.87,0.0,0.87
OTEX.CN,Open Text Corporation,CIBR,0,1,0.0,0.74,0.74
FICO,FAIR ISAAC,IGV,1,0,0.73,0.0,0.73
TENB,TENABLE HOLDINGS,IGV+CIBR,1,1,0.13,0.6,0.73
NTNX,NUTANIX CLASS A,IGV,1,0,0.61,0.0,0.61
FSLY,"Fastly, Inc. (Class A)",CIBR,0,1,0.0,0.57,0.57
PTC,PTC,IGV,1,0,0.52,0.0,0.52
U,UNITY SOFTWARE,IGV,1,0,0.51,0.0,0.51
IOT,SAMSARA CLASS A,IGV,1,0,0.5,0.0,0.5
TYL,TYLER TECHNOLOGIES,IGV,1,0,0.5,0.0,0.5
BMNR,BITMINE IMMERSION TECHNOLOGIES,IGV,1,0,0.48,0.0,0.48
TRMB,TRIMBLE INC,IGV,1,0,0.46,0.0,0.46
GWRE,GUIDEWIRE SOFTWARE,IGV,1,0,0.43,0.0,0.43
DOCU,DOCUSIGN,IGV,1,0,0.43,0.0,0.43
HUBS,HUBSPOT,IGV,1,0,0.42,0.0,0.42
MANH,MANHATTAN ASSOCIATES,IGV,1,0,0.42,0.0,0.42
NTCT,"NetScout Systems, Inc.",CIBR,0,1,0.0,0.41,0.41
ATEN,A10 NETWORKS,IGV+CIBR,1,1,0.06,0.3,0.36
HUT,HUT CORP,IGV,1,0,0.34,0.0,0.34
IDCC,INTERDIGITAL INC,IGV,1,0,0.3,0.0,0.3
ZD,"Ziff Davis, Inc.",CIBR,0,1,0.0,0.29,0.29
AUR,AURORA INNOVATION CLASS A,IGV,1,0,0.28,0.0,0.28
RIOT,RIOT PLATFORMS,IGV,1,0,0.24,0.0,0.24
WULF,TERAWULF,IGV,1,0,0.24,0.0,0.24
GTLB,GITLAB CLASS A,IGV,1,0,0.23,0.0,0.23
PCOR,PROCORE TECHNOLOGIES INC,IGV,1,0,0.22,0.0,0.22
DSGX,DESCARTES SYSTEMS GROUP,IGV,1,0,0.22,0.0,0.22
QBTS,D WAVE QUANTUM,IGV,1,0,0.22,0.0,0.22
ZETA,ZETA GLOBAL HOLDINGS CLASS A,IGV,1,0,0.21,0.0,0.21
PATH,UIPATH INC CLASS A,IGV,1,0,0.2,0.0,0.2
CORZ,CORE SCIENTIFIC INC,IGV,1,0,0.2,0.0,0.2
SNAP,SNAP INC CLASS A,IGV,1,0,0.2,0.0,0.2
OTEX,OPEN TEXT,IGV,1,0,0.19,0.0,0.19
CIFR,CIPHER DIGITAL INC,IGV,1,0,0.19,0.0,0.19
CRCL,CIRCLE INTERNET GROUP CLASS A,IGV,1,0,0.19,0.0,0.19
ACIW,ACI WORLDWIDE,IGV,1,0,0.18,0.0,0.18
RNG,RINGCENTRAL INC CLASS A,IGV,1,0,0.18,0.0,0.18
DBX,DROPBOX INC CLASS A,IGV,1,0,0.17,0.0,0.17
APPF,APPFOLIO CLASS A,IGV,1,0,0.17,0.0,0.17
BSY,BENTLEY SYSTEMS INC CLASS B,IGV,1,0,0.17,0.0,0.17
TTAN,SERVICETITAN CLASS A,IGV,1,0,0.16,0.0,0.16
BOX,BOX INC CLASS A,IGV,1,0,0.16,0.0,0.16
MARA,MARA HOLDINGS,IGV,1,0,0.15,0.0,0.15
BILL,BILL HOLDINGS,IGV,1,0,0.14,0.0,0.14
YOU,CLEAR SECURE CLASS A,IGV,1,0,0.14,0.0,0.14
RDWR,Radware Ltd.,CIBR,0,1,0.0,0.14,0.14
WK,WORKIVA CLASS A,IGV,1,0,0.13,0.0,0.13
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS,IGV,1,0,0.13,0.0,0.13
QTWO,Q2 HOLDINGS INC,IGV,1,0,0.13,0.0,0.13
DLB,DOLBY LABORATORIES CLASS A,IGV,1,0,0.13,0.0,0.13
LIF,LIFE360,IGV,1,0,0.12,0.0,0.12
CLSK,CLEANSPARK,IGV,1,0,0.12,0.0,0.12
PEGA,PEGASYSTEMS,IGV,1,0,0.11,0.0,0.11
ATO.FP,Atos Group,CIBR,0,1,0.0,0.11,0.11
ADEA,ADEIA,IGV,1,0,0.1,0.0,0.1
BRZE,BRAZE CLASS A,IGV,1,0,0.1,0.0,0.1
SPSC,SPS COMMERCE,IGV,1,0,0.1,0.0,0.1
ALRM,ALARM.COM HOLDINGS,IGV,1,0,0.1,0.0,0.1
AGYS,AGILYSYS INC,IGV,1,0,0.09,0.0,0.09
SOUN,SOUNDHOUND AI CLASS A,IGV,1,0,0.09,0.0,0.09
TDC,TERADATA,IGV,1,0,0.09,0.0,0.09
FRSH,FRESHWORKS CLASS A,IGV,1,0,0.09,0.0,0.09
KVYO,KLAVIYO SERIES A,IGV,1,0,0.09,0.0,0.09
FIVN,FIVE9,IGV,1,0,0.08,0.0,0.08
RAMP,LIVERAMP HOLDINGS INC,IGV,1,0,0.08,0.0,0.08
NCNO,NCINO,IGV,1,0,0.07,0.0,0.07
INTA,INTAPP,IGV,1,0,0.07,0.0,0.07
AVPT,AVEPOINT CLASS A,IGV,1,0,0.06,0.0,0.06
PRGS,PROGRESS SOFTWARE CORP,IGV,1,0,0.06,0.0,0.06
BLKB,BLACKBAUD,IGV,1,0,0.05,0.0,0.05
ALKT,ALKAMI TECHNOLOGY,IGV,1,0,0.05,0.0,0.05
BL,BLACKLINE,IGV,1,0,0.05,0.0,0.05
NN,NEXTNAV,IGV,1,0,0.05,0.0,0.05
APPN,APPIAN CORP CLASS A,IGV,1,0,0.05,0.0,0.05
AI,C3 AI CLASS A,IGV,1,0,0.05,0.0,0.05
LSPD,LIGHTSPEED COMMERCE,IGV,1,0,0.04,0.0,0.04
VYX,NCR VOYIX,IGV,1,0,0.04,0.0,0.04
PD,PAGERDUTY,IGV,1,0,0.04,0.0,0.04
VERX,VERTEX CLASS A,IGV,1,0,0.03,0.0,0.03
ASAN,ASANA CLASS A,IGV,1,0,0.03,0.0,0.03
AIP,ARTERIS INC,IGV,1,0,0.03,0.0,0.03
CXM,SPRINKLR CLASS A,IGV,1,0,0.02,0.0,0.02
