bar,rsi_kind,style,params,pair,arm_a,arm_b,agreement,jaccard,a_cagr,b_cagr,a_exc_spy,b_exc_spy,diff_exc_spy,a_exc_ew9,b_exc_ew9,diff_exc_ew9,a_t_spy,b_t_spy,N,H,E,X
1D,wilder,甲,"N=1,H=1",mult|price,mult,price,0.9602,0.6963,-3.2062,-4.7329,-11.7849,-13.3116,1.5267,-12.6622,-14.1888,1.5266,-3.232,-3.342,1.0,1,,
1D,wilder,甲,"N=2,H=1",mult|price,mult,price,0.9347,0.7439,1.0281,0.8321,-7.5506,-7.7466,0.196,-8.4279,-8.6238,0.1959,-3.004,-2.837,2.0,1,,
1D,wilder,甲,"N=3,H=1",mult|price,mult,price,0.9161,0.7764,1.4734,1.0606,-7.1053,-7.5181,0.4128,-7.9826,-8.3953,0.4127,-3.681,-3.58,3.0,1,,
1D,wilder,乙,"E=5,X=50,H=1",mult|price,mult,price,0.9538,0.6365,5.0694,6.5522,-3.5093,-2.0265,-1.4828,-4.3865,-2.9037,-1.4828,-1.232,-0.755,,1,5.0,50.0
1D,wilder,乙,"E=5,X=55,H=1",mult|price,mult,price,0.9519,0.6436,6.3305,8.0133,-2.2482,-0.5654,-1.6828,-3.1254,-1.4426,-1.6828,-0.832,-0.307,,1,5.0,55.0
1D,wilder,乙,"E=5,X=60,H=1",mult|price,mult,price,0.9488,0.6462,6.361,7.0147,-2.2177,-1.564,-0.6537,-3.095,-2.4412,-0.6538,-0.821,-0.6,,1,5.0,60.0
1D,wilder,乙,"E=5,X=65,H=1",mult|price,mult,price,0.944,0.647,6.7799,6.917,-1.7988,-1.6617,-0.1371,-2.676,-2.5389,-0.1371,-0.706,-0.629,,1,5.0,65.0
1D,wilder,乙,"E=5,X=70,H=1",mult|price,mult,price,0.9374,0.6471,7.6964,7.0034,-0.8823,-1.5753,0.693,-1.7595,-2.4525,0.693,-0.391,-0.589,,1,5.0,70.0
1D,wilder,乙,"E=5,X=75,H=1",mult|price,mult,price,0.9274,0.6451,5.8422,6.4031,-2.7365,-2.1756,-0.5609,-3.6137,-3.0528,-0.5609,-0.977,-0.736,,1,5.0,75.0
1D,wilder,乙,"E=5,X=80,H=1",mult|price,mult,price,0.9189,0.6584,5.2304,6.0438,-3.3483,-2.5349,-0.8134,-4.2255,-3.4121,-0.8134,-1.216,-0.856,,1,5.0,80.0
1D,wilder,乙,"E=5,X=85,H=1",mult|price,mult,price,0.9085,0.6763,6.445,5.0187,-2.1337,-3.56,1.4263,-3.0109,-4.4372,1.4263,-0.784,-1.238,,1,5.0,85.0
1D,wilder,乙,"E=5,X=90,H=1",mult|price,mult,price,0.8861,0.6789,7.1039,6.984,-1.4748,-1.5947,0.1199,-2.3521,-2.4719,0.1198,-0.564,-0.571,,1,5.0,90.0
1D,wilder,乙,"E=5,X=95,H=1",mult|price,mult,price,0.8529,0.7084,9.8073,8.4156,1.2286,-0.1631,1.3917,0.3514,-1.0404,1.3918,0.773,0.036,,1,5.0,95.0
1D,wilder,乙,"E=10,X=50,H=1",mult|price,mult,price,0.939,0.7133,5.4676,6.1017,-3.1111,-2.477,-0.6341,-3.9884,-3.3543,-0.6341,-1.117,-0.839,,1,10.0,50.0
1D,wilder,乙,"E=10,X=55,H=1",mult|price,mult,price,0.9363,0.7178,5.74,6.9065,-2.8387,-1.6722,-1.1665,-3.7159,-2.5494,-1.1665,-1.031,-0.57,,1,10.0,55.0
1D,wilder,乙,"E=10,X=60,H=1",mult|price,mult,price,0.9321,0.7182,5.4808,6.0004,-3.0979,-2.5783,-0.5196,-3.9752,-3.4555,-0.5197,-1.131,-0.863,,1,10.0,60.0
1D,wilder,乙,"E=10,X=65,H=1",mult|price,mult,price,0.9277,0.7224,5.9978,5.9361,-2.5809,-2.6426,0.0617,-3.4581,-3.5198,0.0617,-0.959,-0.871,,1,10.0,65.0
1D,wilder,乙,"E=10,X=70,H=1",mult|price,mult,price,0.9216,0.7244,5.9007,5.4372,-2.678,-3.1415,0.4635,-3.5552,-4.0187,0.4635,-1.003,-1.03,,1,10.0,70.0
1D,wilder,乙,"E=10,X=75,H=1",mult|price,mult,price,0.9129,0.7257,5.0371,6.1429,-3.5416,-2.4358,-1.1058,-4.4188,-3.313,-1.1058,-1.35,-0.774,,1,10.0,75.0
1D,wilder,乙,"E=10,X=80,H=1",mult|price,mult,price,0.9053,0.737,5.9421,6.1687,-2.6366,-2.41,-0.2266,-3.5139,-3.2872,-0.2267,-1.044,-0.805,,1,10.0,80.0
1D,wilder,乙,"E=10,X=85,H=1",mult|price,mult,price,0.8954,0.7504,6.9272,5.8404,-1.6515,-2.7383,1.0868,-2.5287,-3.6156,1.0869,-0.687,-0.992,,1,10.0,85.0
1D,wilder,乙,"E=10,X=90,H=1",mult|price,mult,price,0.8787,0.7584,8.2703,6.655,-0.3084,-1.9237,1.6153,-1.1857,-2.8009,1.6152,-0.114,-0.787,,1,10.0,90.0
1D,wilder,乙,"E=10,X=95,H=1",mult|price,mult,price,0.8655,0.7952,8.9561,7.2476,0.3774,-1.3311,1.7085,-0.4999,-2.2083,1.7084,0.327,-0.695,,1,10.0,95.0
1D,wilder,乙,"E=15,X=50,H=1",mult|price,mult,price,0.9331,0.7583,5.5392,6.9029,-3.0395,-1.6758,-1.3637,-3.9168,-2.553,-1.3638,-1.103,-0.584,,1,15.0,50.0
1D,wilder,乙,"E=15,X=55,H=1",mult|price,mult,price,0.9307,0.7616,5.8973,6.5499,-2.6814,-2.0288,-0.6526,-3.5586,-2.906,-0.6526,-1.01,-0.704,,1,15.0,55.0
1D,wilder,乙,"E=15,X=60,H=1",mult|price,mult,price,0.9263,0.7607,6.3121,6.3215,-2.2666,-2.2572,-0.0094,-3.1438,-3.1344,-0.0094,-0.86,-0.786,,1,15.0,60.0
1D,wilder,乙,"E=15,X=65,H=1",mult|price,mult,price,0.9225,0.7649,6.2322,6.2721,-2.3465,-2.3066,-0.0399,-3.2237,-3.1838,-0.0399,-0.904,-0.795,,1,15.0,65.0
1D,wilder,乙,"E=15,X=70,H=1",mult|price,mult,price,0.9174,0.7683,6.0579,5.6625,-2.5208,-2.9162,0.3954,-3.3981,-3.7934,0.3953,-0.987,-1.008,,1,15.0,70.0
1D,wilder,乙,"E=15,X=75,H=1",mult|price,mult,price,0.9101,0.7717,6.5185,7.2823,-2.0602,-1.2964,-0.7638,-2.9374,-2.1737,-0.7637,-0.84,-0.411,,1,15.0,75.0
1D,wilder,乙,"E=15,X=80,H=1",mult|price,mult,price,0.9032,0.7791,6.5485,6.5307,-2.0303,-2.048,0.0177,-2.9075,-2.9252,0.0177,-0.873,-0.73,,1,15.0,80.0
1D,wilder,乙,"E=15,X=85,H=1",mult|price,mult,price,0.8961,0.7918,8.4125,7.8186,-0.1662,-0.7601,0.5939,-1.0434,-1.6373,0.5939,-0.062,-0.239,,1,15.0,85.0
1D,wilder,乙,"E=15,X=90,H=1",mult|price,mult,price,0.8844,0.8027,9.2021,8.2168,0.6234,-0.3619,0.9853,-0.2538,-1.2391,0.9853,0.387,-0.102,,1,15.0,90.0
1D,wilder,乙,"E=15,X=95,H=1",mult|price,mult,price,0.8829,0.8393,8.4332,8.2308,-0.1455,-0.3479,0.2024,-1.0227,-1.2251,0.2024,-0.005,-0.163,,1,15.0,95.0
1D,wilder,乙,"E=20,X=50,H=1",mult|price,mult,price,0.9304,0.7887,4.5717,7.0844,-4.007,-1.4943,-2.5127,-4.8842,-2.3715,-2.5127,-1.536,-0.538,,1,20.0,50.0
1D,wilder,乙,"E=20,X=55,H=1",mult|price,mult,price,0.9285,0.7917,5.1925,7.3647,-3.3862,-1.214,-2.1722,-4.2634,-2.0912,-2.1722,-1.33,-0.437,,1,20.0,55.0
1D,wilder,乙,"E=20,X=60,H=1",mult|price,mult,price,0.9246,0.7923,4.1554,6.705,-4.4233,-1.8737,-2.5496,-5.3005,-2.7509,-2.5496,-1.742,-0.679,,1,20.0,60.0
