arm,bar,rsi_kind,style,best_params,best_exc_spy,best_t_spy,nb_min,nb_med,drop_med,family_med_exc,family_p10_exc,pct_positive,pct_t_gt2,pct_pos_h1,pct_pos_h2,med_h1,med_h2,n_cells
mult,1M,wilder,甲,"N=1,H=2",5.192,2.159,3.592,4.137,1.056,3.341,1.885,100.0,33.3,100.0,44.4,6.351,-0.418,9
mult_raw,1M,simple,甲,"N=2,H=1",1.311,0.964,-1.09,0.14,1.171,0.14,-0.775,77.8,0.0,100.0,0.0,2.969,-3.071,9
mult_raw,1M,wilder,甲,"N=3,H=3",1.823,1.289,1.072,1.13,0.693,0.776,0.295,88.9,0.0,100.0,11.1,3.359,-2.136,9
price,1M,simple,甲,"N=2,H=1",2.255,1.316,-1.539,-0.701,2.956,-0.701,-1.661,33.3,0.0,88.9,11.1,1.39,-2.53,9
price,1M,wilder,甲,"N=1,H=3",3.84,1.57,-0.208,0.634,3.207,0.863,-0.226,77.8,0.0,100.0,22.2,3.355,-1.84,9
mult,3M,simple,甲,"N=2,H=1",4.312,2.21,1.847,2.186,2.126,2.173,1.582,100.0,16.7,100.0,0.0,6.169,-1.128,6
mult,3M,wilder,甲,"N=1,H=1",4.027,1.625,0.233,1.692,2.335,1.292,0.141,100.0,0.0,100.0,16.7,5.43,-2.928,6
mult_raw,3M,simple,甲,"N=2,H=1",4.571,2.279,2.489,3.188,1.383,2.838,0.786,100.0,16.7,100.0,33.3,6.045,-0.606,6
mult_raw,3M,wilder,甲,"N=2,H=1",3.286,1.776,-0.316,2.247,1.039,1.312,-1.377,66.7,0.0,83.3,33.3,4.348,-1.866,6
price,3M,simple,甲,"N=3,H=1",0.939,0.827,-2.2,-1.436,2.375,-1.436,-6.796,33.3,0.0,33.3,0.0,-0.412,-4.618,6
price,3M,wilder,甲,"N=3,H=1",1.208,0.951,-1.088,-0.677,1.885,-2.056,-5.877,16.7,0.0,33.3,33.3,-1.474,-3.293,6
