window,arm,direction,bar,rsi_kind,style,params,cagr_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_pre13,exc_spy_post13,exc_spy_h1,exc_spy_h2,ann_turnover,pct_in_mkt
主窗,ey_lag,買便宜,1M,simple,甲,"N=2,H=2",13.1141,1.863,1.124,2.0291,1.4,3.5782,0.6134,1.9624,1.7585,4.41,100.0
ey_lag全期,ey_lag,買便宜,1M,simple,乙,"E=40,X=65,H=3",10.439,1.8153,1.46,1.2932,1.558,4.0459,-0.6715,4.0906,-0.666,3.45,98.49
ey_lag全期,ey_lag,買便宜,3M,wilder,乙,"E=10,X=90,H=2",10.4175,1.7877,0.991,1.2103,0.879,1.89,1.7419,1.7567,1.8167,0.59,97.27
主窗,ey_lag,買便宜,1M,simple,乙,"E=25,X=55,H=1",12.7176,1.4665,0.944,1.6325,1.281,4.8454,-0.9935,3.4099,-0.5272,5.05,93.14
ey_lag全期,ey_lag,買便宜,3M,simple,乙,"E=25,X=75,H=1",10.0219,1.3921,0.907,0.8148,0.629,1.8728,0.8944,1.636,1.1174,1.44,95.45
主窗,ey_lag,買便宜,3M,simple,乙,"E=20,X=75,H=1",12.6242,1.3552,0.804,1.4533,0.934,2.1478,0.8185,2.1044,0.5782,1.49,96.74
ey_lag全期,ey_lag,買貴,1M,simple,乙,"E=5,X=95,H=3",9.5491,0.9254,0.623,0.4033,0.438,4.1747,-2.684,4.1481,-2.5554,2.34,98.79
ey_lag全期,ey_lag,買貴,3M,simple,甲,"N=2,H=2",9.3945,0.7647,0.658,0.1873,0.562,3.4933,-2.2845,3.4026,-2.1004,1.45,98.18
主窗,ey_lag,買貴,1M,simple,乙,"E=5,X=70,H=3",11.6101,0.359,0.196,0.525,0.389,5.0374,-3.0368,4.1137,-3.4312,2.88,98.19
主窗,ey_lag,買貴,3M,simple,甲,"N=2,H=2",11.2766,0.0076,0.377,0.1057,0.534,3.1196,-2.2845,2.938,-2.9712,1.49,100.0
主窗,ey_fwd1,買貴,1M,wilder,乙,"E=40,X=90,H=3",11.1765,-0.0746,-0.083,0.0915,0.253,1.797,-1.466,1.3775,-1.5709,1.51,100.0
主窗,ey_fwd1,買貴,3M,simple,乙,"E=15,X=70,H=2",11.0451,-0.224,-0.146,-0.1258,-0.028,4.0817,-3.3761,3.1324,-3.6227,1.21,95.65
ey_lag全期,ey_lag,買貴,1M,wilder,乙,"E=40,X=95,H=1",8.3885,-0.2352,-0.158,-0.7573,-0.804,1.568,-2.2765,1.5182,-2.155,0.94,99.4
主窗,ey_fwd1,買貴,1M,simple,乙,"E=5,X=70,H=3",10.879,-0.3721,-0.238,-0.2061,-0.118,2.1273,-2.2251,1.2399,-2.0309,3.28,98.19
ey_lag全期,ey_lag,買貴,3M,wilder,乙,"E=15,X=95,H=1",8.244,-0.3858,-0.183,-0.9631,-0.575,1.2746,-2.2961,1.2693,-2.1993,0.4,98.18
ey_lag全期,ey_lag,買貴,3M,simple,乙,"E=35,X=55,H=2",8.2293,-0.4005,-0.094,-0.9778,-0.386,0.883,-1.8867,0.877,-1.8051,1.35,96.36
主窗,ey_lag,買貴,1M,wilder,乙,"E=15,X=90,H=3",10.5765,-0.6747,-0.229,-0.5086,-0.126,-0.5816,-0.7538,-0.4464,-0.9122,1.31,100.0
主窗,ey_lag,買貴,3M,wilder,乙,"E=10,X=95,H=1",10.5416,-0.7275,-0.2,-0.6293,-0.099,1.5449,-2.4432,1.1482,-2.6522,0.37,98.91
主窗,ey_fwd1,買貴,3M,wilder,乙,"E=30,X=80,H=2",10.4864,-0.7827,-0.647,-0.6845,-0.802,2.5437,-3.262,1.947,-3.5624,0.73,100.0
主窗,ey_fwd,買貴,1M,simple,乙,"E=15,X=80,H=3",10.3431,-0.908,-0.602,-0.7419,-0.549,2.9688,-3.7563,2.151,-4.0149,2.6,99.28
主窗,ey_fwd_hp,買貴,3M,simple,乙,"E=35,X=70,H=2",10.3383,-0.9307,-0.669,-0.8326,-0.676,-0.186,-1.5289,-0.3384,-1.5454,1.03,100.0
主窗,ey_fwd1,買貴,1M,simple,甲,"N=1,H=3",10.1872,-1.0639,-0.076,-0.8979,0.003,2.3222,-3.565,2.3958,-4.5653,3.27,100.0
主窗,ey_fwd_hp,買貴,1M,wilder,乙,"E=35,X=95,H=1",10.1396,-1.1115,-1.214,-0.9454,-2.093,0.7421,-2.5041,0.5334,-2.8035,0.6,100.0
ey_lag全期,ey_lag,買貴,1M,wilder,甲,"N=3,H=3",7.4456,-1.1782,-0.528,-1.7002,-0.91,0.1799,-2.7347,0.1582,-2.6454,2.03,99.09
主窗,ey_lag,買貴,3M,wilder,甲,"N=1,H=2",10.0819,-1.1871,0.04,-1.089,0.099,-1.5578,-0.9563,0.151,-2.5669,1.59,100.0
ey_lag全期,ey_lag,買貴,3M,wilder,甲,"N=2,H=1",7.4259,-1.2038,-0.295,-1.7812,-0.573,0.9088,-3.6532,1.0667,-3.6766,1.71,98.18
主窗,ey_fwd_hp,買貴,3M,wilder,乙,"E=40,X=95,H=1",9.9704,-1.2986,-1.529,-1.2005,-2.232,0.1279,-2.4183,0.0567,-2.696,0.2,100.0
ey_lag全期,ey_lag,買貴,1M,simple,甲,"N=2,H=3",7.2713,-1.3524,-0.243,-1.8745,-0.498,0.3403,-3.285,0.2037,-3.0575,2.86,99.09
主窗,ey_fwd_hp,買貴,1M,simple,乙,"E=30,X=85,H=3",9.8379,-1.4132,-1.061,-1.2472,-1.258,1.5203,-3.5944,1.0323,-3.9108,2.48,100.0
主窗,ey_fwd1,買貴,1M,wilder,甲,"N=3,H=3",9.8373,-1.4138,-0.86,-1.2478,-0.883,0.3588,-2.7514,-0.2473,-2.6189,3.09,100.0
