first_filing_year,entities
1993,3
1994,532
1995,316
1996,338
1997,120
1998,92
1999,88
2000,103
2001,74
2002,148
2003,67
2004,97
2005,114
2006,116
2007,135
2008,100
2009,91
2010,99
2011,124
2012,92
2013,128
2014,152
2015,133
2016,128
2017,171
2018,161
2019,181
2020,302
2021,362
2022,190
2023,187
2024,195
2025,114
2026,4
