ticker,t0,t0_price,multiple,mcap,mcap_src,宇宙分段,t0_year,U1 羅素2000近似(3億–50億),U2 全美小型股(<50億),U3 自定義(2億–100億)
MGM,2009-03-31,2.2007,12.18,1061555067.6079855,sec_frames(含事後)(2010),既有574,2009,False,False,False
NKTR,2013-05-31,142.05,11.45,1099612643.8137338,sec_frames(2013),既有574,2013,False,False,False
APA,2020-03-31,3.5508,12.55,1231348478.0803645,sec_frames(含事後)(2021),既有574,2020,True,True,True
AMD,2015-09-30,1.72,53.59,1338160022.2587585,panel,既有574,2015,False,False,False
TRGP,2020-03-31,6.0427,34.66,1404920500.5168915,panel,既有574,2020,False,False,False
BLDR,2020-03-31,12.23,17.26,1431215696.4302063,panel,既有574,2020,True,True,True
WYNN,2009-03-31,11.905,17.27,1475582347.98341,sec_frames(含事後)(2010),既有574,2009,False,True,False
CMG,2009-01-30,0.9552,11.45,1477952902.6477456,sec_frames(含事後)(2010),既有574,2009,True,True,True
THC,2020-03-31,14.4,11.7,1488931160.5567932,panel,既有574,2020,True,True,True
PENN,2020-03-31,12.65,10.79,1490169955.0628662,panel,既有574,2020,True,True,True
MDB,2018-01-31,27.11,21.58,1633819917.7636414,sec_frames(含事後)(2020),新增154,2018,True,True,True
TSCO,2009-02-27,1.253,10.25,1827174313.4842443,sec_frames(含事後)(2010),既有574,2009,False,False,True
REGN,2010-08-31,21.7745,26.95,1911302125.533966,sec_frames(2010),既有574,2010,True,True,True
DVN,2020-03-31,5.0127,13.21,2010086231.2316895,panel,既有574,2020,True,True,True
GNRC,2017-05-31,34.65,14.6,2180736861.932907,panel,既有574,2017,True,True,True
ATI,2021-08-31,17.86,12.98,2270006077.5756836,panel,既有574,2021,False,False,False
NXPI,2010-08-31,9.7623,10.13,2457677153.388977,sec_frames(含事後)(2011),既有574,2010,True,True,True
ZBRA,2016-06-30,50.1,10.7,2570111484.9229736,panel,既有574,2016,False,True,False
FIX,2021-07-30,73.1292,28.24,2669141417.037964,panel_ffill,既有574,2021,False,False,False
TPL,2020-03-31,39.0163,14.64,2723547266.7127075,sec_frames(2020),既有574,2020,False,False,True
VRT,2020-03-31,8.6042,17.81,2825741556.776328,sec_frames(2020),既有574,2020,False,True,False
FTI,2021-08-31,6.4937,12.28,2926052852.7259827,panel,既有574,2021,True,True,True
WSM,2020-03-31,18.7463,11.35,2970349078.845978,panel,既有574,2020,False,False,False
XYZ,2016-06-30,9.05,30.56,2998482263.195038,panel,既有574,2016,False,False,False
F,2009-01-30,0.9296,10.05,3065257410.137369,sec_frames(2009),既有574,2009,True,True,True
ZS,2018-05-31,26.26,14.04,3210288074.140831,sec_frames(2018),新增154,2018,False,False,True
BKNG,2009-01-30,2.6278,18.08,3225339942.5634146,sec_frames(含事後)(2010),既有574,2009,True,True,True
EPAM,2016-12-30,64.31,11.16,3463993708.4960938,panel_ffill,既有574,2016,True,True,True
VEEV,2016-02-29,24.29,13.1,3523580402.809143,panel,既有574,2016,True,True,True
EME,2020-10-30,66.869,11.6,3673585394.225235,panel_ffill,既有574,2020,False,False,True
CCJ,2020-10-30,9.3371,11.43,3699929734.2554846,sec_frames(2020),新增154,2020,True,True,True
DXCM,2017-10-31,11.2425,14.48,3930378106.689453,panel,既有574,2017,False,False,False
MRNA,2019-07-31,13.1,36.98,4307410942.031055,panel,既有574,2019,False,True,False
RKLB,2021-05-28,9.98,15.05,4483061263.250473,sec_frames(2021),新增154,2021,False,True,False
PWR,2020-03-31,31.2908,11.42,4616455212.76474,panel,既有574,2020,True,True,True
NBR,2020-04-30,14.73,13.58,5179318249.042511,panel,既有574,2020,False,False,False
FTNT,2016-12-30,6.024,12.21,5359492709.331512,panel_ffill,既有574,2016,True,True,True
HWM,2020-05-29,12.8842,13.18,5965372722.625732,panel_ffill,既有574,2020,False,False,False
LITE,2021-05-28,81.37,12.94,6379408215.332031,panel_ffill,既有574,2021,False,False,False
VST,2021-05-28,14.6197,14.84,7179580071.852028,panel_ffill,既有574,2021,True,True,True
CIEN,2021-05-28,52.87,11.39,8278543042.751312,panel_ffill,既有574,2021,False,True,False
NOW,2016-02-29,10.998,10.81,8562308411.425004,panel,既有574,2016,False,False,True
PLTR,2020-09-30,9.5,19.68,8601889095.0,nearest(含事後),既有574,2020,True,True,True
FLEX,2021-06-30,13.4665,12.04,9042220159.727097,panel,既有574,2021,False,True,True
APP,2021-04-30,58.01,12.65,12901920656.374603,nearest(含事後),新增154,2021,False,False,True
BIIB,2010-05-28,47.43,10.04,12934303373.222351,panel_ffill,既有574,2010,True,True,True
MPC,2020-03-31,19.5601,10.67,12987914367.675781,panel,既有574,2020,True,True,True
ANET,2020-10-30,13.0562,12.41,16565351716.003418,panel_ffill,既有574,2020,True,True,True
WDC,2021-08-31,47.5525,15.69,19439797113.14392,panel,既有574,2021,False,False,False
TSLA,2019-05-31,12.344,33.21,32030642883.65364,panel,既有574,2019,True,True,True
GE,2020-09-30,30.244,10.05,53095398679.41855,panel,既有574,2020,True,True,True
DELL,2021-08-31,44.8727,11.02,69233424893.40973,panel,既有574,2021,True,True,True
MU,2021-08-31,71.8676,16.88,82288410148.6206,panel,既有574,2021,True,True,True
NVDA,2019-05-31,3.3615,34.1,82827901077.27051,panel,既有574,2019,True,True,True
AVGO,2020-10-30,31.0728,12.35,131127118072.50977,panel_ffill,既有574,2020,False,False,True
QUBT,2014-12-31,0.2,120.0,,未知,新增154,2014,False,True,False
SHOP,2016-02-29,2.238,65.86,,未知,新增154,2016,True,True,True
NIO,2019-10-31,1.45,43.34,,未知,新增154,2019,True,True,True
MSTR,2020-03-31,11.81,40.12,,未知,新增154,2020,True,True,True
CVNA,2017-05-31,2.01,36.83,,未知,既有574,2017,False,False,False
HUT,2020-03-31,2.575,30.87,,未知,新增154,2020,False,False,True
