symbol,snapshot,quarter,then_est,now_est,then_act,now_act,raw,verdict
ANET,20180515085500,2017-03-31,0.86,0.05,0.93,0.06,REWRITTEN,precision_lost
ANET,20180515085500,2017-06-30,0.95,0.06,1.34,0.08,REWRITTEN,precision_lost
ANET,20180515085500,2017-09-30,1.19,0.07,1.62,0.1,REWRITTEN,precision_lost
ANET,20180515085500,2017-12-31,1.41,0.09,,,split-rescaled,precision_lost
ANET,20190216212541,2018-03-31,1.51,0.09,,,split-rescaled,precision_lost
ANET,20190216212541,2018-06-30,1.7,0.11,1.93,0.12,REWRITTEN,split_rescaled
ANET,20190216212541,2018-09-30,1.84,0.12,2.11,0.13,REWRITTEN,split_rescaled
ANET,20190216212541,2018-12-31,2.07,0.13,,,split-rescaled,split_rescaled
ANET,20190925033429,2018-09-30,1.84,0.12,2.11,0.13,REWRITTEN,split_rescaled
ANET,20190925033429,2018-12-31,2.06,0.13,,,split-rescaled,split_rescaled
ANET,20190925033429,2019-03-31,2.07,0.13,2.31,0.14,REWRITTEN,split_rescaled
ANET,20190925033429,2019-06-30,2.2,0.14,2.44,0.15,REWRITTEN,split_rescaled
ANET,20221101102341,2021-12-31,0.73,0.18,0.82,0.21,REWRITTEN,split_rescaled
ANET,20221101102341,2022-03-31,0.81,0.2,,,split-rescaled,split_rescaled
ANET,20221101102341,2022-06-30,0.91,0.23,,,split-rescaled,split_rescaled
ANET,20221101102341,2022-09-30,1.04,0.26,,,split-rescaled,split_rescaled
GNRC,20221129041712,2022-03-31,1.94,1.92,,,split-rescaled,split_rescaled
HLT,20210624104008,2020-09-30,-0.02,-0.04,0.06,0.06,REWRITTEN,precision_lost
HLT,20210624104008,2021-03-31,0.08,0.1,0.02,0.02,REWRITTEN,precision_lost
ISRG,20200527084139,2019-06-30,2.87,0.96,,,split-rescaled,split_rescaled
ISRG,20200527084139,2019-09-30,2.99,1.0,,,split-rescaled,split_rescaled
ISRG,20200527084139,2019-12-31,3.38,1.13,,,split-rescaled,split_rescaled
ISRG,20200527084139,2020-03-31,2.54,0.85,,,split-rescaled,split_rescaled
LLY,20190914051042,2019-03-31,1.31,1.33,,,split-rescaled,split_rescaled
LLY,20200414050646,2019-03-31,1.31,1.33,,,split-rescaled,split_rescaled
LLY,20210715053419,2020-06-30,1.56,1.6,1.89,1.89,REWRITTEN,rewritten
LLY,20210715053419,2020-12-31,2.35,2.39,,,split-rescaled,split_rescaled
LLY,20210715053419,2021-03-31,2.12,2.1,,,split-rescaled,split_rescaled
LLY,20210802122018,2020-06-30,1.56,1.6,1.89,1.89,REWRITTEN,rewritten
LLY,20210802122018,2020-12-31,2.35,2.39,,,split-rescaled,split_rescaled
LLY,20210802122018,2021-03-31,2.12,2.1,,,split-rescaled,split_rescaled
MAS,20200420171527,2019-09-30,0.69,0.66,0.68,0.68,REWRITTEN,rewritten
