period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,1.97656,1.93,2.07,1.85,28,0.0684,USD
+1q,2.90859,2.51,3.42,2.84,22,0.0242,USD
0y,8.81249,8.28,8.94,7.46,37,0.18129998,USD
+1y,9.53127,8.24,10.67,8.81249,39,0.081599995,USD
