symbol,report_date,eps,tailing_eps,update_time
AXTI,1998-03-31,0.1,0.1,2026-05-16
AXTI,1998-06-30,0.1,0.2,2026-05-16
AXTI,1998-09-30,0.1,0.3,2026-05-16
AXTI,1998-12-31,0.11,0.41,2026-05-16
AXTI,1999-03-31,0.12,0.43,2026-05-16
AXTI,1999-06-30,-0.001,0.329,2026-05-16
AXTI,1999-09-30,0.14,0.369,2026-05-16
AXTI,1999-12-31,-0.18,0.079,2026-05-16
AXTI,2000-03-31,0.1,0.059,2026-05-16
AXTI,2000-06-30,0.12,0.18,2026-05-16
AXTI,2000-09-30,0.14,0.18,2026-05-16
AXTI,2000-12-31,0.8173,1.1773,2026-05-16
AXTI,2001-03-31,0.22,1.2973,2026-05-16
AXTI,2001-06-30,0.23,1.4073,2026-05-16
AXTI,2001-09-30,-0.06,1.2073,2026-05-16
AXTI,2001-12-31,-0.62,-0.23,2026-05-16
AXTI,2002-03-31,-0.16,-0.61,2026-05-16
AXTI,2002-06-30,-1.4,-2.24,2026-05-16
AXTI,2002-09-30,-1.28,-3.46,2026-05-16
AXTI,2002-12-31,-0.79,-3.63,2026-05-16
AXTI,2003-03-31,-0.19,-3.66,2026-05-16
AXTI,2003-06-30,-0.17,-2.43,2026-05-16
AXTI,2003-09-30,-0.11,-1.26,2026-05-16
AXTI,2003-12-31,-0.09,-0.56,2026-05-16
AXTI,2004-03-31,-0.11,-0.48,2026-05-16
AXTI,2004-06-30,-0.17,-0.48,2026-05-16
AXTI,2004-09-30,-0.22,-0.59,2026-05-16
AXTI,2004-12-31,-0.12,-0.62,2026-05-16
AXTI,2005-03-31,-0.2,-0.71,2026-05-16
AXTI,2005-06-30,-0.14,-0.68,2026-05-16
AXTI,2005-09-30,-0.1,-0.56,2026-05-16
AXTI,2005-12-31,-0.11,-0.55,2026-05-16
AXTI,2006-03-31,-0.1,-0.45,2026-05-16
AXTI,2006-06-30,-0.04,-0.35,2026-05-16
AXTI,2006-09-30,0.02,-0.23,2026-05-16
AXTI,2006-12-31,0.13,0.01,2026-05-16
AXTI,2007-03-31,0.04,0.15,2026-05-16
AXTI,2007-06-30,0.04,0.23,2026-05-16
AXTI,2007-09-30,0.03,0.24,2026-05-16
AXTI,2007-12-31,0.06,0.17,2026-05-16
AXTI,2008-03-31,0.06,0.19,2026-05-16
AXTI,2008-06-30,0.02,0.17,2026-05-16
AXTI,2008-09-30,-0.03,0.11,2026-05-16
AXTI,2008-12-31,-0.08,-0.03,2026-05-16
AXTI,2009-03-31,-0.18,-0.27,2026-05-16
AXTI,2009-06-30,-0.04,-0.33,2026-05-16
AXTI,2009-09-30,0.07,-0.23,2026-05-16
AXTI,2009-12-31,0.09,-0.06,2026-05-16
AXTI,2010-03-31,0.08,0.2,2026-05-16
AXTI,2010-06-30,0.17,0.41,2026-05-16
AXTI,2010-09-30,0.17,0.51,2026-05-16
AXTI,2010-12-31,0.15,0.57,2026-05-16
AXTI,2011-03-31,0.13,0.62,2026-05-16
AXTI,2011-06-30,0.21,0.66,2026-05-16
AXTI,2011-09-30,0.2,0.69,2026-05-16
AXTI,2011-12-31,0.08,0.62,2026-05-16
AXTI,2012-03-31,0.05,0.54,2026-05-16
AXTI,2012-06-30,0.04,0.37,2026-05-16
AXTI,2012-09-30,0.03,0.2,2026-05-16
AXTI,2012-12-31,-0.02,0.1,2026-05-16
AXTI,2013-03-31,-0.08,-0.03,2026-05-16
AXTI,2013-06-30,-0.06,-0.13,2026-05-16
AXTI,2013-09-30,-0.07,-0.23,2026-05-16
AXTI,2013-12-31,-0.04,-0.25,2026-05-16
AXTI,2014-03-31,-0.06,-0.23,2026-05-16
AXTI,2014-06-30,0.01,-0.16,2026-05-16
AXTI,2014-09-30,0.02,-0.07,2026-05-16
AXTI,2014-12-31,-0.01,-0.04,2026-05-16
AXTI,2015-03-31,-0.03,-0.01,2026-05-16
AXTI,2015-06-30,-0.0015,-0.0215,2026-05-16
AXTI,2015-09-30,-0.0001,-0.0416,2026-05-16
AXTI,2015-12-31,-0.04,-0.0716,2026-05-16
AXTI,2016-03-31,-0.0001,-0.0417,2026-05-16
AXTI,2016-06-30,0.03,-0.0102,2026-05-16
AXTI,2016-09-30,0.07,0.0599,2026-05-16
AXTI,2016-12-31,0.06,0.1599,2026-05-16
AXTI,2017-03-31,0.02,0.18,2026-05-16
AXTI,2017-06-30,0.05,0.2,2026-05-16
AXTI,2017-09-30,0.11,0.24,2026-05-16
AXTI,2017-12-31,0.08,0.26,2026-05-16
AXTI,2018-03-31,0.07,0.31,2026-05-16
AXTI,2018-06-30,0.1,0.36,2026-05-16
AXTI,2018-09-30,0.0966,0.3466,2026-05-16
AXTI,2018-12-31,-0.0282,0.2384,2026-05-16
AXTI,2019-03-31,-0.0292,0.1392,2026-05-16
AXTI,2019-06-30,0.0351,0.0743,2026-05-16
AXTI,2019-09-30,-0.0239,-0.0462,2026-05-16
AXTI,2019-12-31,-0.0528,-0.0708,2026-05-16
AXTI,2020-03-31,-0.0056,-0.0472,2026-05-16
AXTI,2020-06-30,0.0078,-0.0745,2026-05-16
AXTI,2020-09-30,0.0231,-0.0275,2026-05-16
AXTI,2020-12-31,0.048,0.0733,2026-05-16
AXTI,2021-03-31,0.0791,0.158,2026-05-16
AXTI,2021-06-30,0.1016,0.2518,2026-05-16
AXTI,2021-09-30,0.088,0.3167,2026-05-16
AXTI,2021-12-31,0.0683,0.337,2026-05-16
AXTI,2022-03-31,0.0732,0.3311,2026-05-16
AXTI,2022-06-30,0.1294,0.3589,2026-05-16
AXTI,2022-09-30,0.133,0.4039,2026-05-16
