quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-09-30,-0.12,-0.12952,0.01,0.0735
2025-12-31,-0.06,-0.10704,0.05,0.4395
2026-03-31,-0.18,-0.10333,-0.08,-0.742
2026-06-30,-0.07,-0.08,0.01,0.125
