period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,3.3013,3.25,3.37,2.92,14,0.1306,USD
+1q,3.11192,2.90194,3.26,2.29,13,0.35889998,USD
0y,13.95039,13.75078,14.14,12.51,15,0.115100004,USD
+1y,14.95006,13.50296,15.57,13.95039,15,0.0717,USD
