quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-09-30,-0.03,-0.118,0.09,0.7458
2025-12-31,-0.05,-0.058,0.008,0.1379
2026-03-31,-0.01,-0.046,0.04,0.78260005
2026-06-30,0.19,0.072,0.12,1.6389
