period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,3.3013,3.3013,3.53783,3.54644,3.54105,USD
+1q,3.11192,3.11192,2.84359,2.84271,2.83809,USD
0y,13.95039,13.95039,13.68308,13.66603,13.64803,USD
+1y,14.95006,14.95006,14.54379,14.52439,14.51506,USD
