period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,1.97656,1.97549,2.01755,2.00801,2.00767,USD
+1q,2.90859,2.90495,2.96466,2.94699,2.94699,USD
0y,8.81249,8.80708,8.7676,8.75958,8.75324,USD
+1y,9.53127,9.53948,9.7111,9.67425,9.65098,USD
