symbol,report_date,ttm_eps,prev_year_ttm_eps,yoy_growth
AAPL,1993-12-31,0.003,,
AAPL,1994-03-31,0.0134,,
AAPL,1994-06-30,0.0238,,
AAPL,1994-09-30,0.0325,,
AAPL,1994-12-31,0.0433,0.003,13.4333
AAPL,1995-03-31,0.0383,0.0134,1.8582
AAPL,1995-06-30,0.0354,0.0238,0.4874
AAPL,1995-09-30,0.0311,0.0325,-0.0431
AAPL,1995-12-31,0.0123,0.0433,-0.7159
AAPL,1996-03-31,-0.0465,0.0383,-2.2141
AAPL,1996-06-30,-0.0563,0.0354,-2.5904
AAPL,1996-09-30,-0.0589,0.0311,-2.8939
AAPL,1996-12-31,-0.0625,0.0123,-6.0813
AAPL,1997-03-31,-0.0595,-0.0465,-0.2796
AAPL,1997-06-30,-0.0611,-0.0563,-0.0853
AAPL,1997-09-30,-0.0743,-0.0589,-0.2615
AAPL,1997-12-31,-0.0627,-0.0625,-0.0032
AAPL,1998-03-31,-0.0089,-0.0595,0.8504
AAPL,1998-06-30,0.0008,-0.0611,1.0131
AAPL,1998-09-30,0.0183,-0.0743,1.2463
AAPL,1998-12-31,0.0238,-0.0627,1.3796
AAPL,1999-03-31,0.0279,-0.0089,4.1348
AAPL,1999-06-30,0.0328,0.0008,40.0
AAPL,1999-09-30,0.0323,0.0183,0.765
AAPL,1999-12-31,0.033,0.0238,0.3866
AAPL,2000-03-31,0.0369,0.0279,0.3226
AAPL,2000-06-30,0.036,0.0328,0.0976
AAPL,2000-09-30,0.0388,0.0323,0.2012
AAPL,2000-12-31,0.0192,0.033,-0.4182
AAPL,2001-03-31,0.0099,0.0369,-0.7317
AAPL,2001-06-30,0.0031,0.036,-0.9139
AAPL,2001-09-30,-0.0019,0.0388,-1.049
AAPL,2001-12-31,0.0105,0.0192,-0.4531
AAPL,2002-03-31,0.0104,0.0099,0.0505
AAPL,2002-06-30,0.009,0.0031,1.9032
AAPL,2002-09-30,0.0034,-0.0019,2.7895
AAPL,2002-12-31,0.001,0.0105,-0.9048
AAPL,2003-03-31,-0.0003,0.0104,-1.0288
AAPL,2003-06-30,-0.001,0.009,-1.1111
AAPL,2003-09-30,0.0032,0.0034,-0.0588
AAPL,2003-12-31,0.0066,0.001,5.6
AAPL,2004-03-31,0.008,-0.0003,27.6667
AAPL,2004-06-30,0.0099,-0.001,10.9
AAPL,2004-09-30,0.0125,0.0032,2.9062
AAPL,2004-12-31,0.022,0.0066,2.3333
AAPL,2005-03-31,0.032,0.008,3.0
AAPL,2005-06-30,0.0424,0.0099,3.2828
AAPL,2005-09-30,0.0553,0.0125,3.424
AAPL,2005-12-31,0.066,0.022,2.0
AAPL,2006-03-31,0.0707,0.032,1.2094
AAPL,2006-06-30,0.0767,0.0424,0.809
AAPL,2006-09-30,0.0813,0.0553,0.4702
AAPL,2006-12-31,0.0988,0.066,0.497
AAPL,2007-03-31,0.1131,0.0707,0.5997
AAPL,2007-06-30,0.1267,0.0767,0.6519
AAPL,2007-09-30,0.1407,0.0813,0.7306
AAPL,2007-12-31,0.1629,0.0988,0.6488
AAPL,2008-03-31,0.1732,0.1131,0.5314
AAPL,2008-06-30,0.1828,0.1267,0.4428
AAPL,2008-09-30,0.1917,0.1407,0.3625
AAPL,2008-12-31,0.1924,0.1629,0.1811
AAPL,2009-03-31,0.1985,0.1732,0.1461
AAPL,2009-06-30,0.2044,0.1828,0.1182
AAPL,2009-09-30,0.2244,0.1917,0.1706
AAPL,2009-12-31,0.2919,0.1924,0.5172
AAPL,2010-03-31,0.3633,0.1985,0.8302
AAPL,2010-06-30,0.4403,0.2044,1.1541
AAPL,2010-09-30,0.541,0.2244,1.4109
AAPL,2010-12-31,0.6395,0.2919,1.1908
AAPL,2011-03-31,0.7492,0.3633,1.0622
AAPL,2011-06-30,0.9022,0.4403,1.0491
AAPL,2011-09-30,0.9883,0.541,0.8268
AAPL,2011-12-31,1.2541,0.6395,0.9611
AAPL,2012-03-31,1.4648,0.7492,0.9552
AAPL,2012-06-30,1.5193,0.9022,0.684
AAPL,2012-09-30,1.5771,0.9883,0.5958
AAPL,2012-12-31,1.5749,1.2541,0.2558
AAPL,2013-03-31,1.496,1.4648,0.0213
AAPL,2013-06-30,1.4298,1.5193,-0.0589
AAPL,2013-09-30,1.4152,1.5771,-0.1027
AAPL,2013-12-31,1.4399,1.5749,-0.0857
AAPL,2014-03-31,1.4945,1.496,-0.001
AAPL,2014-06-30,1.5479,1.4298,0.0826
AAPL,2014-09-30,1.6079,1.4152,0.1362
AAPL,2014-12-31,1.855,1.4399,0.2883
AAPL,2015-03-31,2.0225,1.4945,0.3533
AAPL,2015-06-30,2.165,1.5479,0.3987
AAPL,2015-09-30,2.3,1.6079,0.4304
AAPL,2015-12-31,2.355,1.855,0.2695
AAPL,2016-03-31,2.2475,2.0225,0.1112
AAPL,2016-06-30,2.14,2.165,-0.0115
AAPL,2016-09-30,2.0675,2.3,-0.1011
AAPL,2016-12-31,2.0875,2.355,-0.1136
AAPL,2017-03-31,2.1375,2.2475,-0.0489
AAPL,2017-06-30,2.2,2.14,0.028
AAPL,2017-09-30,2.3,2.0675,0.1125
AAPL,2017-12-31,2.4325,2.0875,0.1653
AAPL,2018-03-31,2.59,2.1375,0.2117
AAPL,2018-06-30,2.7575,2.2,0.2534
AAPL,2018-09-30,2.9675,2.3,0.2902
AAPL,2018-12-31,3.0407,2.4325,0.25
AAPL,2019-03-31,2.9731,2.59,0.1479
AAPL,2019-06-30,2.9338,2.7575,0.0639
AAPL,2019-09-30,2.9632,2.9675,-0.0014
AAPL,2019-12-31,3.1654,3.0407,0.041
AAPL,2020-03-31,3.189,2.9731,0.0726
AAPL,2020-06-30,3.2893,2.9338,0.1212
AAPL,2020-09-30,3.2668,2.9632,0.1025
AAPL,2020-12-31,3.6991,3.1654,0.1686
AAPL,2021-03-31,4.4564,3.189,0.3974
AAPL,2021-06-30,5.1061,3.2893,0.5523
AAPL,2021-09-30,5.6071,3.2668,0.7164
AAPL,2021-12-31,6.0232,3.6991,0.6283
AAPL,2022-03-31,6.1521,4.4564,0.3805
AAPL,2022-06-30,6.0519,5.1061,0.1852
AAPL,2022-09-30,6.102,5.6071,0.0883
AAPL,2022-12-31,5.8858,6.0232,-0.0228
AAPL,2023-03-31,5.8857,6.1521,-0.0433
AAPL,2023-06-30,5.9505,6.0519,-0.0168
AAPL,2023-09-30,6.1297,6.102,0.0045
AAPL,2023-12-31,6.427,5.8858,0.092
AAPL,2024-03-31,6.4308,5.8857,0.0926
AAPL,2024-06-30,6.5679,5.9505,0.1038
AAPL,2024-09-30,6.07,6.1297,-0.0097
AAPL,2024-12-31,6.2905,6.427,-0.0212
AAPL,2025-03-31,6.4079,6.4308,-0.0036
AAPL,2025-06-30,6.5782,6.5679,0.0016
AAPL,2025-09-30,7.4593,6.07,0.2289
AAPL,2025-12-31,7.9038,6.2905,0.2565
AAPL,2026-03-31,8.2666,6.4079,0.2901
AAPL,2026-06-30,8.7233,6.5782,0.3261
