quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-09-30,2.92,2.36028,0.56,0.23709999
2025-12-31,2.29,1.91358,0.38,0.1967
2026-03-31,2.99,2.78924,0.2,0.072
2026-06-30,4.55,4.34798,0.2,0.0465
