trade_date,entity_id,side,shares,price
2022-10-03,10,buy,145.48385456205327,343.68074829
2022-10-03,20,buy,190.07627557981652,263.0522922836
2022-11-01,10,sell,2.3081899394117045,371.3404256632
2022-11-01,20,buy,3.1145028190557014,275.2041929031
2022-12-01,10,sell,0.3039097413748948,389.0726389225
2022-12-01,20,buy,0.4118218904241928,287.1216120862
2023-01-03,10,sell,2.094533403105629,367.528382654
2023-01-03,20,buy,2.9239923083592885,263.2703485086
2023-02-01,10,buy,2.7821447523907636,387.4552892384
2023-02-01,20,sell,3.736229212260497,288.5146061712
2023-03-01,10,buy,1.4916742715200542,378.0846868267
2023-03-01,20,sell,1.9624341292114593,287.3875822888
