date,engine,hand,abs_diff,rel_diff
2022-06-01,1000000.0,1000000.0,0.0,0.0
2022-06-02,1000000.0,1000000.0,0.0,0.0
2022-06-03,1000000.0,1000000.0,0.0,0.0
2022-06-06,1000000.0,1000000.0,0.0,0.0
2022-06-07,1000000.0,1000000.0,0.0,0.0
2022-06-08,1000000.0,1000000.0,0.0,0.0
2022-06-09,1000000.0,1000000.0,0.0,0.0
2022-06-10,1000000.0,1000000.0,0.0,0.0
2022-06-13,1000000.0,1000000.0,0.0,0.0
2022-06-14,1000000.0,1000000.0,0.0,0.0
2022-06-15,1000000.0,1000000.0,0.0,0.0
2022-06-16,1000000.0,1000000.0,0.0,0.0
2022-06-17,1000000.0,1000000.0,0.0,0.0
2022-06-21,1000000.0,1000000.0,0.0,0.0
2022-06-22,1000000.0,1000000.0,0.0,0.0
2022-06-23,1000000.0,1000000.0,0.0,0.0
2022-06-24,1003145.1212337457,1003145.1212337457,0.0,0.0
2022-06-27,1003145.1212337457,1003145.1212337457,0.0,0.0
2022-06-28,995604.016283988,995604.016283988,0.0,0.0
2022-06-29,998802.6233604425,998802.6233604425,0.0,0.0
2022-06-30,994317.3131293675,994317.3131293675,0.0,0.0
2022-07-01,998266.5620028302,998266.5620028302,0.0,0.0
2022-07-05,1002966.3691576072,1002966.3691576072,0.0,0.0
2022-07-06,1005396.6568838928,1005396.6568838928,0.0,0.0
2022-07-07,1011526.063067303,1011526.063067303,0.0,0.0
2022-07-08,1012669.7593600596,1012669.7593600596,0.0,0.0
2022-07-11,1011279.3925925836,1011279.3925925836,0.0,0.0
2022-07-12,1012999.9911805259,1012999.9911805259,0.0,0.0
2022-07-13,1012356.9936058267,1012356.9936058267,0.0,0.0
2022-07-14,1017536.0630424772,1017536.0630424772,0.0,0.0
2022-07-15,1020490.5650144645,1020490.5650144645,0.0,0.0
2022-07-18,1015102.9119190007,1015102.9119190007,0.0,0.0
2022-07-19,1021933.0791318866,1021933.0791318866,0.0,0.0
2022-07-20,1025478.4327637366,1025478.4327637366,0.0,0.0
2022-07-21,1029493.1537775323,1029493.1537775323,0.0,0.0
2022-07-22,1027303.3502559157,1027303.3502559157,0.0,0.0
2022-07-25,1025322.0762438069,1025322.0762438069,0.0,0.0
2022-07-26,1022975.8079032945,1022975.8079032945,0.0,0.0
2022-07-27,1031995.8057127158,1031995.8057127158,0.0,0.0
2022-07-28,1032969.0878218997,1032969.0878218997,0.0,0.0
2022-07-29,1039729.7325145612,1039729.7325145612,0.0,0.0
2022-08-01,1040536.9259871031,1040536.9259871031,0.0,0.0
2022-08-02,1038115.3562625992,1038115.3562625992,0.0,0.0
2022-08-03,1047995.4643554073,1047995.4643554073,0.0,0.0
2022-08-04,1047478.8128500192,1047478.8128500192,0.0,0.0
2022-08-05,1047106.9736586744,1047106.9736586744,0.0,0.0
2022-08-08,1046330.9526855745,1046330.9526855745,0.0,0.0
2022-08-09,1046411.8594612362,1046411.8594612362,0.0,0.0
2022-08-10,1053193.7658634041,1053193.7658634041,0.0,0.0
2022-08-11,1050762.9974883595,1050762.9974883595,0.0,0.0
2022-08-12,1056352.2395197402,1056352.2395197402,0.0,0.0
2022-08-15,1058039.8437228962,1058039.8437228962,0.0,0.0
2022-08-16,1057792.1405669325,1057792.1405669325,0.0,0.0
2022-08-17,1060145.5132389301,1060145.5132389301,0.0,0.0
2022-08-18,1059526.2071763761,1059526.2071763761,0.0,0.0
2022-08-19,1055454.207191079,1055454.207191079,0.0,0.0
2022-08-22,1049338.559823752,1049338.559823752,0.0,0.0
2022-08-23,1048812.178574089,1048812.178574089,0.0,0.0
2022-08-24,1049276.6099484386,1049276.6099484386,0.0,0.0
2022-08-25,1053147.2728392438,1053147.2728392438,0.0,0.0
2022-08-26,1043222.8883701422,1043222.8883701422,0.0,0.0
2022-08-29,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-08-30,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-08-31,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-01,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-02,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-06,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-07,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-08,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-09,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-12,1039398.7087520476,1039398.7087520476,0.0,0.0
2022-09-13,1029550.7508441668,1029550.7508441668,0.0,0.0
2022-09-14,1031939.6188804483,1031939.6188804483,0.0,0.0
2022-09-15,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-16,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-19,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-20,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-21,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-22,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-23,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-26,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-27,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-28,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-29,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-09-30,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-03,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-04,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-05,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-06,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-07,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-10,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-11,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-12,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-13,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-14,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-17,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-18,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-19,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-20,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-21,1027665.6730838101,1027665.6730838101,0.0,0.0
2022-10-24,1031610.4362087541,1031610.4362087541,0.0,0.0
2022-10-25,1036654.8445424692,1036654.8445424692,0.0,0.0
2022-10-26,1031435.9433280972,1031435.9433280972,0.0,0.0
2022-10-27,1023494.0733792027,1023494.0733792027,0.0,0.0
2022-10-28,1042659.3854043146,1042659.3854043146,0.0,0.0
2022-10-31,1042965.7170969526,1042965.7170969526,0.0,0.0
2022-11-01,1038387.5870562564,1038387.5870562564,0.0,0.0
2022-11-02,1028822.8211461907,1028822.8211461907,0.0,0.0
2022-11-03,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-04,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-07,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-08,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-09,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-10,1023768.175161822,1023768.175161822,0.0,0.0
2022-11-11,1030578.3001405521,1030578.3001405521,0.0,0.0
2022-11-14,1028085.905600541,1028085.905600541,0.0,0.0
2022-11-15,1031175.0791109132,1031175.0791109132,0.0,0.0
2022-11-16,1028981.0740561722,1028981.0740561722,0.0,0.0
2022-11-17,1032368.6643119731,1032368.6643119731,0.0,0.0
2022-11-18,1033369.0296455151,1033369.0296455151,0.0,0.0
2022-11-21,1027612.0153381634,1027612.0153381634,0.0,0.0
2022-11-22,1031420.8565272375,1031420.8565272375,0.0,0.0
2022-11-23,1032982.9988121483,1032982.9988121483,0.0,0.0
2022-11-25,1027787.570635589,1027787.570635589,0.0,0.0
2022-11-28,1020959.8598355181,1020959.8598355181,0.0,0.0
2022-11-29,1015606.5136716451,1015606.5136716451,0.0,0.0
2022-11-30,1027647.099137454,1027647.099137454,0.0,0.0
2022-12-01,1028138.5994497847,1028138.5994497847,0.0,0.0
2022-12-02,1027260.9865239677,1027260.9865239677,0.0,0.0
2022-12-05,1025189.9246975278,1025189.9246975278,0.0,0.0
2022-12-06,1018660.6306428857,1018660.6306428857,0.0,0.0
2022-12-07,1015202.900048484,1015202.900048484,0.0,0.0
2022-12-08,1018204.2141298454,1018204.2141298454,0.0,0.0
2022-12-09,1017344.1839938225,1017344.1839938225,0.0,0.0
2022-12-12,1021433.777357876,1021433.777357876,0.0,0.0
2022-12-13,1023153.8648902591,1023153.8648902591,0.0,0.0
2022-12-14,1019187.1602341892,1019187.1602341892,0.0,0.0
2022-12-15,1007409.7714135456,1007409.7714135456,0.0,0.0
2022-12-16,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-19,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-20,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-21,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-22,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-23,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-27,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-28,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-29,1004057.341068525,1004057.341068525,0.0,0.0
2022-12-30,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-03,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-04,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-05,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-06,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-09,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-10,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-11,1004057.341068525,1004057.341068525,0.0,0.0
2023-01-12,1003176.1262516023,1003176.1262516023,0.0,0.0
2023-01-13,1005707.2363871883,1005707.2363871883,0.0,0.0
2023-01-17,1007919.6609424901,1007919.6609424901,0.0,0.0
2023-01-18,1006550.9785919607,1006550.9785919607,0.0,0.0
2023-01-19,1006663.5260853127,1006663.5260853127,0.0,0.0
2023-01-20,1011538.2448531948,1011538.2448531948,0.0,0.0
2023-01-23,1019544.1457008573,1019544.1457008573,0.0,0.0
2023-01-24,1023576.9824326758,1023576.9824326758,0.0,0.0
2023-01-25,1022359.925408031,1022359.925408031,0.0,0.0
2023-01-26,1026174.708084254,1026174.708084254,0.0,0.0
2023-01-27,1029753.3980050227,1029753.3980050227,0.0,0.0
2023-01-30,1024430.8154933045,1024430.8154933045,0.0,0.0
2023-01-31,1026774.1658722626,1026774.1658722626,0.0,0.0
2023-02-01,1028845.1123849144,1028845.1123849144,0.0,0.0
2023-02-02,1035148.7315078763,1035148.7315078763,0.0,0.0
