n,engine_date,hand_date,engine_side,hand_side,engine_shares,hand_shares,engine_price,hand_price,engine_reason,hand_reason,share_diff,price_diff,same
1,2022-08-15,2022-08-15,buy,buy,1486.0332472876466,1486.0332472876466,168.2331135298,168.2331135298,,,0.0,0.0,True
2,2022-08-30,2022-08-30,sell,sell,1486.0332472876466,1486.0332472876466,156.35379187,156.35379187,stop,stop,0.0,0.0,True
3,2023-02-06,2023-02-06,buy,buy,1363.1644276602633,1363.1644276602633,149.8945101166,149.8945101166,,,0.0,0.0,True
