date,engine,hand,abs_diff,rel_diff
2022-09-01,100000.0,100000.0,0.0,0.0
2022-09-02,100000.0,100000.0,0.0,0.0
2022-09-06,100000.0,100000.0,0.0,0.0
2022-09-07,100000.0,100000.0,0.0,0.0
2022-09-08,100000.0,100000.0,0.0,0.0
2022-09-09,100000.0,100000.0,0.0,0.0
2022-09-12,100000.0,100000.0,0.0,0.0
2022-09-13,100000.0,100000.0,0.0,0.0
2022-09-14,100000.0,100000.0,0.0,0.0
2022-09-15,100000.0,100000.0,0.0,0.0
2022-09-16,100000.0,100000.0,0.0,0.0
2022-09-19,100000.0,100000.0,0.0,0.0
2022-09-20,100000.0,100000.0,0.0,0.0
2022-09-21,100000.0,100000.0,0.0,0.0
2022-09-22,100000.0,100000.0,0.0,0.0
2022-09-23,100000.0,100000.0,0.0,0.0
2022-09-26,100000.0,100000.0,0.0,0.0
2022-09-27,100000.0,100000.0,0.0,0.0
2022-09-28,100000.0,100000.0,0.0,0.0
2022-09-29,100000.0,100000.0,0.0,0.0
2022-09-30,100000.0,100000.0,0.0,0.0
2022-10-03,101594.53714443732,101594.53714443733,1.4551915228366852e-11,1.4323521359891961e-16
2022-10-04,104765.68128401076,104765.68128401076,0.0,0.0
2022-10-05,104615.94231522219,104615.94231522219,0.0,0.0
2022-10-06,103664.74545531771,103664.74545531771,0.0,0.0
2022-10-07,100242.33933444774,100242.33933444774,0.0,0.0
2022-10-10,99358.90639883417,99358.90639883417,0.0,0.0
2022-10-11,98363.06868723594,98363.06868723594,0.0,0.0
2022-10-12,98182.92501307942,98182.92501307942,0.0,0.0
2022-10-13,100630.65706733151,100630.65706733151,0.0,0.0
2022-10-14,97974.3190948971,97974.3190948971,0.0,0.0
2022-10-17,100846.84609527454,100846.84609527454,0.0,0.0
2022-10-18,101839.4883671829,101839.4883671829,0.0,0.0
2022-10-19,101291.32833646564,101291.32833646564,0.0,0.0
2022-10-20,100607.01106357243,100607.01106357243,0.0,0.0
2022-10-21,103009.20162539565,103009.20162539565,0.0,0.0
2022-10-24,104206.45766365422,104206.45766365422,0.0,0.0
2022-10-25,106114.56600129636,106114.56600129635,1.4551915228366852e-11,1.3713400315079343e-16
2022-10-26,104546.01975755449,104546.01975755449,0.0,0.0
2022-10-27,103323.27596088596,103323.27596088596,0.0,0.0
2022-10-28,106126.69754775279,106126.69754775279,0.0,0.0
2022-10-31,105129.9432367665,105129.9432367665,0.0,0.0
2022-11-01,104361.06488649707,104361.06488649707,0.0,0.0
2022-11-02,101264.96904972754,101264.96904972754,0.0,0.0
2022-11-03,99758.69941980424,99758.69941980424,0.0,0.0
