代號時段 5952 段,149 批,每批 40
[112/149] ok=40/40 rows=53201 已用 6.4 分
[113/149] ok=40/40 rows=46840 已用 6.5 分
[114/149] ok=40/40 rows=44558 已用 6.5 分
[115/149] ok=40/40 rows=42274 已用 6.6 分
[116/149] ok=40/40 rows=44450 已用 6.6 分
[117/149] ok=40/40 rows=38865 已用 6.6 分
[118/149] ok=40/40 rows=36306 已用 6.7 分
[119/149] ok=40/40 rows=39680 已用 6.7 分
[120/149] ok=40/40 rows=38807 已用 6.8 分
[121/149] ok=40/40 rows=37045 已用 6.8 分
[122/149] ok=40/40 rows=41496 已用 6.8 分
[123/149] ok=40/40 rows=35239 已用 6.9 分
[124/149] ok=40/40 rows=34620 已用 6.9 分
[125/149] ok=40/40 rows=32851 已用 7.0 分
[126/149] ok=40/40 rows=34101 已用 7.0 分
[127/149] ok=40/40 rows=30996 已用 7.1 分
[128/149] ok=40/40 rows=27724 已用 7.1 分
[129/149] ok=40/40 rows=32303 已用 7.1 分
[130/149] ok=40/40 rows=25556 已用 7.2 分
$FBYDP: possibly delisted; no price data found  (1d 2022-05-26 -> 2026-09-04)

1 Failed download:
['FBYDP']: possibly delisted; no price data found  (1d 2022-05-26 -> 2026-09-04)
$FBYDP: possibly delisted; no price data found  (1d 2022-07-14 -> 2026-09-04)

1 Failed download:
['FBYDP']: possibly delisted; no price data found  (1d 2022-07-14 -> 2026-09-04)
[131/149] ok=39/40 rows=25389 已用 7.3 分
[132/149] ok=40/40 rows=27905 已用 7.3 分
[133/149] ok=40/40 rows=24120 已用 7.4 分
[134/149] ok=40/40 rows=24798 已用 7.4 分
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ORIS"}}}
$ORIS: possibly delisted; no timezone found

1 Failed download:
['ORIS']: possibly delisted; no timezone found
HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ORIS"}}}
$ORIS: possibly delisted; no timezone found

1 Failed download:
['ORIS']: possibly delisted; no timezone found
[135/149] ok=39/40 rows=24531 已用 7.5 分
[136/149] ok=40/40 rows=21413 已用 7.6 分
[137/149] ok=40/40 rows=21193 已用 7.6 分
[138/149] ok=40/40 rows=17993 已用 7.7 分
[139/149] ok=40/40 rows=16987 已用 7.7 分
[140/149] ok=40/40 rows=17277 已用 7.7 分
[141/149] ok=40/40 rows=15480 已用 7.8 分
[142/149] ok=40/40 rows=13500 已用 7.8 分
[143/149] ok=40/40 rows=12470 已用 7.9 分
[144/149] ok=40/40 rows=11385 已用 7.9 分
[145/149] ok=40/40 rows=10638 已用 8.0 分
[146/149] ok=40/40 rows=8869 已用 8.0 分
[147/149] ok=40/40 rows=7657 已用 8.1 分
[148/149] ok=40/40 rows=7236 已用 8.1 分
[149/149] ok=32/32 rows=3949 已用 8.1 分
全部批次完成
