tier,silent,direction,field,horizon,bench,period,n,clusters,mean_diff,t,mean_resid,mean_ctrl
0.02,True,down,cfo,3,spy,2009-2016,297,175,-0.00666,-1.021,0.00193,0.0086
0.02,True,down,cfo,3,spy,2017-2026,357,176,-0.00626,-0.609,-0.01396,-0.0077
0.02,True,down,cfo,6,sector,all,649,348,-0.00642,-0.757,0.00679,0.01321
0.02,True,down,cfo,6,sector,2009-2016,297,175,-0.00941,-0.927,0.01207,0.02148
0.02,True,down,cfo,6,sector,2017-2026,352,173,-0.0039,-0.298,0.00233,0.00623
0.02,True,down,cfo,6,spy,all,649,348,-0.00642,-0.757,0.00029,0.00671
0.02,True,down,cfo,6,spy,2009-2016,297,175,-0.00941,-0.927,0.01416,0.02356
0.02,True,down,cfo,6,spy,2017-2026,352,173,-0.0039,-0.298,-0.0114,-0.0075
0.02,True,down,cfo,12,sector,all,642,343,0.00296,0.183,0.03368,0.03071
0.02,True,down,cfo,12,sector,2009-2016,297,175,0.00466,0.301,0.04361,0.03895
0.02,True,down,cfo,12,sector,2017-2026,345,168,0.0015,0.056,0.02513,0.02363
0.02,True,down,cfo,12,spy,all,642,343,0.00296,0.183,0.02448,0.02152
0.02,True,down,cfo,12,spy,2009-2016,297,175,0.00466,0.301,0.05011,0.04545
0.02,True,down,cfo,12,spy,2017-2026,345,168,0.0015,0.056,0.00242,0.00092
0.02,True,down,assets,3,sector,all,76,62,-0.02365,-1.126,-0.00825,0.0154
0.02,True,down,assets,3,sector,2009-2016,56,43,-0.01509,-0.705,0.00061,0.0157
0.02,True,down,assets,3,sector,2017-2026,20,19,-0.04763,-0.901,-0.03307,0.01456
0.02,True,down,assets,3,spy,all,76,62,-0.02365,-1.126,-0.0042,0.01945
0.02,True,down,assets,3,spy,2009-2016,56,43,-0.01509,-0.705,0.00773,0.02282
0.02,True,down,assets,3,spy,2017-2026,20,19,-0.04763,-0.901,-0.03759,0.01003
0.02,True,down,assets,6,sector,all,76,62,-0.02619,-0.766,0.00047,0.02666
0.02,True,down,assets,6,sector,2009-2016,56,43,-0.02996,-0.942,-0.00186,0.0281
0.02,True,down,assets,6,sector,2017-2026,20,19,-0.01563,-0.166,0.00701,0.02264
0.02,True,down,assets,6,spy,all,76,62,-0.02619,-0.766,0.00315,0.02933
0.02,True,down,assets,6,spy,2009-2016,56,43,-0.02996,-0.942,0.01058,0.04054
0.02,True,down,assets,6,spy,2017-2026,20,19,-0.01563,-0.166,-0.01767,-0.00203
0.02,True,down,assets,12,sector,all,75,61,-0.0531,-1.038,0.00288,0.05598
0.02,True,down,assets,12,sector,2009-2016,56,43,-0.03472,-0.572,0.01203,0.04676
0.02,True,down,assets,12,sector,2017-2026,19,18,-0.10725,-1.186,-0.0241,0.08315
0.02,True,down,assets,12,spy,all,75,61,-0.0531,-1.038,0.00897,0.06207
0.02,True,down,assets,12,spy,2009-2016,56,43,-0.03472,-0.572,0.0381,0.07282
0.02,True,down,assets,12,spy,2017-2026,19,18,-0.10725,-1.186,-0.07688,0.03037
0.02,True,up,ALL,3,sector,all,2236,608,-0.00062,-0.117,0.00806,0.00868
0.02,True,up,ALL,3,sector,2009-2016,699,257,-0.01056,-1.609,0.00096,0.01153
0.02,True,up,ALL,3,sector,2017-2026,1537,351,0.0039,0.548,0.01128,0.00738
0.02,True,up,ALL,3,spy,all,2236,608,-0.00062,-0.117,0.00569,0.00631
0.02,True,up,ALL,3,spy,2009-2016,699,257,-0.01056,-1.609,0.00384,0.0144
0.02,True,up,ALL,3,spy,2017-2026,1537,351,0.0039,0.548,0.00652,0.00262
0.02,True,up,ALL,6,sector,all,2231,605,0.00029,0.036,0.02019,0.0199
0.02,True,up,ALL,6,sector,2009-2016,699,257,-0.02599,-2.299,-0.00199,0.024
0.02,True,up,ALL,6,sector,2017-2026,1532,348,0.01229,1.187,0.03031,0.01802
0.02,True,up,ALL,6,spy,all,2231,605,0.00029,0.036,0.01652,0.01623
0.02,True,up,ALL,6,spy,2009-2016,699,257,-0.02599,-2.299,0.00071,0.0267
0.02,True,up,ALL,6,spy,2017-2026,1532,348,0.01229,1.187,0.02374,0.01145
0.02,True,up,ALL,12,sector,all,2210,594,-0.01401,-1.207,0.03324,0.04725
0.02,True,up,ALL,12,sector,2009-2016,699,257,-0.05155,-3.27,-0.00712,0.04443
0.02,True,up,ALL,12,sector,2017-2026,1511,337,0.00336,0.221,0.05192,0.04856
0.02,True,up,ALL,12,spy,all,2210,594,-0.01401,-1.207,0.03269,0.0467
0.02,True,up,ALL,12,spy,2009-2016,699,257,-0.05155,-3.27,-0.0067,0.04485
0.02,True,up,ALL,12,spy,2017-2026,1511,337,0.00336,0.221,0.05091,0.04755
0.02,True,up,revenue,3,sector,all,315,147,-0.00635,-0.378,0.00588,0.01224
0.02,True,up,revenue,3,sector,2009-2016,93,44,3e-05,0.001,0.01547,0.01544
0.02,True,up,revenue,3,sector,2017-2026,222,103,-0.00903,-0.405,0.00187,0.0109
0.02,True,up,revenue,3,spy,all,315,147,-0.00635,-0.378,-0.00415,0.00221
0.02,True,up,revenue,3,spy,2009-2016,93,44,3e-05,0.001,0.019,0.01897
0.02,True,up,revenue,3,spy,2017-2026,222,103,-0.00903,-0.405,-0.01384,-0.00482
0.02,True,up,revenue,6,sector,all,314,146,-0.01012,-0.503,0.01767,0.02778
0.02,True,up,revenue,6,sector,2009-2016,93,44,-0.02482,-0.9,0.01004,0.03486
0.02,True,up,revenue,6,sector,2017-2026,221,102,-0.00393,-0.149,0.02088,0.02481
0.02,True,up,revenue,6,spy,all,314,146,-0.01012,-0.503,-0.00281,0.00731
0.02,True,up,revenue,6,spy,2009-2016,93,44,-0.02482,-0.9,0.00664,0.03147
0.02,True,up,revenue,6,spy,2017-2026,221,102,-0.00393,-0.149,-0.00679,-0.00286
0.02,True,up,revenue,12,sector,all,310,143,0.01326,0.44,0.06864,0.05538
0.02,True,up,revenue,12,sector,2009-2016,93,44,-0.07529,-2.294,-0.01804,0.05725
0.02,True,up,revenue,12,sector,2017-2026,217,99,0.05121,1.249,0.10579,0.05458
0.02,True,up,revenue,12,spy,all,310,143,0.01326,0.44,0.0468,0.03354
0.02,True,up,revenue,12,spy,2009-2016,93,44,-0.07529,-2.294,-0.03303,0.04226
0.02,True,up,revenue,12,spy,2017-2026,217,99,0.05121,1.249,0.08102,0.0298
0.02,True,up,net_income,3,sector,all,984,332,0.00964,1.147,0.01476,0.00512
0.02,True,up,net_income,3,sector,2009-2016,316,134,-0.00989,-1.171,0.00376,0.01365
0.02,True,up,net_income,3,sector,2017-2026,668,198,0.01888,1.638,0.01996,0.00108
0.02,True,up,net_income,3,spy,all,984,332,0.00964,1.147,0.01676,0.00712
0.02,True,up,net_income,3,spy,2009-2016,316,134,-0.00989,-1.171,0.01121,0.0211
