cik,filing_date,form,items
0000865436,2005-03-01,8-K,4.02
0000874761,2025-03-11,8-K,4.02
0000874761,2008-03-03,8-K,"4.02,7.01,8.01"
0000874761,2007-08-06,8-K,4.02
0000874761,2007-03-19,8-K,"2.02,4.02,8.01"
0000874761,2006-04-03,8-K,"2.02,4.02,8.01,9.01"
0000874761,2005-07-27,8-K,"2.02,4.02,9.01"
0000874766,2013-03-01,8-K,"2.02,2.06,4.02,9.01"
0000875159,2006-11-09,8-K,4.02
0000877212,2016-11-01,8-K,"2.02,4.02,8.01,9.01"
0000877890,2007-03-14,8-K,"4.02,7.01,9.01"
0000877890,2005-03-07,8-K,"4.02,7.01,9.01"
0000883569,2007-05-09,8-K,"4.02,8.01,9.01"
0000883569,2005-03-16,8-K,"4.02,9.01"
0000885639,2011-08-11,8-K,"2.02,4.02,7.01,9.01"
0000885639,2005-02-22,8-K,"2.02,4.02,8.01,9.01"
0000887396,2005-11-21,8-K,4.02
0000890801,2006-08-16,8-K/A,4.02
0000890801,2006-07-27,8-K,4.02
0000891103,2012-02-01,8-K,"2.02,4.02,7.01"
0000895421,2004-10-14,8-K,"2.02,4.02,9.01"
0000896159,2005-07-21,8-K,"4.02,9.01"
0000898293,2007-03-28,8-K,4.02
0000898293,2006-11-14,8-K,4.02
0000899689,2005-06-08,8-K,"4.02,9.01"
0000906709,2005-03-01,8-K,"2.02,4.02"
0000908255,2018-06-15,8-K,4.02
0000910521,2007-09-10,8-K,4.02
0000910606,2009-03-12,8-K,"2.02,4.02,9.01"
0000912093,2016-08-11,8-K,"2.02,4.02,9.01"
0000912242,2008-05-08,8-K,"2.02,4.02,7.01"
0000915912,2007-04-26,8-K,"2.02,4.02,9.01"
0000916365,2009-01-22,8-K,"2.02,4.02,7.01"
0000916365,2005-02-28,8-K,"4.02,9.01"
0000920760,2005-10-17,8-K,4.02
0000921738,2015-10-22,8-K,"2.02,4.02,9.01"
0000929887,2006-11-03,8-K,"4.02,5.02,9.01"
0000940944,2004-12-17,8-K,"2.02,4.02,9.01"
0000946581,2006-12-11,8-K,"4.02,9.01"
0001000697,2008-02-29,8-K,4.02
0001014473,2006-11-21,8-K,"4.02,9.01"
0001018840,2021-03-03,8-K,"2.02,4.02,8.01,9.01"
0001018840,2005-02-22,8-K,"1.01,2.02,4.02,8.01,9.01"
0001021860,2006-02-17,8-K,"2.02,4.02,9.01"
