event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8,mcap_usd_panel_old,mcap_fix_status,mcap_fix_ratio,mcap_fix_close,mcap_fix_shares,mcap_fix_shares_ref,mcap_fix_split_factor,mcap_fix_splits
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001641631,XAIR,"Beyond Air, Inc.",3841,Surgical & Medical Instruments & Apparatus,,-0.25088960170559116,2024-09-06,0.09614383763406309,已成熟,-0.3791513105820481,已成熟,-0.7675836154935305,已成熟,2024-08-07,0.02294718225208814,已成熟,-0.09093268302767143,已成熟,-0.693211793318331,已成熟,354460.1954345703,有,2024-03-31,2024-06-24,123.0,USD,11378000.0,17500000.0,56961000.0,25048000.0,25245451.55000001,1159000.0,-56014000.0,-60242000.0,FY_latest,-6122000.0,-0.24249912852123248,0.307227752321764,0.5227260757360299,0.0,-48.32959447799828,-51.977566867989644,21.782097972389998,1.0078829267805816,,17.044156560825428,0.3273170787572006,0.8895376276802835,10098180620.0,修正,0.002500000000000001,220.0,45900821.0,2024-06-24,0.0025000000000000005,2025-07-14:0.05;2026-07-13:0.05
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001643303,NNDM,Nano Dimension Ltd.,3672,Printed Circuit Boards,,-0.10675182859203292,2024-09-06,0.02365890331181575,已成熟,0.017485779102505372,已成熟,-0.42826324561745677,已成熟,2024-08-07,-0.11305828745175595,已成熟,0.04605010048003133,已成熟,-0.4884509839536352,已成熟,2463545.908677578,最近季度過期,,,,,,,,,,,,,,,,,,,,,,,,,,,,無股數,,2.3399999141693115,,,,
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001645113,NVCR,NovoCure Ltd,3841,Surgical & Medical Instruments & Apparatus,,-0.20734662457657005,2024-09-06,0.5086487879444919,已成熟,0.20597285025121237,已成熟,-0.37104446691002746,已成熟,2024-08-07,-0.16013864326351113,已成熟,-0.021644081888189004,已成熟,-0.5205849415462261,已成熟,23343890.083694458,有,2024-06-30,2024-07-25,32.0,USD,164796000.0,,1212170000.0,361750000.0,2315854244.7183037,542231000.0,-75345000.0,-179038000.0,4Q,,,,0.7015682618774595,0.0,-0.1389536931676721,-0.3301876875353862,4.270973523679582,6.4018085548536385,,21.563044460617274,0.06809872749477996,0.7463668024814898,2315854244.7183037,修正,1.0,21.399999618530273,108217490.0,2024-07-25,1.0,
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001645590,HPE,Hewlett Packard Enterprise Co,3570,Computer & office Equipment,,-0.07673109617059515,2024-09-06,0.228314476156948,已成熟,-0.15588373481957984,已成熟,0.19293032018753653,已成熟,2024-08-07,0.11083898517857338,已成熟,0.09371344693687234,已成熟,0.03368083471348493,已成熟,244869530.01098633,有,2024-04-30,2024-06-05,93.0,USD,2676000000.0,10490000000.0,59711000000.0,21680000000.0,24797765892.4428,27934000000.0,5525000000.0,1583000000.0,4Q,-7814000000.0,-0.3151090317527896,0.17567952303595652,,1.0,0.19778764229970644,0.05666929190234123,0.8877269955052194,1.1438083898728229,15.665044783602527,23.934019401077308,-0.01799901567883011,0.8015030220097413,23604443678.788815,修正,1.0505549815065676,19.079999923706055,1299673270.0,2024-06-05,1.0,
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001646188,ONDS,Ondas Inc.,3663,Radio & Tv Broadcasting & Communications Equipment,,-0.3270730880207976,2024-09-06,-0.18945908368290232,已成熟,-0.23836036715061037,已成熟,4.926447962569987,已成熟,2024-08-07,-0.14321923535659975,已成熟,1.2378820513768436,已成熟,3.276956505864435,已成熟,132071.50039076805,有,2024-03-31,2024-05-15,123.0,USD,14590709.0,,91615524.0,27763652.0,74224929.27601075,13720448.0,-28736208.0,-40265405.0,YTD_diff,,,,0.5231601142181973,0.0,-2.0944074129357877,-2.9347004558451735,5.409803621281955,2.673456981668361,,18.122610625781185,2.182209893751986,1.3342713710573029,74224929.27601075,修正,1.0,1.1200000047683716,66272258.0,2024-05-15,1.0,
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001652535,ICHR,"ICHOR HOLDINGS, LTD.",3674,Semiconductors & Related Devices,,-0.11568428804763031,2024-09-06,0.09781068660805503,已成熟,-0.10138597968132612,已成熟,-0.48275441784079076,已成熟,2024-08-07,-0.005196095248626964,已成熟,0.01470912897758736,已成熟,-0.472954561250847,已成熟,10039164.521598816,有,2024-03-29,2024-05-08,125.0,USD,102124000.0,131924000.0,957388000.0,697232000.0,1037730022.0,786633000.0,73309000.0,-51969000.0,YTD_diff,-29800000.0,-0.02871652488434993,0.137795752610227,0.2717351794674677,1.0,0.09319339514106324,-0.06606511549858701,1.319204790544002,1.4883568482226863,,20.760301493447358,-0.35138725240003854,0.8801475531362286,1037730022.0,修正,1.0,31.0,33475162.0,2024-05-08,1.0,
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001659166,FTV,Fortive Corp,3823,"Industrial Instruments For Measurement, Display, and Control",,0.0078991818293086,2024-09-06,-0.02015891251024915,已成熟,-0.004376533724508858,已成熟,-0.25029587907417405,已成熟,2024-08-07,-0.03370662486478626,已成熟,0.02075686287319156,已成熟,-0.24829805756876244,已成熟,103936138.11466026,有,2024-06-28,2024-07-24,34.0,USD,644100000.0,3780300000.0,17285000000.0,10499300000.0,24685076049.921646,,,,,-3136200000.0,-0.1270484236571738,0.21870407868093722,,,,,,2.351116364893054,,23.92946468946763,,0.045363280108054516,18442014149.96523,修正,1.3385238645404784,53.09721374511719,350341685.0,2024-07-24,1.327,2025-06-30:1.327
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001661053,NVNO,enVVeno Medical Corp,3841,Surgical & Medical Instruments & Apparatus,,-0.021491088133643976,2024-09-06,-0.49115011465156844,已成熟,-0.48936835265713186,已成熟,-0.8818615970595329,已成熟,2024-08-07,-0.39801562572965565,已成熟,-0.47868419136632423,已成熟,-0.2676373808839203,已成熟,209336.39632415771,有,2024-06-30,2024-07-31,32.0,USD,2380000.0,,40995000.0,38418000.0,71048901.16228376,31243.0,-16643000.0,-21423000.0,FY_latest,,,,0.06286132455177461,0.0,-532.6953237525206,-685.6895944691611,2274.07422982056,1.8493649112989683,,18.07887894669157,0.0,0.9375735272760343,2486711540.6799316,修正,0.028571428571428574,186.5500030517578,13330000.0,2024-07-31,0.02857142857142857,2026-01-20:0.0285714
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001662684,KULR,"KULR Technology Group, Inc.",3670,Electronic Components & Accessories,,-0.1067518840521765,2024-09-06,3.779906172453873,已成熟,3.857228469246266,已成熟,0.902041444794506,已成熟,2024-08-07,0.11884855005547945,已成熟,8.443507545680124,已成熟,1.2511556555579015,已成熟,771106.3688465357,有,2024-03-31,2024-05-15,123.0,USD,798843.0,,11304092.0,2589598.0,49322852.43991399,9819468.0,-11113754.0,-22099571.0,YTD_diff,,,,0.7709149925531391,0.0,-1.1318081590570894,-2.2505874045314878,5.0229658510943755,19.046528627190007,,17.71389806994718,0.7680193347529869,0.9279310967655329,394582819.5193119,修正,0.125,2.1600000858306885,182677224.0,2024-05-15,0.125,2025-06-23:0.125
E18,2024-08 日圓套息平倉殺半導體,同SIC全體,0001664703,BE,Bloom Energy Corp,3620,Electrical Industrial Apparatus,,-0.2000962778377866,2024-09-06,1.4892280535648652,已成熟,1.446050211497921,已成熟,4.66378972096445,已成熟,2024-08-07,-0.06840469258144277,已成熟,1.0998743697929703,已成熟,2.191642228420734,已成熟,71154029.56790924,有,2024-03-31,2024-05-09,123.0,USD,515957000.0,847935000.0,2286054000.0,466115000.0,2837750300.0,1293577000.0,-205087000.0,-283742000.0,YTD_diff,-331978000.0,-0.11698633244792539,0.37091643504484145,0.7860286764879569,0.0,-0.15854255293654726,-0.2193468189369477,2.193723527861117,6.088090492689572,,21.766277427317274,0.015943113713669632,0.8515519890149903,2837750300.0,修正,1.0,12.5,227020024.0,2024-05-09,1.0,
