total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals,breaker_blocked_bars,worst_month_dd
1.6915810918223846,-0.26849647417591194,0.8671629412361319,5343,2680,2691581.091822385,0.6227611940298508,5,0.5,1.4279224999481812,200145,115,-0.09628604508429006
2.0289467000879147,-0.21648140983850106,0.9675654570843972,3434,1726,3028946.7000879142,0.6216685979142526,10,0.5,0.7346579000586644,184223,75,-0.09654647909202341
2.7383680075100476,-0.2667510306901114,1.1536777694713767,2893,1454,3738368.0075100474,0.5591471801925723,15,0.5,0.7220227000070736,155768,71,-0.09661543560753982
2.2378979502290828,-0.23269464001336915,1.0219908284214794,2251,1133,3237897.9502290827,0.531332744924978,20,0.5,0.7158201000420377,137889,92,-0.08900814381747457
1.919233282789361,-0.2189854003455144,0.924892940813244,2362,1190,2919233.2827893607,0.5,25,0.5,0.7234179999213666,125619,97,-0.08972182253316607
2.693019613369272,-0.1538086537348834,1.1057995934099227,1874,945,3693019.613369272,0.5079365079365079,30,0.5,0.7281765999505296,115975,78,-0.09985740016435085
1.9730092746506984,-0.31464731057856665,0.9261795605468542,1408,710,2973009.2746506985,0.4788732394366197,40,0.5,1.0595376000273973,102674,128,-0.09494359581440381
2.346277983944813,-0.2202795839700631,1.022942230026451,1141,576,3346277.983944813,0.4496527777777778,50,0.5,0.705581699963659,93755,135,-0.09599420590022223
3.034274715264095,-0.2461813421913287,1.1775118693720135,1340,677,4034274.715264095,0.44165435745937964,60,0.5,0.7188018000451848,86847,103,-0.10368942311420037
3.1330231826223742,-0.2080740061772638,1.1994676189727855,1118,567,4133023.182622374,0.41798941798941797,75,0.5,0.696192399947904,79176,62,-0.10855072523670062
2.235751006758361,-0.18658706028312877,1.0067927490620445,888,452,3235751.006758361,0.38716814159292035,90,0.5,1.0458865000400692,73309,62,-0.09230712271297836
3.3764848492053288,-0.2693786797864862,1.2274915745401707,794,404,4376484.849205328,0.4207920792079208,120,0.5,0.7146441000513732,64760,70,-0.09121666935181172
3.0150781146969647,-0.21782048831340473,1.19141466163518,5180,2597,4015078.1146969646,0.6080092414324221,5,0.75,0.6999289999948815,97986,80,-0.08774988773566994
2.24785189482157,-0.2608742035578445,1.019912120039334,3458,1740,3247851.89482157,0.5971264367816091,10,0.75,0.6974469000706449,162495,78,-0.11245663622516833
2.0378294102528955,-0.23009196878174976,0.9526239287093087,2462,1238,3037829.4102528957,0.5436187399030694,15,0.75,0.6894767000339925,148909,100,-0.10584027500500948
3.3335376575577698,-0.19607718898538273,1.262914666054889,2330,1173,4333537.65755777,0.5524296675191815,20,0.75,1.0777600000146776,135247,88,-0.12004308216058901
1.6355872053803475,-0.20729636764001036,0.8413147411490393,2200,1107,2635587.2053803476,0.5212285456187895,25,0.75,0.718959900084883,124519,115,-0.09480687377830554
2.8841704279284257,-0.221099050961011,1.1491598204121305,1907,962,3884170.427928426,0.5114345114345115,30,0.75,0.7216087999986485,115451,105,-0.090665651799688
2.0816587550609014,-0.31464731057856665,0.9532417577810172,1377,695,3081658.7550609014,0.4776978417266187,40,0.75,0.6969904999714345,102538,128,-0.09168266776139711
2.346277983944813,-0.2202795839700631,1.022942230026451,1141,576,3346277.983944813,0.4496527777777778,50,0.75,0.6994204999646172,93717,135,-0.09599420590022223
3.034274715264095,-0.2461813421913287,1.1775118693720135,1340,677,4034274.715264095,0.44165435745937964,60,0.75,1.0732446999754757,86834,103,-0.10368942311420037
3.1330231826223742,-0.2080740061772638,1.1994676189727855,1118,567,4133023.182622374,0.41798941798941797,75,0.75,0.7207553999032825,79173,62,-0.10855072523670062
2.235751006758361,-0.18658706028312877,1.0067927490620445,888,452,3235751.006758361,0.38716814159292035,90,0.75,0.7203263998962939,73309,62,-0.09230712271297836
3.3764848492053288,-0.2693786797864862,1.2274915745401707,794,404,4376484.849205328,0.4207920792079208,120,0.75,0.7251885000150651,64760,70,-0.09121666935181172
0.0,0.0,inf,0,0,1000000.0,,5,1.0,0.6766925000119954,0,0,0.0
2.5109484517520064,-0.2583640471849441,1.0452444568852235,2281,1147,3510948.4517520065,0.5544899738448126,10,1.0,1.1849102000705898,26690,89,-0.10548287642789278
1.5975244601887204,-0.20787859094695316,0.8249902143213601,2365,1191,2597524.4601887204,0.5289672544080605,15,1.0,0.7006751000881195,80972,86,-0.12306105386207566
2.9342297311196894,-0.23449739524273927,1.1595868252993597,2345,1180,3934229.7311196895,0.5228813559322034,20,1.0,0.7425329000689089,96969,64,-0.10581111188244041
2.98759214422712,-0.21514660911181938,1.1714412524289135,1997,1006,3987592.1442271196,0.49304174950298213,25,1.0,0.7037319999653846,101507,60,-0.0997397392096625
1.6159845145281873,-0.25142015506541104,0.8279482561034672,1738,875,2615984.514528187,0.47085714285714286,30,1.0,0.8570455999579281,100948,90,-0.09613150523434355
1.5195858101606283,-0.2708667578999915,0.802820463690966,1441,727,2519585.8101606285,0.45254470426409904,40,1.0,1.0900225000223145,96166,124,-0.09748768530588647
1.7623039590303735,-0.24940199316166922,0.8823985825492481,1287,648,2762303.9590303735,0.44598765432098764,50,1.0,0.7209120000479743,90640,123,-0.10907042275370038
2.848513215522826,-0.2460129163178908,1.1333110272252742,1440,727,3848513.2155228257,0.4470426409903714,60,1.0,0.7469984999625012,85229,104,-0.11847165943491411
2.3896767205763445,-0.2387902637689534,1.0451530626576286,1055,535,3389676.7205763445,0.4205607476635514,75,1.0,0.7202410999452695,78543,102,-0.09771160237878551
2.6305161582388474,-0.17083440514698045,1.0989824759852465,969,492,3630516.1582388473,0.3861788617886179,90,1.0,0.7197337000397965,73041,45,-0.09383750784363232
3.3764848492053288,-0.2693786797864862,1.2274915745401707,794,404,4376484.849205328,0.4207920792079208,120,1.0,0.7197474000276998,64681,70,-0.09121666935181172
0.0,0.0,inf,0,0,1000000.0,,5,1.25,1.1029540000017732,0,0,0.0
1.7776479449484832,-0.20896536329919302,0.8943669929614108,1809,908,2777647.9449484833,0.5055066079295154,10,1.25,0.6883081999840215,4155,111,-0.08027702021909189
4.267052683168964,-0.24092640677691868,1.3560297280741018,1985,999,5267052.6831689635,0.47847847847847846,15,1.25,0.7135645999806002,40354,61,-0.08706930790140488
3.176091010344695,-0.21938346744845505,1.192365020666471,1803,906,4176091.010344695,0.4911699779249448,20,1.25,0.699737700051628,61445,71,-0.10612525858708333
1.9217002542106123,-0.28200478478314694,0.9124961266978275,1722,866,2921700.2542106123,0.4618937644341801,25,1.25,0.7025770000182092,72844,91,-0.10431738060258655
2.4898143010593277,-0.23579129381883812,1.0409299285084164,1662,839,3489814.3010593276,0.4600715137067938,30,1.25,1.0543770999647677,78570,110,-0.08895531694649883
2.830098960847218,-0.20621120842032747,1.141619015244007,1698,856,3830098.9608472176,0.4591121495327103,40,1.25,0.7098869000328705,82346,40,-0.09266995414503998
2.798717884687381,-0.26325010991500564,1.1236628985132817,1440,725,3798717.884687381,0.4303448275862069,50,1.25,0.7329558000201359,81953,102,-0.09886432962263003
5.764848572311429,-0.2193135685274552,1.606555873748255,1320,667,6764848.572311429,0.4362818590704648,60,1.25,0.7603494999930263,79535,99,-0.11809699061134737
3.6616191672663745,-0.19621731470883186,1.289652030850742,1139,577,4661619.167266374,0.4506065857885615,75,1.25,0.7116810999577865,75363,98,-0.1119948186751174
2.294634716078968,-0.2324067809967465,1.0208949556506222,968,491,3294634.716078968,0.395112016293279,90,1.25,0.7049374999478459,71249,64,-0.09618252366764479
3.098323721901964,-0.29213057752771954,1.1918948035148536,853,433,4098323.721901964,0.40415704387990764,120,1.25,0.7068317999364808,64034,63,-0.09829792074640631
0.0,0.0,inf,0,0,1000000.0,,5,1.5,1.1531376000493765,0,0,0.0
0.7907410161872471,-0.2256869184358844,0.6842718528459087,1037,520,1790741.0161872471,0.4442307692307692,10,1.5,0.7040367999579757,644,47,-0.0740014600257679
