total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals
1.8313982523908563,-0.23924427995072073,0.9561420919554721,10374,5209,2831398.2523908564,0.63121520445383,5,0.5,0.5068118999479339,200145
2.6604295717235864,-0.17273860767910976,1.184245505748674,6972,3513,3660429.5717235864,0.6080273270708796,10,0.5,0.29490900004748255,184223
2.1217673978136724,-0.22772114211704497,1.0274606825053219,4763,2404,3121767.397813672,0.5428452579034941,15,0.5,0.24095519992988557,155768
2.939594244901035,-0.19682734813981773,1.2586193207649627,5597,2820,3939594.244901035,0.5202127659574468,20,0.5,0.2565212999470532,137889
5.049029738592915,-0.16023361971827377,1.6207427639174135,6169,3121,6049029.738592915,0.5235501441845563,25,0.5,0.27549720008391887,125619
2.9729629546025413,-0.18971954184221984,1.2253197153474433,3589,1818,3972962.9546025414,0.5044004400440044,30,0.5,0.2600918000098318,115975
4.326195396340145,-0.18141844134184537,1.4952731409624764,3433,1749,5326195.396340145,0.4894225271583762,40,0.5,0.2998326000524685,102674
3.266567723754163,-0.2139973858802372,1.3050188717344975,2806,1429,4266567.723754163,0.47515745276417076,50,0.5,0.2805326000088826,93755
3.453463895144333,-0.21711851197903176,1.3257596273196741,2336,1192,4453463.895144333,0.4303691275167785,60,0.5,0.2921300999587402,86847
2.3611876456553857,-0.2311244222805302,1.0897228213843726,1938,984,3361187.6456553857,0.41260162601626016,75,0.5,0.2697247000178322,79176
3.752775635901935,-0.19604185221871318,1.3914574200470953,2196,1122,4752775.635901935,0.4028520499108734,90,0.5,0.2687526000663638,73309
2.986297427023785,-0.252142379461026,1.2368956280637726,1575,807,3986297.427023785,0.40396530359355637,120,0.5,0.6348845999455079,64760
3.631162120574248,-0.1618794503540404,1.3993835740117913,12313,6184,4631162.120574248,0.5960543337645536,5,0.75,0.2856019999599084,97986
3.2945956092805533,-0.20584028625537532,1.3167886306283927,7499,3776,4294595.609280553,0.5953389830508474,10,0.75,0.3036231999285519,162495
1.519255413998976,-0.2289460722082951,0.8369164914871214,4042,2038,2519255.4139989763,0.5515210991167812,15,0.75,0.2935463000321761,148909
3.128066264737947,-0.20998670992277435,1.2976550586645161,5534,2791,4128066.264737947,0.5324256538874955,20,0.75,0.30652909993659705,135247
2.649450516926175,-0.2002438407875875,1.172362625318932,4452,2250,3649450.516926175,0.5124444444444445,25,0.75,0.3002087000058964,124519
2.6600871616600985,-0.2088978060644251,1.1521505365388036,3454,1755,3660087.1616600985,0.4962962962962963,30,0.75,0.2756247000070289,115451
3.933625022805385,-0.18141844134184537,1.4314351604463451,3332,1694,4933625.022805385,0.48937426210153484,40,0.75,0.2800404999870807,102538
3.266567723754163,-0.2139973858802372,1.3050188717344975,2806,1429,4266567.723754163,0.47515745276417076,50,0.75,0.2727837000275031,93717
3.453463895144333,-0.21711851197903176,1.3257596273196741,2336,1192,4453463.895144333,0.4303691275167785,60,0.75,0.29161529999691993,86834
2.3611876456553857,-0.2311244222805302,1.0897228213843726,1938,984,3361187.6456553857,0.41260162601626016,75,0.75,0.286550399963744,79173
3.752775635901935,-0.19604185221871318,1.3914574200470953,2196,1122,4752775.635901935,0.4028520499108734,90,0.75,0.3011263000080362,73309
2.986297427023785,-0.252142379461026,1.2368956280637726,1575,807,3986297.427023785,0.40396530359355637,120,0.75,0.3189789999742061,64760
0.0,0.0,inf,0,0,1000000.0,,5,1.0,0.26451420004013926,0
2.2872488671677456,-0.1769677972384236,1.0763302237004138,4185,2109,3287248.8671677457,0.5457562825983878,10,1.0,0.2562733000377193,26690
2.0810228665325803,-0.24911154967747218,1.018554717161146,4315,2173,3081022.8665325805,0.5213989875747814,15,1.0,0.2554424999980256,80972
3.543492379132378,-0.17611923754250147,1.3667860362968607,5431,2742,4543492.379132378,0.5036469730123997,20,1.0,0.266560300020501,96969
4.2945528046749,-0.17453415975114328,1.4861249401152652,4936,2499,5294552.8046749,0.49939975990396157,25,1.0,0.275202399934642,101507
3.9541701628375145,-0.15770624068452133,1.41551393740989,3878,1966,4954170.162837515,0.49745676500508645,30,1.0,0.3004705000203103,100948
2.2109075556240017,-0.18640434411127982,1.0513146338085484,2667,1355,3210907.5556240017,0.45387453874538747,40,1.0,0.6126842999365181,96166
2.527208606910872,-0.22200754865478767,1.1344829229798827,2510,1275,3527208.6069108723,0.4611764705882353,50,1.0,0.28816939995158464,90640
3.4806672462812442,-0.20336543422203068,1.3381296415332367,2384,1214,4480667.246281244,0.4439868204283361,60,1.0,0.30394460004754364,85229
3.0975925211626074,-0.17701864057078598,1.2679333158241524,2098,1073,4097592.5211626072,0.4296365330848089,75,1.0,0.2937290999107063,78543
3.742217026939463,-0.19715899292564698,1.389456099889957,2198,1123,4742217.026939463,0.402493321460374,90,1.0,0.3149916999973357,73041
2.986297427023785,-0.252142379461026,1.2368956280637726,1575,807,3986297.427023785,0.40396530359355637,120,1.0,0.3021023999899626,64681
0.0,0.0,inf,0,0,1000000.0,,5,1.25,0.2857367000542581,0
2.1244390746713373,-0.19674892314515546,1.086267117641337,3171,1594,3124439.0746713374,0.4893350062735257,10,1.25,0.29607440007384866,4155
3.213790025432256,-0.1709222789427317,1.302757209690397,4601,2321,4213790.025432255,0.4791038345540715,15,1.25,0.28651399991940707,40354
2.833584299044887,-0.17747501392342346,1.1947059116429126,3774,1910,3833584.299044887,0.46963350785340313,20,1.25,0.25114389997906983,61445
2.5334327372768835,-0.3035024486497645,1.1108429970207747,3497,1768,3533432.7372768833,0.45644796380090497,25,1.25,0.2573265000246465,72844
3.2008040977190877,-0.18981983901708532,1.2682623056468998,3615,1833,4200804.097719088,0.4582651391162029,30,1.25,0.2831323000136763,78570
3.669261317244029,-0.14221704710920258,1.399076751749057,3265,1659,4669261.317244029,0.44544906570223025,40,1.25,0.28848870005458593,82346
3.3595609450964066,-0.16158054180035863,1.3257920610487688,2786,1418,4359560.945096407,0.44781382228490835,50,1.25,0.661859399988316,81953
4.080140000581898,-0.19221113150230962,1.455771525905367,2722,1385,5080140.000581898,0.4332129963898917,60,1.25,0.3061851999955252,79535
2.841392606435892,-0.22100622888427846,1.1978581143498168,2113,1077,3841392.606435892,0.40482822655524603,75,1.25,0.2945537999039516,75363
3.6258796016128745,-0.16480601958401486,1.3569603519116287,2002,1023,4625879.601612874,0.41935483870967744,90,1.25,0.2888840000377968,71249
2.8378876748465554,-0.2506325832990206,1.2021259665528947,1472,756,3837887.6748465556,0.414021164021164,120,1.25,0.2854466999415308,64034
0.0,0.0,inf,0,0,1000000.0,,5,1.5,0.2458001000341028,0
0.8822029537201278,-0.2212984099689217,0.8437447117477316,1163,583,1882202.9537201277,0.451114922813036,10,1.5,0.2612850000150502,644
2.0634884649557903,-0.3497047164941729,0.9839395526494765,2978,1500,3063488.4649557904,0.456,15,1.5,0.2719145999290049,18234
2.8837882581230656,-0.18072349130712817,1.2162965667008425,3855,1944,3883788.258123066,0.43415637860082307,20,1.5,0.3165656999917701,35753
3.6003431418383776,-0.17738545447233522,1.3599679979606925,3723,1885,4600343.141838377,0.43713527851458883,25,1.5,0.286606700043194,48211
4.301658642381096,-0.1732168474861877,1.4796097397163799,3708,1879,5301658.642381095,0.4523682810005322,30,1.5,0.3239594000624493,56379
3.511747478327772,-0.2014150538226781,1.349801317459281,3009,1529,4511747.478327772,0.42315238718116416,40,1.5,0.3405587999150157,65473
3.250139963343203,-0.1750362591067578,1.2801601856313374,2396,1221,4250139.963343203,0.4258804258804259,50,1.5,0.3152031999779865,69444
3.4250214074349135,-0.22003320379914382,1.340760079962953,2621,1333,4425021.407434913,0.4253563390847712,60,1.5,0.25879120000172406,70287
2.823190171448873,-0.14921752186142034,1.1772208569214733,1888,963,3823190.1714488734,0.40083073727933544,75,1.5,0.27521200000774115,69092
4.155946010374384,-0.21362860968066377,1.4460580346962297,2275,1165,5155946.010374384,0.4171673819742489,90,1.5,0.2923707999289036,67052
2.6402006497173636,-0.19677135609289687,1.1458202508963593,1443,740,3640200.6497173635,0.39054054054054055,120,1.5,0.27384679997339845,62120
0.0,0.0,inf,0,0,1000000.0,,5,1.75,0.6630106000229716,0
0.2066002134416653,-0.10904567156272471,0.5302723288536046,242,121,1206600.2134416653,0.4297520661157025,10,1.75,0.26515170000493526,121
3.3128392896553747,-0.18689167200844492,1.3467442045851432,3628,1827,4312839.289655374,0.41379310344827586,15,1.75,0.303755100001581,8111
