lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
10,0.5,monthly,3.2251487993302677,0.13204437615919695,-0.3499495347700373,0.8095238095238095,1.440278530659412,0.7386399084834219,164.51465201465203,1.5839198773133774,-0.05762529078774392,-0.00647530872292279,run-517e1814f7c6b216,560,546,2929,2015-01-02,2026-08-26,False,0.3839
10,0.5,quarterly,2.909379469476825,0.12450165756499798,-0.346396105408729,0.8502994011976048,1.8565518420817433,0.6711839045304451,495.01197604790417,0.4904170285317211,-0.06516800938194289,-0.014018027317121762,run-36e942520781fab3,188,167,2929,2015-01-02,2026-08-26,False,0.2666
10,0.75,monthly,3.199560433568,0.1314526805353149,-0.34277261099087897,0.7531760435571688,1.0678364735157075,0.721181935074324,116.33938294010889,3.8544263846295026,-0.05821698641162598,-0.0070670043468048505,run-966d991bf3c164ea,560,551,2929,2015-01-02,2026-08-26,False,0.2849
10,0.75,quarterly,2.330818684771161,0.10910752269108315,-0.3435741717521026,0.8218390804597702,0.6868398412219494,0.5296261184665083,325.5919540229885,1.1581249421927442,-0.08056214425585773,-0.029412162191036595,run-f0be039af38a5929,188,174,2929,2015-01-02,2026-08-26,False,0.2705
10,1.0,monthly,3.152115582851902,0.13034681161190464,-0.33558187805598694,0.6446700507614214,1.3437693955657655,0.6858526341565011,65.39086294416244,6.115377591348918,-0.05932285533503623,-0.008172873270215097,run-595f718506a0ec98,300,197,2929,2015-01-02,2026-08-26,False,0.3507
10,1.0,quarterly,1.8155920315502647,0.0931820111295516,-0.3408229096214357,0.7692307692307693,0.6420653191423102,0.3864825515294009,140.03076923076924,1.8233308925258347,-0.09648765581738927,-0.04533767375256814,run-0ca166617fca4f48,100,65,2929,2015-01-02,2026-08-26,False,0.2578
20,0.5,monthly,3.1612789695454486,0.13056129327832888,-0.3499495334067567,0.8120437956204379,1.4049239545116348,0.7240566323690075,165.13686131386862,1.5630902352654825,-0.05910837366861199,-0.00795839160379086,run-c0c40faed924ea33,560,548,2929,2015-01-02,2026-08-26,False,0.3067
20,0.5,quarterly,2.9004001970214075,0.12427913239117694,-0.34639468349831637,0.9041916167664671,1.0343134280653163,0.6679008695294217,494.5149700598802,0.4585182187471569,-0.06539053455576394,-0.014240552490942804,run-edd781efa0f4cd59,188,167,2929,2015-01-02,2026-08-26,False,0.2591
20,0.75,monthly,3.2235736874235075,0.132008048591435,-0.342772611463274,0.7282608695652174,1.297917684836142,0.7189685452192199,117.8822463768116,3.8180572624110494,-0.05766161835550587,-0.006511636290684741,run-fc8d71e7a6209337,560,552,2929,2015-01-02,2026-08-26,False,0.2835
20,0.75,quarterly,2.3453597404201307,0.1095234172290771,-0.34357225262810476,0.8554913294797688,0.5980203105944436,0.5296041017809315,339.3872832369942,1.072474140951603,-0.08014624971786377,-0.02899626765304264,run-9832e640fac529a1,188,173,2929,2015-01-02,2026-08-26,False,0.2451
