feature,year,AUC,n_cells,n_10x
s1_net_cash_to_mcap,2011,0.0761,2410,5
s1_net_cash_to_mcap,2012,0.9761,2871,8
s1_net_cash_to_mcap,2013,0.8312,2698,6
s1_net_cash_to_mcap,2014,0.511,3196,14
s1_net_cash_to_mcap,2015,0.6116,3042,33
s1_net_cash_to_mcap,2016,0.6862,3139,69
s1_net_cash_to_mcap,2017,0.7533,3612,67
s1_net_cash_to_mcap,2018,0.6699,3710,50
s1_net_cash_to_mcap,2019,0.7717,3397,53
s1_net_cash_to_mcap,2020,0.5546,3994,92
s1_net_cash_to_mcap,2021,0.5794,1852,38
s2_runway_yrs,2011,0.1386,2893,11
s2_runway_yrs,2012,0.2685,3400,27
s2_runway_yrs,2013,0.2325,3133,24
s2_runway_yrs,2014,0.2447,3488,21
s2_runway_yrs,2015,0.3923,3314,38
s2_runway_yrs,2016,0.3956,3420,83
s2_runway_yrs,2017,0.4301,3922,77
s2_runway_yrs,2018,0.3434,4015,55
s2_runway_yrs,2019,0.4465,3679,59
s2_runway_yrs,2020,0.4004,4269,113
s2_runway_yrs,2021,0.5087,1949,40
s3_tangible_nav_to_mcap,2011,0.4006,3534,5
s3_tangible_nav_to_mcap,2012,0.8455,3917,14
s3_tangible_nav_to_mcap,2013,0.7373,3610,16
s3_tangible_nav_to_mcap,2014,0.5154,4175,17
s3_tangible_nav_to_mcap,2015,0.4584,3818,40
s3_tangible_nav_to_mcap,2016,0.4549,3865,90
s3_tangible_nav_to_mcap,2017,0.4533,4398,78
s3_tangible_nav_to_mcap,2018,0.4813,4427,52
s3_tangible_nav_to_mcap,2019,0.6356,3991,59
s3_tangible_nav_to_mcap,2020,0.6129,4558,109
s3_tangible_nav_to_mcap,2021,0.5058,2068,43
s2b_runway_cfo_yrs,2011,0.5111,3242,11
s2b_runway_cfo_yrs,2012,0.2514,3733,27
s2b_runway_cfo_yrs,2013,0.2323,3422,25
s2b_runway_cfo_yrs,2014,0.2116,3781,22
s2b_runway_cfo_yrs,2015,0.3463,3583,38
s2b_runway_cfo_yrs,2016,0.3395,3707,90
s2b_runway_cfo_yrs,2017,0.3499,4229,86
s2b_runway_cfo_yrs,2018,0.3117,4321,64
s2b_runway_cfo_yrs,2019,0.373,3977,72
s2b_runway_cfo_yrs,2020,0.4192,4619,121
s2b_runway_cfo_yrs,2021,0.4974,2097,42
s3b_book_nav_to_mcap,2011,0.3986,3534,5
s3b_book_nav_to_mcap,2012,0.8026,3917,14
s3b_book_nav_to_mcap,2013,0.6816,3610,16
s3b_book_nav_to_mcap,2014,0.4385,4175,17
s3b_book_nav_to_mcap,2015,0.2673,3818,40
s3b_book_nav_to_mcap,2016,0.2839,3865,90
s3b_book_nav_to_mcap,2017,0.3012,4398,78
s3b_book_nav_to_mcap,2018,0.3918,4427,52
s3b_book_nav_to_mcap,2019,0.5076,3991,59
s3b_book_nav_to_mcap,2020,0.6202,4558,109
s3b_book_nav_to_mcap,2021,0.5128,2068,43
log_mcap,2011,0.0274,3546,5
log_mcap,2012,0.2129,3926,14
log_mcap,2013,0.2322,3618,16
log_mcap,2014,0.2662,4184,17
log_mcap,2015,0.2151,3826,40
log_mcap,2016,0.1886,3873,90
log_mcap,2017,0.2218,4407,78
log_mcap,2018,0.229,4450,52
log_mcap,2019,0.2561,4014,59
log_mcap,2020,0.2387,4576,109
log_mcap,2021,0.3376,2072,43
in_index,2010,0.181,2377,6
in_index,2011,0.321,3869,22
in_index,2012,0.3711,4097,29
in_index,2013,0.405,3726,25
in_index,2014,0.3505,4273,29
in_index,2015,0.3414,3897,40
in_index,2016,0.2187,3958,97
in_index,2017,0.1877,4511,90
in_index,2018,0.1636,4563,66
in_index,2019,0.166,4120,72
in_index,2020,0.2212,4693,121
in_index,2021,0.3132,2127,43
shares_chg_12m,2012,0.9104,3562,14
shares_chg_12m,2013,0.6829,3485,14
shares_chg_12m,2014,0.3055,4065,12
shares_chg_12m,2015,0.743,3732,31
shares_chg_12m,2016,0.7642,3823,79
shares_chg_12m,2017,0.701,4364,75
shares_chg_12m,2018,0.7561,4401,52
shares_chg_12m,2019,0.6802,3952,53
shares_chg_12m,2020,0.5314,4514,104
shares_chg_12m,2021,0.6008,2031,40
