field_v2,field_v3,compared,identical,different,absent_in_v3,identical_pct
cash,cash_and_equivalents,1697,1697,0,0,1.0
lt_debt,lt_debt,1105,1104,1,0,0.9991
revenue,revenue,1758,1667,68,23,0.9482
net_income,net_income,1830,1796,34,0,0.9814
assets,assets,1845,1844,1,0,0.9995
equity,equity,1846,1843,3,0,0.9984
liabilities,liabilities,1308,1307,1,0,0.9992
cfo,operating_cash_flow,1396,1386,10,0,0.9928
