total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals,breaker_blocked_bars,worst_month_dd
2.416055656441647,-0.2545861376930084,1.0594061427798147,5621,2818,3416055.656441647,0.6291696238466998,5,0.5,0.9823519999627024,200145,0,-0.1161250663601262
2.293939921908933,-0.22186723041930123,1.0276247037420108,4055,2035,3293939.921908933,0.6073710073710074,10,0.5,1.044106399989687,184223,0,-0.1083538042103005
2.5136936579132985,-0.20056078957389512,1.073497505354091,2925,1471,3513693.6579132983,0.5615227736233854,15,0.5,0.7047135999891907,155768,0,-0.09564048260817715
1.4739173229140008,-0.23371577217420691,0.7961210438132627,2420,1217,2473917.3229140006,0.533278553820871,20,0.5,0.7242838999954984,137889,0,-0.11846441212366587
3.102686975460181,-0.22871091150306289,1.1961905885580957,2774,1397,4102686.975460181,0.5246957766642806,25,0.5,0.7148622999666259,125619,0,-0.12187660127637312
3.405638033578793,-0.20649298007386763,1.2408983680256485,1824,920,4405638.033578793,0.5032608695652174,30,0.5,0.6821828000247478,115975,0,-0.12259183642556448
2.507113132404328,-0.22578803116410728,1.0585323395622075,1503,759,3507113.132404328,0.4795783926218709,40,0.5,0.65397220000159,102674,0,-0.1109824025260685
3.7481915852787564,-0.2244614339916008,1.3153970005979725,1383,701,4748191.585278757,0.4864479315263909,50,0.5,0.6758012000937015,93755,0,-0.10945007867776513
2.715449264297971,-0.21475151196060394,1.1244289434259258,1291,653,3715449.264297971,0.444104134762634,60,0.5,0.6720221999567002,86847,0,-0.10314645110728016
2.8628291017440497,-0.2457583803539738,1.1448703091752301,1177,595,3862829.1017440497,0.43025210084033616,75,0.5,0.6583539000712335,79176,0,-0.09925699356052631
3.791975796896939,-0.1727106940998877,1.312637759123222,901,457,4791975.796896939,0.4223194748358862,90,0.5,0.65297409996856,73309,0,-0.10427475097968208
2.551278057144303,-0.2715707136460128,1.0790407038876904,940,478,3551278.057144303,0.3891213389121339,120,0.5,1.0120545000536367,64760,0,-0.10552162709498569
3.9243384953979445,-0.16807897537488392,1.3251568382812684,5436,2727,4924338.495397944,0.6043270993766043,5,0.75,0.6732808001106605,97986,0,-0.10837385376122965
2.62808043799057,-0.24513719966157643,1.1151441870044592,3667,1843,3628080.43799057,0.5995659251220835,10,0.75,0.671296100015752,162495,0,-0.10657204610289839
1.585988931258622,-0.22939346897623558,0.8371160616218134,3072,1545,2585988.9312586216,0.5411003236245955,15,0.75,0.6631104999687523,148909,0,-0.1106815475024382
2.5791653909871677,-0.2581547869381884,1.0867689008347492,2625,1321,3579165.3909871676,0.5450416351249053,20,0.75,0.6568037999095395,135247,0,-0.1059229985494129
3.44014275116386,-0.21679933579421728,1.2526809222473876,2604,1310,4440142.75116386,0.5282442748091603,25,0.75,1.027064900030382,124519,0,-0.11010004287861563
3.8348106924402714,-0.20414670824822967,1.3267995791227438,1985,1000,4834810.692440271,0.517,30,0.75,0.6638163999887183,115451,0,-0.11783488192457248
2.692130164401711,-0.22578803116410728,1.101636683336261,1547,782,3692130.164401711,0.47570332480818417,40,0.75,0.6589877000078559,102538,0,-0.11218107108283959
3.7481915852787564,-0.2244614339916008,1.3153970005979725,1383,701,4748191.585278757,0.4864479315263909,50,0.75,0.6612787999911234,93717,0,-0.10945007867776513
2.715449264297971,-0.21475151196060394,1.1244289434259258,1291,653,3715449.264297971,0.444104134762634,60,0.75,0.6703402999555692,86834,0,-0.10314645110728016
2.8628291017440497,-0.2457583803539738,1.1448703091752301,1177,595,3862829.1017440497,0.43025210084033616,75,0.75,0.6587087999796495,79173,0,-0.09925699356052631
