名稱,類別,段,起,訖,交易日,年化,SPY年化,年化超額,最大回撤,run_id
價格·相對強弱對 SPY·最優格,價格驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.1272725108068966,0.11601479123413205,0.011257719572764557,-0.15350309104333293,run-587ac813cd9de43b
價格·相對強弱對 SPY·最優格,價格驅動器,2020–2022,2020-01-02,2022-12-30,756,0.17836435751510593,0.0729504983196545,0.10541385919545143,-0.1886176257154657,run-587ac813cd9de43b
價格·相對強弱對 SPY·最優格,價格驅動器,2023–2026,2023-01-03,2026-08-26,915,0.25938087625028006,0.22760389922736812,0.031776977022911934,-0.18003721817298735,run-587ac813cd9de43b
價格·因子動量排名·最優格,價格驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13947018298436054,0.11601479123413205,0.023455391750228483,-0.17942692539944116,run-35c3f7e9979fe553
價格·因子動量排名·最優格,價格驅動器,2020–2022,2020-01-02,2022-12-30,756,0.03367724470823097,0.0729504983196545,-0.03927325361142353,-0.33761623917313643,run-35c3f7e9979fe553
價格·因子動量排名·最優格,價格驅動器,2023–2026,2023-01-03,2026-08-26,915,0.3520194108826864,0.22760389922736812,0.12441551165531828,-0.13251133017152528,run-35c3f7e9979fe553
固定權重·動能95價值5(monthly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.14394899292302799,0.11601479123413205,0.027934201688895932,-0.2209059031230719,run-70301c6999949938
固定權重·動能95價值5(monthly),對照,2020–2022,2020-01-02,2022-12-30,756,0.06155070664164941,0.0729504983196545,-0.011399791678005089,-0.34318639416687025,run-70301c6999949938
固定權重·動能95價值5(monthly),對照,2023–2026,2023-01-03,2026-08-26,915,0.24366407636828513,0.22760389922736812,0.01606017714091701,-0.20796992624945465,run-70301c6999949938
固定權重·動能95價值5(quarterly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.1438734334072176,0.11601479123413205,0.027858642173085535,-0.22095310617711084,run-4e615e6486fe691a
固定權重·動能95價值5(quarterly),對照,2020–2022,2020-01-02,2022-12-30,756,0.06174651054925451,0.0729504983196545,-0.011203987770399992,-0.3429867560059249,run-4e615e6486fe691a
固定權重·動能95價值5(quarterly),對照,2023–2026,2023-01-03,2026-08-26,915,0.24368934006684562,0.22760389922736812,0.016085440839477494,-0.20798734229044535,run-4e615e6486fe691a
固定權重·各佔25%(monthly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.12183651455143796,0.11601479123413205,0.005821723317305905,-0.19174845284663178,run-421bbc1103a3799e
固定權重·各佔25%(monthly),對照,2020–2022,2020-01-02,2022-12-30,756,0.051906394111311815,0.0729504983196545,-0.021044104208342684,-0.34995191959404337,run-421bbc1103a3799e
固定權重·各佔25%(monthly),對照,2023–2026,2023-01-03,2026-08-26,915,0.21526378877414665,0.22760389922736812,-0.012340110453221476,-0.16227558257162755,run-421bbc1103a3799e
固定權重·各佔25%(quarterly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.12173680180031332,0.11601479123413205,0.005722010566181268,-0.19128324553090492,run-72b3709b75129d47
固定權重·各佔25%(quarterly),對照,2020–2022,2020-01-02,2022-12-30,756,0.052321761869893235,0.0729504983196545,-0.020628736449761265,-0.34929286949736804,run-72b3709b75129d47
固定權重·各佔25%(quarterly),對照,2023–2026,2023-01-03,2026-08-26,915,0.21696723064843226,0.22760389922736812,-0.01063666857893586,-0.16215886635482613,run-72b3709b75129d47
