ma_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
50,0.5,monthly,3.051679789970782,0.12796718385650752,-0.34454358615084624,0.8777777777777778,0.7930184580041427,0.7197705504981213,676.6444444444444,1.2755234917537206,-0.06170251584067121,-0.010552510639771695,run-a2ba68ee827b9a11,560,450,2929,2015-01-02,2026-08-26,False,0.3106
50,0.5,quarterly,2.85706708285091,0.1231986211178917,-0.3463943960712177,0.8805970149253731,1.058043727172383,0.6686324413237287,728.4701492537314,0.5713601040593076,-0.06647107857928702,-0.015321073378387506,run-809da88945280c3a,188,134,2929,2015-01-02,2026-08-26,False,0.2814
50,0.75,monthly,2.88606063782671,0.12392279535026018,-0.3391353194095805,0.8836206896551724,0.5181342882024772,0.6633310052301612,677.989224137931,2.458692433409967,-0.06574690434691854,-0.014596899146019027,run-5f7620da68678dda,560,464,2929,2015-01-02,2026-08-26,False,0.2433
50,0.75,quarterly,2.4957170768720016,0.11372959807595273,-0.343572086012925,0.8851351351351351,0.5944653624552234,0.564766826271084,873.9797297297297,1.0881979860373567,-0.075940101621226,-0.02479009642032648,run-91cda4ee5fda5e1d,188,148,2929,2015-01-02,2026-08-26,False,0.2382
50,1.0,monthly,2.70170728753168,0.11923130942476168,-0.33372463297978683,0.6373626373626373,1.7719739755154833,0.5926962712344205,112.6043956043956,3.6307170655809604,-0.07043839027241705,-0.019288385071517533,run-73ffcb705b00c610,134,91,2929,2015-01-02,2026-08-26,False,0.3209
50,1.0,quarterly,2.1392081274010923,0.10346638522828511,-0.34082271654343366,0.7222222222222222,1.3584770524358556,0.45567801088303655,203.44444444444446,1.5948339260681927,-0.08620331446889362,-0.035053309267994104,run-0b4ad0f83e6aebba,56,36,2929,2015-01-02,2026-08-26,False,0.2192
100,0.5,monthly,2.9189109737393824,0.12473735768608885,-0.3445435861508461,0.8933333333333333,0.744226152019157,0.6832385988834292,705.2533333333333,0.9455879992950462,-0.06493234201108988,-0.013782336810190365,run-7d11e392aee2d339,560,450,2929,2015-01-02,2026-08-26,False,0.3289
100,0.5,quarterly,2.7513388405679025,0.12051499518962894,-0.3463943960712177,0.8823529411764706,0.9982787885414761,0.6430177434696254,757.4558823529412,0.5669255968485675,-0.06915470450754979,-0.018004699306650274,run-83291b009c33aeed,188,136,2929,2015-01-02,2026-08-26,False,0.2933
100,0.75,monthly,2.635525813132072,0.11749487613513354,-0.3391353194095803,0.8989247311827957,0.48175124654629076,0.5956906231373915,707.9354838709677,1.7858873208903707,-0.07217482356204519,-0.02102481836114567,run-9aad45e54a6f1b84,560,465,2929,2015-01-02,2026-08-26,False,0.3498
100,0.75,quarterly,2.3075582685872527,0.10843877930404089,-0.343572086012925,0.8859060402684564,0.5519463747821269,0.5179924067420326,884.5234899328859,1.0802418481075797,-0.08123092039313784,-0.030080915192238322,run-891427b2edead858,188,149,2929,2015-01-02,2026-08-26,False,0.2574
100,1.0,monthly,2.3494960636107316,0.10964142003195021,-0.3337246329797866,0.6419753086419753,1.8658866207768199,0.5013714388785127,126.50617283950618,2.605603634956436,-0.08002827966522852,-0.028878274464329,run-b7f9e417643d6b26,114,81,2929,2015-01-02,2026-08-26,False,0.2705
100,1.0,quarterly,1.8902834590534061,0.09564813350168211,-0.34082271654343366,0.7222222222222222,1.2496540081498544,0.39289969968063515,203.44444444444446,1.5822220028781335,-0.09402156619549662,-0.0428715609945971,run-e51b909c4099f720,56,36,2929,2015-01-02,2026-08-26,False,0.2126
150,0.5,monthly,3.035226674878409,0.1275722301450013,-0.3445435861508459,0.9066666666666666,1.1123784756431392,0.7029558445838763,803.5866666666667,0.6468255461713168,-0.06209746955217743,-0.010947464351277914,run-757c867b05839afe,560,450,2929,2015-01-02,2026-08-26,False,0.2221
150,0.5,quarterly,2.7441004844286043,0.12032875044324554,-0.3463943960712177,0.9632352941176471,2.4672574606339635,0.6381564340084285,888.0882352941177,0.3906981667480104,-0.06934094925393319,-0.018190944053033675,run-59284e4bc6dc776a,188,136,2929,2015-01-02,2026-08-26,False,0.2092
150,0.75,monthly,2.8548113650317415,0.12314207149674838,-0.33913531940957986,0.9114470842332614,0.6659479603737197,0.6334632196915206,797.4838012958963,1.1719825503294496,-0.06652762820043034,-0.015377622999530827,run-462e58891e9174be,560,463,2929,2015-01-02,2026-08-26,False,0.214
150,0.75,quarterly,2.2943954452093793,0.10805843772198931,-0.34357208601292477,0.9602649006622517,1.0157624465761637,0.5101619017883557,1016.2582781456954,0.7212509940975564,-0.08161126197518942,-0.030461256774289902,run-3ce7ebd10db43ebe,188,151,2929,2015-01-02,2026-08-26,False,0.1692
150,1.0,monthly,2.65747455931751,0.11807393443707515,-0.3337246329797866,0.6231884057971014,3.175131287381671,0.5548690799304101,148.5072463768116,1.6645965095019588,-0.07159576526010358,-0.020445760059204066,run-a8e43ae9b9e53d19,90,69,2929,2015-01-02,2026-08-26,False,0.2013
150,1.0,quarterly,1.8725011970787215,0.09506633683798094,-0.34082271654343366,0.7666666666666667,4.824332030034561,0.3838065367001896,256.8,1.0352840939826138,-0.09460336285919779,-0.043453357658298275,run-91e501895e5944d4,44,30,2929,2015-01-02,2026-08-26,False,0.3231
200,0.5,monthly,2.9718801042152267,0.12603773787217643,-0.344543586150846,0.8911111111111111,1.1412287519859874,0.6891708330754714,769.4222222222222,0.7338457503433251,-0.0636319618250023,-0.012481956624102786,run-f299b624f2d70018,560,450,2929,2015-01-02,2026-08-26,False,0.2344
200,0.5,quarterly,2.7441004844286043,0.12032875044324554,-0.3463943960712177,0.9632352941176471,2.4672574606339635,0.6381564340084285,888.0882352941177,0.3906981667480104,-0.06934094925393319,-0.018190944053033675,run-be520a5c29205394,188,136,2929,2015-01-02,2026-08-26,False,0.1891
200,0.75,monthly,2.7348554361795694,0.12009039384896103,-0.33913531940957975,0.8939393939393939,0.6458920017005076,0.6078968217407179,761.3852813852814,1.3500090086285192,-0.0695793058482177,-0.01842930064731818,run-6a38e4539aa74781,560,462,2929,2015-01-02,2026-08-26,False,0.2242
200,0.75,quarterly,2.2943954452093793,0.10805843772198931,-0.34357208601292477,0.9602649006622517,1.0157624465761637,0.5101619017883557,1016.2582781456954,0.7212509940975564,-0.08161126197518942,-0.030461256774289902,run-d4a4180f9f5eec1f,188,151,2929,2015-01-02,2026-08-26,False,0.1667
200,1.0,monthly,2.488248438108577,0.11352460519074681,-0.3337246329797867,0.6301369863013698,2.3826786651128016,0.5199735307840422,140.36986301369862,1.9366949037002263,-0.07614509450643192,-0.024995089305532403,run-5d9e1292ea955f7e,98,73,2929,2015-01-02,2026-08-26,False,0.2356
