lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
1,winner,monthly,-0.34082271654343377,236,普通,1,1,-0.3408227165434337,-0.34082271654343366,-5.551115123125783e-17,,False,mode=winner、cadence=monthly,3,-0.39470511056486796,0.05388239402143424
1,winner,quarterly,-0.3947051105648679,86,普通,1,1,-0.39470511056486796,-0.394705110564868,5.551115123125783e-17,,True,mode=winner、cadence=quarterly,3,-0.3578331067395261,-0.03687200382534184
1,rank,monthly,-0.3423447885504073,560,普通,1,1,-0.3423203934836453,-0.3422959984168833,-2.439506676199521e-05,,False,mode=rank、cadence=monthly,3,-0.39470511056486796,0.052384717081222665
1,rank,quarterly,-0.3575507569399221,188,普通,1,1,-0.3578331067395261,-0.35811545653913013,0.0002823497996040092,,True,mode=rank、cadence=quarterly,3,-0.39470511056486796,0.03687200382534184
3,winner,monthly,-0.34082271654343366,144,普通,2,2,-0.34124812366725726,-0.341460827229169,0.0004254071238236068,,True,mode=winner、cadence=monthly,3,-0.394705110564868,0.05345698689761075
3,winner,quarterly,-0.394705110564868,74,普通,2,2,-0.394705110564868,-0.39470511056486796,0.0,,False,mode=winner、cadence=quarterly,3,-0.3577389901396581,-0.036966120425209914
3,rank,monthly,-0.3422959984168833,560,普通,2,2,-0.3453935793999097,-0.34694236989142296,0.0030975809830264267,,True,mode=rank、cadence=monthly,3,-0.394705110564868,0.04931153116495829
3,rank,quarterly,-0.35811545653913013,188,普通,2,2,-0.3577389901396581,-0.35755075693992205,-0.00037646639947203075,,False,mode=rank、cadence=quarterly,3,-0.394705110564868,0.036966120425209914
6,winner,monthly,-0.3420989379149042,124,普通,2,2,-0.34124812366725726,-0.34082271654343377,-0.000850814247646936,,False,mode=winner、cadence=monthly,3,-0.3766591310513962,0.03541100738413894
6,winner,quarterly,-0.394705110564868,60,普通,2,2,-0.3766591310513962,-0.36763614129466027,-0.01804597951347181,,False,mode=winner、cadence=quarterly,3,-0.3559572571365648,-0.020701873914831415
6,rank,monthly,-0.35153995123243864,560,普通,2,2,-0.34575261926492384,-0.34285895328116645,-0.005787331967514797,,False,mode=rank、cadence=monthly,3,-0.3766591310513962,0.030906511786472357
6,rank,quarterly,-0.357550756939922,188,普通,2,2,-0.3559572571365648,-0.3551605072348862,-0.0015934998033572123,,False,mode=rank、cadence=quarterly,3,-0.3766591310513962,0.020701873914831415
9,winner,monthly,-0.3408227165434339,96,普通,2,2,-0.34124812366725726,-0.34146082722916893,0.00042540712382338475,,False,mode=winner、cadence=monthly,3,-0.35861315153792434,0.01736502787066707
9,winner,quarterly,-0.3405671720244525,50,普通,2,2,-0.35861315153792434,-0.36763614129466027,0.01804597951347181,,False,mode=winner、cadence=quarterly,3,-0.3505812935941783,-0.008031857943746057
9,rank,monthly,-0.3434219081454496,560,普通,2,2,-0.34576888264276534,-0.3469423698914232,0.002346974497315746,,False,mode=rank、cadence=monthly,3,-0.35861315153792434,0.012844268895158995
9,rank,quarterly,-0.35220555793064223,188,普通,2,2,-0.3505812935941783,-0.3497691614259463,-0.0016242643364639542,,False,mode=rank、cadence=quarterly,3,-0.35861315153792434,0.008031857943746057
12,winner,monthly,-0.34082271654343366,90,普通,1,1,-0.34082271654343377,-0.3408227165434339,1.1102230246251565e-16,,True,mode=winner、cadence=monthly,3,-0.3470965619213064,0.006273845377872622
12,winner,quarterly,-0.3405671720244525,48,山脊,1,1,-0.3405671720244525,-0.3405671720244525,0.0,,False,mode=winner、cadence=quarterly,3,-0.3470965619213064,0.0065293898968538655
12,rank,monthly,-0.34234478855040773,560,普通,1,1,-0.34288334834792866,-0.3434219081454496,0.0005385597975209322,,True,mode=rank、cadence=monthly,3,-0.3470965619213064,0.004213213573377728
12,rank,quarterly,-0.34198756591197055,188,孤峰,1,1,-0.3470965619213064,-0.35220555793064223,0.005108996009335842,,True,mode=rank、cadence=quarterly,3,-0.34288334834792866,-0.004213213573377728
