lookback_days,power,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
21,1.0,monthly,3.0641173337010326,0.12826477293642657,-0.3483758307501832,0.9054820415879017,2.425967737431759,0.7540098129015115,404.04158790170135,0.6324764428887868,-0.061404926760752154,-0.010254921559852637,run-acfcaa4a10679c53,560,529,2929,2015-01-02,2026-08-26,False,0.4133
21,1.0,quarterly,3.0995829911727864,0.12910880039960992,-0.3450345346565745,0.975,10.248589828275483,0.7599059961556289,870.53125,0.29613856045193543,-0.060560899297568804,-0.009410894096669287,run-d94a194c0b05d08c,188,160,2929,2015-01-02,2026-08-26,False,0.2486
21,2.0,monthly,2.8892641509425285,0.12400250654811584,-0.3468685331683984,0.8431734317343174,2.0665932411723213,0.7352422647699766,219.9538745387454,1.15872976107539,-0.06566719314906289,-0.014517187948163368,run-220293617980916e,560,542,2929,2015-01-02,2026-08-26,False,0.3586
21,2.0,quarterly,2.9341905709950753,0.12511410880743745,-0.34157597534520445,0.9248554913294798,3.104554754623673,0.7437192629260584,496.97109826589593,0.5036502880110675,-0.06455559088974128,-0.013405585688841759,run-15e9b3a684b25295,188,173,2929,2015-01-02,2026-08-26,False,0.3173
63,1.0,monthly,3.0526121427037864,0.12798952088521376,-0.34771402233633164,0.9678111587982833,10.520029775087265,0.7492931264342607,861.9420600858369,0.2977303242816357,-0.06168017881196497,-0.010530173611065452,run-ea424f3f353010fb,560,466,2929,2015-01-02,2026-08-26,False,0.345
63,1.0,quarterly,3.022808771694648,0.12727316508620157,-0.3460733131797511,0.9731543624161074,19.33403314600514,0.7420167413293575,1139.4697986577182,0.2212213311883767,-0.06239653461097716,-0.011246529410077644,run-9d07853fb567685e,188,149,2929,2015-01-02,2026-08-26,False,0.2619
63,2.0,monthly,2.8848365644377285,0.12389232156855345,-0.3457040134378362,0.8978805394990366,3.4444765060334808,0.7316760043606012,487.2697495183044,0.5095273489331803,-0.06577737812862527,-0.014627372927725757,run-7282288e8ffc793a,560,519,2929,2015-01-02,2026-08-26,False,0.3415
63,2.0,quarterly,2.823728907606156,0.12235975602942406,-0.3431805449863712,0.930635838150289,3.957561162881049,0.717527706733849,723.4624277456647,0.37848728568870804,-0.06730994366775467,-0.01615993846685515,run-2808f97c2d665d6e,188,173,2929,2015-01-02,2026-08-26,False,0.2462
126,1.0,monthly,2.976541760072572,0.12615142038927818,-0.3474525311796559,0.9727722772277227,13.444472522747743,0.7325585449881731,1221.1658415841584,0.19092477089270338,-0.06351827930790055,-0.012368274107001032,run-72497c6dcc79fb54,560,404,2929,2015-01-02,2026-08-26,False,0.3058
126,1.0,quarterly,3.026495453349588,0.1273620407952729,-0.34658619062738893,0.9669421487603306,23.74157552485861,0.7420597158892117,1395.5785123966941,0.14926398667125038,-0.062307658901905816,-0.011157653701006298,run-6d6e62db9fa9e431,188,121,2929,2015-01-02,2026-08-26,False,0.2486
126,2.0,monthly,2.7641585371419533,0.12084404476605415,-0.34514804466320825,0.9498956158663883,3.175517383089868,0.7039135662034391,821.7202505219207,0.30601395637051354,-0.06882565493112458,-0.017675649730225063,run-07398c1d93d54985,560,479,2929,2015-01-02,2026-08-26,False,0.3365
126,2.0,quarterly,2.8344144607414274,0.1226293545487378,-0.3440020806111448,0.9533333333333334,4.163194941697774,0.7191600277919435,1034.3333333333333,0.23489014892972848,-0.06704034514844093,-0.01589033994754141,run-f918375f1d5bdfbb,188,150,2929,2015-01-02,2026-08-26,False,0.2348
252,1.0,monthly,3.092431134221278,0.12893913594628703,-0.3473023340126019,0.9673024523160763,36.49014275662893,0.7543849745081269,1364.384196185286,0.1518113623427153,-0.0607305637508917,-0.00958055854999218,run-d4efddfd68b0de91,560,367,2929,2015-01-02,2026-08-26,False,0.3565
252,1.0,quarterly,3.1365366625073747,0.12998117062261083,-0.34656732030692183,0.9658119658119658,47.87107070541078,0.761877952336817,1418.6239316239316,0.1280956330488279,-0.0596885290745679,-0.00853852387366838,run-9deb1bbd338543f2,188,117,2929,2015-01-02,2026-08-26,False,0.2423
252,2.0,monthly,2.972947886702311,0.1260637883522142,-0.3448451613383525,0.9672897196261683,13.346947957898426,0.7469560435161703,1084.8411214953271,0.21446975353972314,-0.06360591134496452,-0.012455906144064999,run-2ee1e51ca230b959,560,428,2929,2015-01-02,2026-08-26,False,0.338
252,2.0,quarterly,3.034559807739334,0.1275561911178995,-0.3439520172976014,0.9699248120300752,21.329856654679517,0.7584835343818773,1177.2556390977443,0.1859128503368324,-0.06211350857927922,-0.010963503378379702,run-a8dafe60be90d383,188,133,2929,2015-01-02,2026-08-26,False,0.4781
