group,rank_month,holding_month,picks,flow_top3_pct,flow_rank_all_pct,usd_version_picks,gross_ret_pct,net_ret_pct,spy_ret_pct,ew9_ret_pct,turnover,hits_in_top3
main_flow_1m,2016-11,2016-12,XLV|XLE|XLY,-0.000|0.000|0.002,XLV:-0.000|XLE:0.000|XLY:0.002|XLU:0.002|XLI:0.003|XLP:0.003|XLB:0.003|XLF:0.004|XLK:0.009,XLV|XLE|XLU,0.9965687028623179,0.9299020361956514,2.5535173309134906,2.3205489712577396,0.6666666666666666,0
main_flow_1m,2016-12,2017-01,XLY|XLV|XLU,-0.004|-0.003|-0.002,XLY:-0.004|XLV:-0.003|XLU:-0.002|XLE:-0.002|XLB:-0.002|XLP:-0.002|XLF:-0.002|XLK:-0.001|XLI:-0.001,XLY|XLV|XLU,2.056859920025045,2.023526586691711,1.1064900829760083,1.383352087922491,0.3333333333333333,1
main_flow_1m,2017-01,2017-02,XLK|XLF|XLP,-0.006|-0.002|-0.001,XLK:-0.006|XLF:-0.002|XLP:-0.001|XLV:-0.001|XLU:-0.001|XLI:0.001|XLB:0.002|XLE:0.002|XLY:0.002,XLK|XLF|XLP,5.338596116177255,5.238596116177256,4.772991889240985,3.83448282642234,0.9999999999999999,2
main_flow_1m,2017-02,2017-03,XLY|XLI|XLK,-0.005|-0.003|-0.001,XLY:-0.005|XLI:-0.003|XLK:-0.001|XLF:-0.000|XLE:0.000|XLU:0.000|XLB:0.000|XLP:0.001|XLV:0.004,XLY|XLI|XLK,0.3953307415449599,0.32866407487829324,-0.6561410008013024,-0.6566900921915647,0.6666666666666666,2
main_flow_1m,2017-03,2017-04,XLP|XLB|XLV,-0.005|-0.002|-0.000,XLP:-0.005|XLB:-0.002|XLV:-0.000|XLI:-0.000|XLU:-0.000|XLE:0.000|XLY:0.000|XLF:0.003|XLK:0.006,XLP|XLB|XLV,1.4645947555997387,1.3645947555997389,1.2213519970946773,0.976840730121447,0.9999999999999999,0
main_flow_1m,2017-04,2017-05,XLV|XLB|XLP,-0.007|-0.004|-0.001,XLV:-0.007|XLB:-0.004|XLP:-0.001|XLU:-0.001|XLF:-0.001|XLI:0.000|XLY:0.002|XLE:0.002|XLK:0.003,XLV|XLB|XLP,0.9615197810397658,0.9615197810397658,1.3784387921548458,0.9626123557695407,0.0,1
main_flow_1m,2017-05,2017-06,XLE|XLY|XLP,-0.003|-0.003|-0.002,XLE:-0.003|XLY:-0.003|XLP:-0.002|XLK:-0.002|XLU:-0.001|XLI:-0.001|XLF:-0.001|XLV:0.001|XLB:0.002,XLE|XLY|XLP,-1.1133936540023557,-1.1800603206690221,0.8655557982382822,0.7452449846296758,0.6666666666666666,0
main_flow_1m,2017-06,2017-07,XLB|XLF|XLU,0.000|0.000|0.001,XLB:0.000|XLF:0.000|XLU:0.001|XLI:0.001|XLE:0.002|XLV:0.002|XLY:0.004|XLK:0.005|XLP:0.008,XLB|XLF|XLU,1.9863767339611,1.8863767339611,1.8857285546578062,1.807844697400322,0.9999999999999999,1
main_flow_1m,2017-07,2017-08,XLP|XLB|XLF,-0.004|-0.003|-0.003,XLP:-0.004|XLB:-0.003|XLF:-0.003|XLI:-0.003|XLY:-0.002|XLK:-0.002|XLU:-0.002|XLE:-0.001|XLV:-0.001,XLP|XLB|XLF,-0.7995557258601386,-0.8328890591934719,0.18586323048019882,-0.2057223045530601,0.3333333333333333,0
main_flow_1m,2017-08,2017-09,XLV|XLK|XLF,-0.005|-0.002|-0.001,XLV:-0.005|XLK:-0.002|XLF:-0.001|XLE:-0.001|XLU:-0.000|XLP:0.001|XLY:0.001|XLI:0.002|XLB:0.002,XLV|XLK|XLF,2.225905469468148,2.1592388028014815,1.9433949447759558,2.1622195872076295,0.6666666666666666,1
