proxy,entry,exit,top_n,k,n_entries,avg_hold_days,avg_slots_filled,pct_days_empty,pct_days_full,turnover_ann,maxdd_port,maxdd_pick,port_cagr_0,pick_cagr_0,port_cagr_15,pick_cagr_15,port_cagr_25,pick_cagr_25,port_cagr_50,pick_cagr_50,pick_month_mean_pct,spy_month_mean_pct,spy_cagr,xlk_cagr,pool_ew_cagr,rand_p5,rand_p50,rand_p95,vs_spy,vs_xlk,vs_pool,port_vs_spy,port_vs_xlk,beats_rand
fwd_yield,rsi2d_lt10,trail_20,3,10,285,190.9,9.98,0.0,98.8,2.6,-54.8,-55.12,10.745,10.831,10.315,10.394,10.029,10.103,9.318,9.379,0.96,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-0.509,-5.265,-5.572,-0.588,-5.344,False
fwd_yield,rsi2d_lt10,trail_20,3,15,430,189.7,14.97,0.0,98.0,2.626,-51.02,-50.9,13.184,13.295,12.74,12.836,12.445,12.531,11.711,11.771,1.135,0.958,10.903,15.659,15.966,10.659,12.615,14.829,1.933,-2.823,-3.13,1.837,-2.919,False
fwd_yield,rsi2d_lt10,time_3m,3,6,509,63.1,5.89,0.0,92.9,7.773,-67.12,-67.12,15.426,16.111,14.087,14.586,13.203,13.579,11.02,11.099,1.459,0.958,10.903,15.659,15.966,7.746,12.051,16.624,3.683,-1.073,-1.38,3.184,-1.572,False
fwd_yield,rsi2d_lt10,time_3m,3,10,842,63.3,9.78,0.0,87.6,7.744,-65.13,-65.32,16.399,16.865,15.054,15.37,14.166,14.383,11.974,11.951,1.446,0.958,10.903,15.659,15.966,9.455,12.427,15.506,4.467,-0.289,-0.596,4.151,-0.605,False
fwd_yield,rsi2d_lt10,time_3m,3,15,1250,63.5,14.57,0.0,79.5,7.674,-61.26,-61.49,14.829,15.18,13.515,13.728,12.647,12.77,10.506,10.409,1.284,0.958,10.903,15.659,15.966,10.659,12.615,14.829,2.825,-1.931,-2.238,2.612,-2.144,False
fwd_yield,rsi2d_lt10,time_6m,3,6,263,123.1,5.94,0.0,96.1,3.994,-57.07,-56.14,17.417,17.675,16.716,16.88,16.25,16.353,15.094,15.044,1.563,0.958,10.903,15.659,15.966,7.746,12.051,16.624,5.977,1.221,0.914,5.813,1.057,True
fwd_yield,rsi2d_lt10,time_6m,3,10,434,124.0,9.88,0.0,93.1,3.971,-58.18,-57.25,14.946,15.273,14.264,14.531,13.811,14.038,12.686,12.815,1.347,0.958,10.903,15.659,15.966,9.455,12.427,15.506,3.628,-1.128,-1.435,3.361,-1.395,False
fwd_yield,rsi2d_lt10,time_6m,3,15,645,124.7,14.76,0.0,89.0,3.946,-54.52,-54.42,15.414,15.936,14.733,15.184,14.281,14.685,13.159,13.447,1.39,0.958,10.903,15.659,15.966,10.659,12.615,14.829,4.281,-0.475,-0.782,3.83,-0.926,True
fwd_yield,rsi2d_lt10,drop_out,3,6,187,173.6,5.96,0.0,97.3,2.824,-68.06,-68.62,14.032,14.361,13.55,13.826,13.23,13.471,12.432,12.586,1.341,0.958,10.903,15.659,15.966,7.746,12.051,16.624,2.923,-1.833,-2.14,2.647,-2.109,False
fwd_yield,rsi2d_lt10,drop_out,3,10,394,136.8,9.89,0.0,94.2,3.606,-62.14,-62.92,15.805,15.889,15.18,15.223,14.766,14.78,13.735,13.681,1.418,0.958,10.903,15.659,15.966,9.455,12.427,15.506,4.32,-0.436,-0.743,4.277,-0.479,False
fwd_yield,rsi2d_lt10,drop_out,3,15,705,113.5,14.69,0.0,85.9,4.316,-56.7,-59.35,16.824,16.612,16.07,15.8,15.57,15.261,14.328,13.925,1.434,0.958,10.903,15.659,15.966,10.659,12.615,14.829,4.897,0.141,-0.166,5.167,0.411,True
fwd_yield,rsi2w_lt10,rsi2d_gt90,3,6,1496,11.7,3.21,11.8,26.4,23.003,-59.11,-70.11,15.241,12.012,11.333,4.958,8.801,0.498,2.713,-9.858,0.747,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-5.945,-10.701,-11.008,0.43,-4.326,False
fwd_yield,rsi2w_lt10,rsi2d_gt90,3,10,1827,11.9,4.0,10.9,11.9,16.859,-62.35,-71.85,14.857,12.491,11.991,5.071,10.119,0.392,5.573,-10.434,0.753,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-5.832,-10.588,-10.895,1.088,-3.668,False
fwd_yield,rsi2w_lt10,rsi2d_gt90,3,15,2018,11.9,4.41,10.6,4.1,12.415,-59.85,-75.1,14.007,11.862,11.905,4.282,10.525,-0.491,7.147,-11.51,0.665,0.958,10.903,15.659,15.966,10.659,12.615,14.829,-6.621,-11.377,-11.684,1.002,-3.754,False
fwd_yield,rsi2w_lt10,death_cross,3,6,6864,1.6,1.97,24.6,9.7,105.619,-83.91,-99.89,11.834,2.711,-4.558,-26.784,-14.139,-41.609,-34.12,-66.904,-2.086,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-37.687,-42.443,-42.75,-15.461,-20.217,False
fwd_yield,rsi2w_lt10,death_cross,3,10,7487,1.6,2.18,23.6,2.6,69.125,-69.51,-99.89,12.112,2.646,1.069,-27.077,-5.687,-41.977,-20.684,-67.308,-2.16,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-37.98,-42.736,-43.043,-9.834,-14.59,False
fwd_yield,rsi2w_lt10,death_cross,3,15,7629,1.6,2.22,23.7,0.3,46.958,-66.63,-99.9,11.674,2.466,4.08,-27.264,-0.697,-42.159,-11.71,-67.459,-2.169,0.958,10.903,15.659,15.966,10.659,12.615,14.829,-38.167,-42.923,-43.23,-6.823,-11.579,False
fwd_yield,rsi2w_lt10,trail_10,3,6,532,59.4,5.8,0.2,88.6,8.165,-64.64,-65.55,16.113,15.688,14.701,14.124,13.768,13.093,11.468,10.553,1.289,0.958,10.903,15.659,15.966,7.746,12.051,16.624,3.221,-1.535,-1.842,3.798,-0.958,False
fwd_yield,rsi2w_lt10,trail_10,3,10,870,59.4,9.48,0.2,79.6,8.021,-63.52,-69.3,15.549,14.48,14.17,12.876,13.259,11.819,11.013,9.217,1.187,0.958,10.903,15.659,15.966,9.455,12.427,15.506,1.973,-2.783,-3.09,3.267,-1.489,False
fwd_yield,rsi2w_lt10,trail_10,3,15,1267,59.7,13.88,0.2,66.4,7.791,-58.66,-64.53,14.175,13.146,12.85,11.519,11.976,10.448,9.818,7.811,1.077,0.958,10.903,15.659,15.966,10.659,12.615,14.829,0.616,-4.14,-4.447,1.947,-2.809,False
fwd_yield,rsi2w_lt10,trail_20,3,6,187,173.8,5.96,0.1,97.3,2.855,-64.99,-65.24,9.504,9.691,9.038,9.212,8.728,8.894,7.956,8.102,0.923,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-1.691,-6.447,-6.754,-1.865,-6.621,False
fwd_yield,rsi2w_lt10,trail_20,3,10,309,174.4,9.89,0.1,94.2,2.84,-61.68,-61.94,11.012,11.52,10.542,11.031,10.23,10.705,9.452,9.896,1.051,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.128,-4.628,-4.935,-0.361,-5.117,False
fwd_yield,rsi2w_lt10,trail_20,3,15,441,182.4,14.77,0.1,91.6,2.706,-60.24,-58.48,12.393,13.037,11.939,12.554,11.637,12.233,10.886,11.434,1.134,0.958,10.903,15.659,15.966,10.659,12.615,14.829,1.651,-3.105,-3.412,1.036,-3.72,False
fwd_yield,rsi2w_lt10,time_3m,3,6,475,63.5,5.53,0.1,74.5,7.288,-62.94,-63.08,19.572,21.567,18.271,20.019,17.411,18.998,15.288,16.481,1.806,0.958,10.903,15.659,15.966,7.746,12.051,16.624,9.116,4.36,4.053,7.368,2.612,True
fwd_yield,rsi2w_lt10,time_3m,3,10,742,63.6,8.66,0.1,55.1,6.839,-66.06,-66.31,17.534,19.318,16.335,17.78,15.542,16.765,13.583,14.264,1.637,0.958,10.903,15.659,15.966,9.455,12.427,15.506,6.877,2.121,1.814,5.432,0.676,True
fwd_yield,rsi2w_lt10,time_3m,3,15,1011,63.6,11.8,0.1,34.6,6.215,-58.56,-59.96,18.938,21.642,17.835,20.014,17.105,18.94,15.299,16.295,1.758,0.958,10.903,15.659,15.966,10.659,12.615,14.829,9.111,4.355,4.048,6.932,2.176,True
fwd_yield,rsi2w_lt10,time_6m,3,6,253,124.8,5.79,0.1,85.4,3.871,-66.32,-67.08,14.204,14.236,13.542,13.518,13.103,13.042,12.013,11.859,1.32,0.958,10.903,15.659,15.966,7.746,12.051,16.624,2.615,-2.141,-2.448,2.639,-2.117,False
fwd_yield,rsi2w_lt10,time_6m,3,10,413,125.2,9.49,0.1,75.5,3.8,-67.68,-68.11,10.782,10.766,10.153,10.071,9.735,9.61,8.698,8.465,1.024,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-0.832,-5.588,-5.895,-0.75,-5.506,False
fwd_yield,rsi2w_lt10,time_6m,3,15,602,125.5,13.86,0.1,61.3,3.697,-61.37,-61.44,15.004,15.726,14.368,14.995,13.946,14.51,12.897,13.307,1.369,0.958,10.903,15.659,15.966,10.659,12.615,14.829,4.092,-0.664,-0.971,3.465,-1.291,True
fwd_yield,rsi2w_lt10,drop_out,3,6,191,167.5,5.87,0.1,90.4,2.917,-59.99,-60.13,13.869,13.933,13.371,13.405,13.041,13.055,12.218,12.182,1.315,0.958,10.903,15.659,15.966,7.746,12.051,16.624,2.502,-2.254,-2.561,2.468,-2.288,False
fwd_yield,rsi2w_lt10,drop_out,3,10,386,134.8,9.55,0.1,76.3,3.551,-57.83,-57.9,16.352,16.628,15.734,15.954,15.324,15.507,14.303,14.395,1.462,0.958,10.903,15.659,15.966,9.455,12.427,15.506,5.051,0.295,-0.012,4.831,0.075,True
fwd_yield,rsi2w_lt10,drop_out,3,15,653,112.9,13.53,0.1,49.9,4.008,-56.26,-55.56,19.022,19.292,18.309,18.476,17.835,17.935,16.659,16.594,1.631,0.958,10.903,15.659,15.966,10.659,12.615,14.829,7.573,2.817,2.51,7.406,2.65,True
fwd_yield,dd_5,rsi2d_gt90,3,6,3323,9.8,5.97,0.0,98.5,51.101,-73.76,-73.76,14.037,13.977,5.619,5.468,0.35,0.147,-11.714,-12.024,0.743,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-5.435,-10.191,-10.498,-5.284,-10.04,False
fwd_yield,dd_5,rsi2d_gt90,3,10,5403,9.9,9.8,0.0,92.2,49.87,-61.76,-61.76,17.899,17.976,9.399,9.154,4.072,3.638,-8.15,-8.974,0.979,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-1.749,-6.505,-6.812,-1.504,-6.26,False
fwd_yield,dd_5,rsi2d_gt90,3,15,7585,10.0,13.98,0.0,75.0,46.681,-54.21,-54.2,18.341,18.921,10.336,9.873,5.3,4.223,-6.317,-8.674,1.013,0.958,10.903,15.659,15.966,10.659,12.615,14.829,-1.03,-5.786,-6.093,-0.567,-5.323,False
fwd_yield,dd_5,death_cross,3,6,8736,3.7,6.0,0.0,99.9,134.41,-87.14,-87.13,15.49,15.588,-5.603,-5.518,-17.493,-17.416,-41.11,-41.051,-0.2,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-16.421,-21.177,-21.484,-16.506,-21.262,False
fwd_yield,dd_5,death_cross,3,10,14747,3.7,9.99,0.0,99.4,136.158,-86.74,-86.88,15.136,15.2,-6.136,-6.097,-18.1,-18.074,-41.791,-41.788,-0.298,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-17.0,-21.756,-22.063,-17.039,-21.795,False
fwd_yield,dd_5,death_cross,3,15,22230,3.6,14.75,0.0,88.9,136.84,-87.7,-89.25,15.206,15.439,-6.176,-6.629,-18.19,-18.958,-41.952,-43.155,-0.364,0.958,10.903,15.659,15.966,10.659,12.615,14.829,-17.532,-22.288,-22.595,-17.079,-21.835,False
fwd_yield,dd_5,trail_10,3,6,664,49.2,6.0,0.0,100.0,10.174,-61.56,-61.56,18.307,18.4,16.52,16.619,15.342,15.446,12.448,12.562,1.527,0.958,10.903,15.659,15.966,7.746,12.051,16.624,5.716,0.96,0.653,5.617,0.861,False
fwd_yield,dd_5,trail_10,3,10,1122,48.6,10.0,0.0,99.9,10.334,-59.79,-59.79,13.547,13.635,11.803,11.896,10.654,10.75,7.833,7.936,1.152,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.993,-3.763,-4.07,0.9,-3.856,False
fwd_yield,dd_5,trail_10,3,15,1640,49.8,14.99,0.0,99.9,10.079,-54.05,-54.1,13.908,13.996,12.202,12.291,11.079,11.168,8.317,8.407,1.154,0.958,10.903,15.659,15.966,10.659,12.615,14.829,1.388,-3.368,-3.675,1.299,-3.457,False
fwd_yield,dd_5,trail_20,3,6,220,148.6,6.0,0.0,100.0,3.34,-70.19,-70.19,11.56,11.648,11.003,11.098,10.633,10.733,9.712,9.824,1.16,0.958,10.903,15.659,15.966,7.746,12.051,16.624,0.195,-4.561,-4.868,0.1,-4.656,False
fwd_yield,dd_5,trail_20,3,10,333,163.6,10.0,0.0,99.9,3.048,-58.41,-58.41,11.58,11.667,11.073,11.165,10.735,10.832,9.896,10.001,1.064,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.262,-4.494,-4.801,0.17,-4.586,False
fwd_yield,dd_5,trail_20,3,15,456,179.2,14.99,0.0,99.9,2.789,-51.77,-51.77,13.062,13.155,12.592,12.687,12.28,12.375,11.502,11.6,1.133,0.958,10.903,15.659,15.966,10.659,12.615,14.829,1.784,-2.972,-3.279,1.689,-3.067,False
fwd_yield,dd_5,time_3m,3,6,519,63.0,6.0,0.0,99.9,7.942,-62.25,-62.25,16.525,16.571,15.142,15.195,14.227,14.285,11.963,12.033,1.435,0.958,10.903,15.659,15.966,7.746,12.051,16.624,4.292,-0.464,-0.771,4.239,-0.517,False
fwd_yield,dd_5,time_3m,3,10,860,63.3,9.99,0.0,99.5,7.915,-55.93,-55.93,18.204,18.211,16.809,16.816,15.888,15.894,13.613,13.618,1.534,0.958,10.903,15.659,15.966,9.455,12.427,15.506,5.913,1.157,0.85,5.906,1.15,True
fwd_yield,dd_5,time_3m,3,15,1283,63.5,14.96,0.0,98.1,7.881,-59.58,-59.58,18.963,19.034,17.564,17.627,16.64,16.698,14.361,14.406,1.601,0.958,10.903,15.659,15.966,10.659,12.615,14.829,6.724,1.968,1.661,6.661,1.905,True
fwd_yield,dd_5,time_6m,3,6,264,123.8,6.0,0.0,100.0,4.017,-68.81,-68.81,17.447,17.54,16.74,16.84,16.27,16.375,15.099,15.216,1.619,0.958,10.903,15.659,15.966,7.746,12.051,16.624,5.937,1.181,0.874,5.837,1.081,True
fwd_yield,dd_5,time_6m,3,10,436,124.9,9.99,0.0,99.9,3.999,-63.09,-63.09,14.077,14.178,13.395,13.5,12.942,13.05,11.816,11.93,1.317,0.958,10.903,15.659,15.966,9.455,12.427,15.506,2.597,-2.159,-2.466,2.492,-2.264,False
fwd_yield,dd_5,time_6m,3,15,650,125.6,14.98,0.0,99.4,3.983,-61.13,-61.13,15.307,15.422,14.62,14.734,14.164,14.277,13.031,13.142,1.376,0.958,10.903,15.659,15.966,10.659,12.615,14.829,3.831,-0.925,-1.232,3.717,-1.039,False
fwd_yield,dd_5,drop_out,3,6,174,187.9,6.0,0.0,100.0,2.632,-71.44,-71.44,15.144,15.234,14.689,14.787,14.386,14.489,13.632,13.748,1.472,0.958,10.903,15.659,15.966,7.746,12.051,16.624,3.884,-0.872,-1.179,3.786,-0.97,False
fwd_yield,dd_5,drop_out,3,10,375,145.3,10.0,0.0,99.9,3.435,-59.81,-59.81,16.296,16.405,15.698,15.812,15.3,15.418,14.311,14.437,1.47,0.958,10.903,15.659,15.966,9.455,12.427,15.506,4.909,0.153,-0.154,4.795,0.039,True
fwd_yield,dd_5,drop_out,3,15,641,127.4,14.99,0.0,99.7,3.928,-58.16,-58.16,17.399,17.518,16.709,16.829,16.251,16.372,15.113,15.235,1.513,0.958,10.903,15.659,15.966,10.659,12.615,14.829,5.926,1.17,0.863,5.806,1.05,True
fwd_yield,dd_10,rsi2d_gt90,3,6,3097,10.1,5.73,0.3,88.5,47.623,-72.23,-72.7,18.228,19.919,10.073,10.882,4.946,5.233,-6.861,-7.676,1.198,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-0.021,-4.777,-5.084,-0.83,-5.586,False
fwd_yield,dd_10,rsi2d_gt90,3,10,4686,10.3,8.85,0.3,69.4,43.248,-63.16,-65.45,18.759,20.896,11.296,11.71,6.581,5.973,-4.362,-7.126,1.211,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.807,-3.949,-4.256,0.393,-4.363,False
fwd_yield,dd_10,rsi2d_gt90,3,15,6126,10.4,11.69,0.3,45.5,37.698,-60.37,-64.99,17.367,20.384,10.913,10.994,6.806,5.141,-2.813,-8.189,1.145,0.958,10.903,15.659,15.966,10.659,12.615,14.829,0.091,-4.665,-4.972,0.01,-4.746,False
fwd_yield,dd_10,death_cross,3,6,10976,2.9,5.91,0.1,94.4,168.888,-95.28,-95.54,15.217,16.029,-10.577,-10.459,-24.497,-24.685,-50.584,-51.176,-0.605,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-21.362,-26.118,-26.425,-21.48,-26.236,False
fwd_yield,dd_10,death_cross,3,10,17457,2.9,9.42,0.1,79.2,161.186,-95.46,-97.29,13.521,14.057,-10.87,-12.502,-24.16,-26.694,-49.388,-52.947,-0.837,0.958,10.903,15.659,15.966,9.455,12.427,15.506,-23.405,-28.161,-28.468,-21.773,-26.529,False
fwd_yield,dd_10,death_cross,3,15,22981,3.0,12.51,0.1,46.7,141.464,-90.91,-97.7,13.796,14.468,-7.967,-13.156,-20.123,-27.78,-43.976,-54.499,-0.919,0.958,10.903,15.659,15.966,10.659,12.615,14.829,-24.059,-28.815,-29.122,-18.87,-23.626,False
fwd_yield,dd_10,trail_10,3,6,693,47.1,5.99,0.0,99.4,10.62,-66.82,-66.82,12.297,12.432,10.524,10.644,9.357,9.468,6.49,6.578,1.106,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-0.259,-5.015,-5.322,-0.379,-5.135,False
fwd_yield,dd_10,trail_10,3,10,1138,47.7,9.97,0.0,99.1,10.482,-56.0,-56.0,15.126,15.456,13.333,13.642,12.153,12.449,9.254,9.518,1.267,0.958,10.903,15.659,15.966,9.455,12.427,15.506,2.739,-2.017,-2.324,2.43,-2.326,False
fwd_yield,dd_10,trail_10,3,15,1674,48.5,14.9,0.0,98.2,10.288,-58.18,-58.2,14.412,14.855,12.662,13.076,11.51,11.905,8.679,9.029,1.222,0.958,10.903,15.659,15.966,10.659,12.615,14.829,2.173,-2.583,-2.89,1.759,-2.997,False
fwd_yield,dd_10,trail_20,3,6,217,150.4,5.99,0.0,99.6,3.294,-71.14,-71.14,10.862,11.065,10.317,10.508,9.954,10.139,9.053,9.219,1.076,0.958,10.903,15.659,15.966,7.746,12.051,16.624,-0.395,-5.151,-5.458,-0.586,-5.342,False
fwd_yield,dd_10,trail_20,3,10,350,155.2,9.97,0.0,99.2,3.205,-59.27,-59.27,11.226,11.572,10.695,11.025,10.342,10.662,9.465,9.758,1.059,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.122,-4.634,-4.941,-0.208,-4.964,False
fwd_yield,dd_10,trail_20,3,15,469,173.3,14.92,0.0,98.8,2.869,-51.54,-51.54,13.932,14.409,13.445,13.901,13.121,13.563,12.314,12.724,1.226,0.958,10.903,15.659,15.966,10.659,12.615,14.829,2.998,-1.758,-2.065,2.542,-2.214,False
fwd_yield,dd_10,time_3m,3,6,516,63.2,5.98,0.0,98.8,7.896,-71.86,-71.86,13.079,13.378,11.748,12.031,10.87,11.141,8.702,8.946,1.311,0.958,10.903,15.659,15.966,7.746,12.051,16.624,1.128,-3.628,-3.935,0.845,-3.911,False
fwd_yield,dd_10,time_3m,3,10,851,63.4,9.91,0.0,95.4,7.831,-64.56,-64.59,16.727,17.072,15.364,15.677,14.464,14.757,12.243,12.486,1.49,0.958,10.903,15.659,15.966,9.455,12.427,15.506,4.774,0.018,-0.289,4.461,-0.295,True
fwd_yield,dd_10,time_3m,3,15,1248,63.5,14.54,0.0,85.2,7.665,-57.05,-57.05,17.361,17.765,16.019,16.346,15.133,15.409,12.946,13.099,1.495,0.958,10.903,15.659,15.966,10.659,12.615,14.829,5.443,0.687,0.38,5.116,0.36,True
fwd_yield,dd_10,time_6m,3,6,263,124.1,5.99,0.0,99.5,4.002,-73.44,-73.44,13.438,13.631,12.76,12.94,12.309,12.481,11.191,11.342,1.372,0.958,10.903,15.659,15.966,7.746,12.051,16.624,2.037,-2.719,-3.026,1.857,-2.899,False
fwd_yield,dd_10,time_6m,3,10,436,124.3,9.94,0.0,97.7,3.999,-69.88,-69.88,11.601,11.967,10.933,11.277,10.489,10.82,9.388,9.684,1.195,0.958,10.903,15.659,15.966,9.455,12.427,15.506,0.374,-4.382,-4.689,0.03,-4.726,False
fwd_yield,dd_10,time_6m,3,15,648,125.0,14.86,0.0,95.7,3.971,-64.76,-64.76,14.691,15.099,14.009,14.391,13.557,13.922,12.433,12.756,1.384,0.958,10.903,15.659,15.966,10.659,12.615,14.829,3.488,-1.268,-1.575,3.106,-1.65,False
fwd_yield,dd_10,drop_out,3,6,183,178.3,5.99,0.0,99.5,2.771,-70.43,-70.43,14.015,14.282,13.54,13.795,13.224,13.471,12.438,12.665,1.387,0.958,10.903,15.659,15.966,7.746,12.051,16.624,2.892,-1.864,-2.171,2.637,-2.119,False
fwd_yield,dd_10,drop_out,3,10,377,143.8,9.95,0.0,98.3,3.454,-59.91,-59.91,17.217,17.684,16.611,17.054,16.208,16.636,15.206,15.596,1.602,0.958,10.903,15.659,15.966,9.455,12.427,15.506,6.151,1.395,1.088,5.708,0.952,True
fwd_yield,dd_10,drop_out,3,15,678,118.8,14.78,0.0,90.8,4.156,-57.89,-57.89,18.137,18.71,17.402,17.94,16.915,17.43,15.704,16.161,1.595,0.958,10.903,15.659,15.966,10.659,12.615,14.829,7.037,2.281,1.974,6.499,1.743,True
fwd_yield,dd_15,rsi2d_gt90,3,6,2675,10.4,5.1,1.6,69.5,41.119,-63.33,-66.02,21.389,23.739,14.125,14.451,9.522,8.645,-1.199,-4.633,1.505,0.958,10.903,15.659,15.966,7.746,12.051,16.624,3.548,-1.208,-1.515,3.222,-1.534,False
fwd_yield,dd_15,rsi2d_gt90,3,10,3838,10.4,7.3,1.6,45.6,35.412,-59.94,-63.96,20.434,23.692,14.203,14.096,10.226,8.111,0.874,-5.53,1.447,0.958,10.903,15.659,15.966,9.455,12.427,15.506,3.193,-1.563,-1.87,3.3,-1.456,False
