層,口徑,總數,有總債務(補前),補前覆蓋率,缺總債務,可補(只有短期借款),補不到(兩個標籤都無),有總債務(補後),補後覆蓋率,覆蓋率提升(百分點)
>50 億,每家最新一期,1172,606,0.5171,566,164,402,770,0.657,13.99
5-50 億,每家最新一期,1376,669,0.4862,707,107,600,776,0.564,7.78
<5 億,每家最新一期,1803,549,0.3045,1254,146,1108,695,0.3855,8.1
無市值,每家最新一期,858,330,0.3846,528,123,405,453,0.528,14.34
全體,每家最新一期,5209,2154,0.4135,3055,540,2515,2694,0.5172,10.37
