step,note,n_cells,n_10x,n_tickers,AUC_full,AUC_year_weighted,separation,verdict,verdict_note,netcash_pos_10x,netcash_pos_all,netcash_pos_all_yearweighted,false_kill_10x,cull_rate_all,n_years_used
④全換(補前),,68546,2108,1313,0.5882,0.6264,0.1264,存在,數值大的一邊才是十倍股,0.4539,0.2673,0.2602,0.5461,0.7327,11
④全換(補後),,77508,2510,1451,0.5905,0.6183,0.1183,存在,數值大的一邊才是十倍股,0.4954,0.3215,0.3152,0.5046,0.6785,11
④附A 不設美元限制(對照),,78478,2534,1478,0.5852,0.6127,0.1127,存在,數值大的一邊才是十倍股,0.4912,0.3253,0.3202,0.5088,0.6747,11
