lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
10,0.5,monthly,3.4917593548601236,0.1380218452473294,-0.3436330275219939,0.8072562358276644,1.3162454369909347,0.8360105684608188,622.4557823129252,1.8025586276805623,-0.05164785444984932,-0.0004978492489497999,run-10529276397273fd,560,441,2929,2015-01-02,2026-08-26,False,0.4548
10,0.5,quarterly,3.3407843346641792,0.1346781024748398,-0.36274000076083357,0.8741258741258742,1.2012276795370336,0.7848113689016313,704.2727272727273,0.6325742157136625,-0.05499159722233893,-0.0038415920214394106,run-aa57b14749460bba,188,143,2929,2015-01-02,2026-08-26,False,0.41
10,0.75,monthly,3.7857232880211074,0.14424778115751913,-0.33823512713106496,0.8098434004474273,0.9377238579338396,0.9012979136480899,627.6890380313199,3.4972353636690836,-0.0454219185396596,0.005728086661239917,run-983800b30044cd4a,560,447,2929,2015-01-02,2026-08-26,False,0.4948
10,0.75,quarterly,3.4350784206547447,0.13677871124784535,-0.3785768247124297,0.8741258741258742,0.7612248103792375,0.7938012511463723,718.3426573426574,1.1886732726696025,-0.052890988449333376,-0.0017409832484338583,run-56f15f3c0a7c20b9,188,143,2929,2015-01-02,2026-08-26,False,0.455
10,1.0,monthly,4.0682573555899255,0.14991056710852657,-0.33771776446207424,0.6036036036036037,2.2539388345854987,0.9450056715702272,94.2072072072072,5.175816635840694,-0.03975913258865216,0.01139087261224736,run-04d756432d735484,174,111,2929,2015-01-02,2026-08-26,False,0.6299
10,1.0,quarterly,3.4950149955983614,0.1380928122168179,-0.394705110564868,0.7368421052631579,1.5569997443151795,0.785229288234387,196.26315789473685,1.7312026689027855,-0.05157688748036082,-0.00042688227946130475,run-72412e457fd93ca2,60,38,2929,2015-01-02,2026-08-26,False,0.4724
20,0.5,monthly,4.049203416225594,0.14953786066484298,-0.34363302770757664,0.8177676537585421,1.3358878875469133,0.9311729055139051,607.3029612756264,1.9632094336369186,-0.04013183903233575,0.01101816616856377,run-c2ad1b0fa655bfe8,560,439,2929,2015-01-02,2026-08-26,False,0.4105
20,0.5,quarterly,3.289594611023488,0.13352020937414033,-0.36274000638563086,0.8601398601398601,1.5107187885742117,0.764102246179164,651.9020979020979,0.747988003608629,-0.0561494903230384,-0.00499948512213888,run-f9fe56bece0bbe22,188,143,2929,2015-01-02,2026-08-26,False,0.5081
20,0.75,monthly,5.047020979749691,0.16751861980462524,-0.3382382710844952,0.8191964285714286,0.9650490088133007,1.098032286520064,618.3325892857143,3.842522769331175,-0.022151079892553494,0.028998925308346024,run-d097660a774dcf26,560,448,2929,2015-01-02,2026-08-26,False,0.612
20,0.75,quarterly,3.3377789285726127,0.13461046700054213,-0.37857683256451136,0.8611111111111112,1.032876275205148,0.7538232476757912,663.9583333333334,1.4212110067904167,-0.055059232696636595,-0.003909227495737078,run-9d9fea122f8d76b5,188,144,2929,2015-01-02,2026-08-26,False,0.4413
20,1.0,monthly,6.1981712563585685,0.18516090883526637,-0.337717764462074,0.6216216216216216,2.3579135059079808,1.2454799610340241,92.88288288288288,5.724955704033339,-0.0045087908619123596,0.04664121433898716,run-285ad785566205a0,174,111,2929,2015-01-02,2026-08-26,False,0.4958
20,1.0,quarterly,3.3578255372660735,0.13506080057630965,-0.394705110564868,0.7674418604651163,1.6336862231089628,0.7291801408870656,158.8372093023256,2.0821652682035796,-0.05460889912086908,-0.0034588939199695634,run-002ccec8a32dc9a4,70,43,2929,2015-01-02,2026-08-26,False,0.4638
40,0.5,monthly,3.7847310371088403,0.144227360739825,-0.34363302770757675,0.8363636363636363,1.4855481189688273,0.8858345564704425,632.5659090909091,1.4323330907780465,-0.04544233895735372,0.005707666243545795,run-467ab165014e64d4,560,440,2929,2015-01-02,2026-08-26,False,0.4967
40,0.5,quarterly,3.488994644031502,0.13796154272431327,-0.36274000076083357,0.85,1.4762303541158102,0.8100772521639631,672.1785714285714,0.7973666024776047,-0.05170815697286546,-0.0005581517719659423,run-295f32d555e09767,188,140,2929,2015-01-02,2026-08-26,False,0.651
40,0.75,monthly,4.429773121004951,0.15674973097762712,-0.338238271084495,0.84,1.040273210012753,1.003923172150757,641.1711111111111,2.7670469238134605,-0.03291996871955161,0.01823003648134791,run-51ddb88dce825d02,560,450,2929,2015-01-02,2026-08-26,False,0.6109
40,0.75,quarterly,3.7384582522656675,0.14327074653579408,-0.3785768247124299,0.8531468531468531,1.0466890840462784,0.8408384996067448,683.986013986014,1.5240398817523026,-0.04639895316138465,0.004751052039514869,run-231752647e6bd797,188,143,2929,2015-01-02,2026-08-26,False,0.4176
40,1.0,monthly,5.1239475293218195,0.1687895346366921,-0.33771776446207413,0.6421052631578947,2.6316798374658656,1.1007879079491354,108.52631578947368,4.093515287248935,-0.020880165060486622,0.030269840140412896,run-4bb2d54e94eaa117,142,95,2929,2015-01-02,2026-08-26,False,1.0126
40,1.0,quarterly,3.956847074423292,0.14771289731786474,-0.3947051105648679,0.7209302325581395,2.0102792688050815,0.8500759046213929,158.8372093023256,2.2417425241593767,-0.041956802379313984,0.009193202821585533,run-5039fccb2e31e0a1,70,43,2929,2015-01-02,2026-08-26,False,0.4598
60,0.5,monthly,3.800392285984384,0.14454921698364287,-0.34363302770757653,0.8409090909090909,1.725181612113192,0.8840700047756977,665.4386363636364,1.1190093577069318,-0.04512048271353586,0.006029522487363659,run-c27ead35f83bd5be,560,440,2929,2015-01-02,2026-08-26,False,0.6118
60,0.5,quarterly,3.6271996306521768,0.14093524369731458,-0.36274000076083357,0.8642857142857143,1.9909986785717275,0.839110170360882,714.8785714285714,0.6813220526962069,-0.048734455999864146,0.002415549201035372,run-c3b7ba0901cf7bcb,188,140,2929,2015-01-02,2026-08-26,False,0.3681
60,0.75,monthly,4.466486135689307,0.15742080291674654,-0.338238271084495,0.844789356984479,1.0080060057092382,0.9995171943999845,674.1884700665189,2.136469467344349,-0.03224889678043219,0.018901108420467327,run-762cd617174a47b1,560,451,2929,2015-01-02,2026-08-26,False,0.6757
60,0.75,quarterly,4.034882023770675,0.14925687854662661,-0.3785768247124299,0.8671328671328671,1.1737384805143043,0.8990697796157948,728.4335664335664,1.2883537500729787,-0.040412821150552114,0.010737184050347404,run-c10f44e7cece8ac9,188,143,2929,2015-01-02,2026-08-26,False,0.5162
60,1.0,monthly,5.187885490669478,0.16983480798622685,-0.33771776446207413,0.6385542168674698,2.5477429070649618,1.093411289089882,125.98795180722891,3.141970870897503,-0.019834891710951874,0.031315113489947644,run-bb0650a20ed37ba9,118,83,2929,2015-01-02,2026-08-26,False,0.8996
60,1.0,quarterly,4.429470539144607,0.1567441829177365,-0.394705110564868,0.7105263157894737,2.5755546836184195,0.9357005585463312,181.42105263157896,1.8834807970667697,-0.03292551677944222,0.018224488421457297,run-6af8cc9cfbaf7c2a,60,38,2929,2015-01-02,2026-08-26,False,0.4481
120,0.5,monthly,3.3984465222809765,0.13596754797821387,-0.36383932161694765,0.8820754716981132,1.6309265177482721,0.7868839620946403,786.377358490566,0.5776695924810693,-0.05370215171896486,-0.0025521465180653458,run-fc74350d1a8f0644,560,424,2929,2015-01-02,2026-08-26,False,0.4452
120,0.5,quarterly,3.2497009065189983,0.13260903897215592,-0.36272771416448013,0.9361702127659575,1.2235332053659467,0.7603257585340053,823.7588652482269,0.4310440947184499,-0.057060660725022805,-0.005910655524123287,run-0cf354a4d76c36bb,188,141,2929,2015-01-02,2026-08-26,False,0.3802
120,0.75,monthly,3.5883640827590586,0.1401079245892698,-0.3793947334216693,0.8886363636363637,0.71784600469119,0.8026982507067726,794.0181818181818,1.0194049126294673,-0.049561775107908934,0.0015882300929905835,run-7608a31e3202734c,560,440,2929,2015-01-02,2026-08-26,False,0.5711
120,0.75,quarterly,3.2509908462425887,0.132638623204953,-0.3785642122946459,0.9383561643835616,0.5002270419291812,0.7453701933296762,836.4246575342465,0.7763938079478516,-0.05703107649222572,-0.005881071291326201,run-88ba28e037382a63,188,146,2929,2015-01-02,2026-08-26,False,0.4114
120,1.0,monthly,3.7562791363803933,0.14364017088013004,-0.3947051105648681,0.5970149253731343,2.6657368478091783,0.8018173373900946,166.01492537313433,1.4256715067735373,-0.04602952881704869,0.005120476383850825,run-374c9682e2a8cccf,86,67,2929,2015-01-02,2026-08-26,False,0.4764
120,1.0,quarterly,3.2181821669749393,0.13188360755061934,-0.3947051105648681,0.7741935483870968,1.5176103156247374,0.7147661346119614,222.4516129032258,1.1024002224133012,-0.05778609214655939,-0.006636086945659869,run-87d288cedc8f5cab,46,31,2929,2015-01-02,2026-08-26,False,0.4696
