top_n,interval,smooth,total_return,sec
1,1,1,1.57770258,12.839176199981011
11,2,1,6.1604635199999995,14.010741199948825
21,3,1,8.771966130000001,13.829195800004527
31,4,1,4.31710102,14.020528099965304
1,1,3,14.0754943,13.327893299981952
11,2,3,10.40645228,13.505355799919926
21,3,3,6.71861529,13.465907400008291
31,4,3,4.55970674,14.003717900021002
1,1,5,25.393549309999997,12.994178000022657
11,2,5,11.774481060000001,13.375504299998283
21,3,5,6.257043820000001,13.945168700069189
31,4,5,5.00683416,14.153751100064255
1,1,10,14.222325269999999,13.167214500019327
11,2,10,12.47846876,12.943960199947469
21,3,10,6.16203068,14.220624000066891
31,4,10,5.11073175,13.867768900003284
1,1,21,8.44885144,12.75072520005051
11,2,21,8.20290316,13.454611100023612
21,3,21,6.4340996100000005,13.332082399982028
31,4,21,4.77736788,14.244326199986972
