top_n,interval,smooth,total_return
1,3,1,3.0941304233056126
2,3,1,2.583552507849681
3,3,1,4.270845395485148
4,3,1,5.105000482949936
5,3,1,7.340465654676307
6,3,1,6.941063309331965
7,3,1,5.868646955123661
8,3,1,7.45903254592495
9,3,1,7.273346039882195
10,3,1,6.319365187637041
11,3,1,5.944187754691998
12,3,1,6.1971411740748055
13,3,1,7.531785793319976
14,3,1,8.173950040595765
15,3,1,9.304839523974769
16,3,1,9.51634679399818
17,3,1,9.06905403891838
18,3,1,9.050320185421128
19,3,1,9.642385891483022
20,3,1,9.337873560827896
21,3,1,8.718577544089971
22,3,1,8.515090795520804
23,3,1,8.158949757635204
24,3,1,7.6553412900839675
25,3,1,7.240359080127551
26,3,1,7.186916391300357
27,3,1,6.95895761517248
28,3,1,6.8193111100687105
29,3,1,6.45418440762134
30,3,1,6.295950455170623
31,3,1,5.981522210197293
32,3,1,5.568425505607299
33,3,1,5.4032574869434695
34,3,1,5.293213966546809
35,3,1,5.100458950752385
36,3,1,5.1324983555436665
37,3,1,4.9731460308129645
38,3,1,5.118427398875727
39,3,1,5.1519810573808345
40,3,1,5.115352105287127
1,4,1,1.2733777536259359
2,4,1,4.022549499120787
3,4,1,5.889777256557627
4,4,1,5.337849871593489
5,4,1,5.5265339133423215
6,4,1,5.077190705719878
7,4,1,4.3633634395661165
8,4,1,4.266687306891778
9,4,1,4.09804819865245
10,4,1,3.7375312797727602
11,4,1,4.239863868492252
12,4,1,3.8857333135901913
13,4,1,4.414063013202812
14,4,1,4.413927697043146
15,4,1,4.473263072357431
16,4,1,4.910833786584622
17,4,1,4.603496215667636
18,4,1,4.294932295734358
19,4,1,4.0769983817997195
20,4,1,4.041164864797218
21,4,1,4.117543938657009
22,4,1,4.260841428118481
23,4,1,4.3073856949294775
24,4,1,4.491213001340836
25,4,1,4.2744729924850775
26,4,1,4.287302880489998
27,4,1,4.352506071921505
28,4,1,4.5210071372537515
29,4,1,4.46539212662859
30,4,1,4.3090917997168106
31,4,1,4.348843402260744
32,4,1,4.275719042419212
33,4,1,4.360647559270547
34,4,1,4.171314722022067
35,4,1,4.193785769499516
36,4,1,4.339436505812445
37,4,1,4.354245440360336
38,4,1,4.344789868922308
39,4,1,4.421589703295226
40,4,1,4.480648833462702
1,6,1,4.751340482798751
2,6,1,3.1518688504367853
3,6,1,3.815614530943527
4,6,1,4.8040330710910295
5,6,1,5.4299983688327735
6,6,1,4.575259259499474
7,6,1,4.408294072558563
8,6,1,4.85233319677703
9,6,1,4.745446633588093
10,6,1,4.545599805182213
11,6,1,5.0917856502393315
12,6,1,5.247817872634655
13,6,1,5.710967543945509
14,6,1,5.176049730114807
15,6,1,5.685531212873109
16,6,1,6.3746609434276635
17,6,1,6.001880790632112
18,6,1,5.8740817164467565
19,6,1,5.9072704974228705
20,6,1,5.247209321327585
21,6,1,4.917675827865188
22,6,1,5.344165517858127
23,6,1,5.344884207363281
24,6,1,5.075497441978397
25,6,1,4.9209196142480796
26,6,1,4.952122753019707
27,6,1,4.622276899597003
28,6,1,4.84758430265597
29,6,1,4.693292827444222
30,6,1,4.6055463461686985
31,6,1,4.613308012182482
32,6,1,4.524476217822034
33,6,1,4.444401991929448
34,6,1,4.428492777428435
35,6,1,4.398943290070195
36,6,1,4.497391727587998
37,6,1,4.5678736205838755
38,6,1,4.691667344210506
39,6,1,4.913519806915421
40,6,1,4.8762882439038995
1,1,3,14.365557919770279
2,1,3,11.299242077010899
3,1,3,5.048717130903971
4,1,3,3.850508702486118
5,1,3,2.577144331140356
6,1,3,3.790881288832399
7,1,3,4.665829821173365
8,1,3,5.87883169850487
9,1,3,6.578543042864813
10,1,3,7.080299639502407
11,1,3,8.77503514571154
12,1,3,9.06847728906833
13,1,3,9.78282825930096
14,1,3,8.500506897145844
15,1,3,8.183547916465498
16,1,3,7.731369203624884
17,1,3,7.053268586255146
18,1,3,6.627645164356679
19,1,3,6.447031190780219
20,1,3,6.298789343104747
21,1,3,6.513401192056928
22,1,3,6.244332198434641
23,1,3,6.461819307711411
24,1,3,6.937300117713247
25,1,3,6.3350896143412205
26,1,3,6.588258908433864
27,1,3,6.34930453568508
28,1,3,6.370311460959181
29,1,3,6.692841702957481
30,1,3,6.558131191736981
31,1,3,6.192215276734184
32,1,3,6.146561594416892
33,1,3,5.574871466780382
34,1,3,5.709081108658413
35,1,3,5.8798681691564
36,1,3,5.702063537487908
37,1,3,5.694824081523694
38,1,3,5.937664724744976
39,1,3,5.989750656877278
40,1,3,5.879932355048308
1,2,3,3.4310612598872408
2,2,3,4.830850307381007
3,2,3,4.539911468956865
4,2,3,5.299502197161239
5,2,3,4.8332376245207955
6,2,3,5.829550303329199
7,2,3,7.316870566588514
8,2,3,9.269899769914854
9,2,3,9.416451395446527
10,2,3,9.321451428483696
11,2,3,10.736785601937143
12,2,3,10.625065278430961
13,2,3,10.476817418647052
14,2,3,8.736724444284803
15,2,3,9.334196370742188
16,2,3,9.098780558005025
17,2,3,8.14783662203849
18,2,3,7.6877043460399905
19,2,3,8.307885604763054
20,2,3,8.820655412488453
21,2,3,8.672150510646484
22,2,3,9.001075816052726
23,2,3,9.38483129943068
24,2,3,9.512828102098696
25,2,3,8.584485144488575
26,2,3,8.666550987547991
27,2,3,8.766720849532925
28,2,3,8.486572489272445
29,2,3,8.32369315307207
30,2,3,8.154608248662983
31,2,3,7.596411281317566
32,2,3,7.596004862612784
33,2,3,7.080074957603619
34,2,3,7.094197125240651
35,2,3,7.322969500177786
36,2,3,7.332219900518612
37,2,3,7.265343123107237
38,2,3,7.250732776743355
39,2,3,7.1499248341131105
40,2,3,6.907393004409958
1,3,3,4.178682128474564
2,3,3,5.2521973867547755
3,3,3,4.10232079380305
4,3,3,2.940857194584384
5,3,3,4.149188613980181
6,3,3,5.532166380901074
7,3,3,5.442871632376522
8,3,3,5.9168019782507075
9,3,3,6.026144276512989
10,3,3,5.748435950161604
11,3,3,7.227645860259842
12,3,3,7.419249462149401
13,3,3,7.347597021178968
14,3,3,7.120927751046454
15,3,3,7.299467283687757
16,3,3,7.216402726673799
17,3,3,7.732885213231179
18,3,3,7.415500147441239
19,3,3,7.391167274022929
20,3,3,6.638458570373347
21,3,3,6.751918317957211
22,3,3,6.465191987115194
23,3,3,6.460987030869531
24,3,3,7.1666721369570485
25,3,3,6.809825015570379
26,3,3,6.672723752341822
27,3,3,6.703164063918154
28,3,3,6.478977549261222
29,3,3,6.567610519257235
30,3,3,6.4939879840219294
31,3,3,5.949307671229346
32,3,3,6.160767610369956
33,3,3,6.010799943805563
34,3,3,5.590082731032274
35,3,3,5.842492675524874
36,3,3,5.720111696280448
37,3,3,5.844124625395228
38,3,3,5.783031285300826
39,3,3,5.7207865050064
40,3,3,5.582007755508525
1,4,3,3.3219315500470166
2,4,3,3.460435286967621
3,4,3,2.551977585851802
4,4,3,2.2227074657313386
5,4,3,2.447811738901183
6,4,3,3.285307073829051
7,4,3,3.849694363224876
8,4,3,4.559442924124466
9,4,3,5.618819989758722
10,4,3,5.111076642514403
11,4,3,5.961436637833881
12,4,3,5.882194300747187
13,4,3,5.808050759590046
14,4,3,4.938758576776382
15,4,3,5.284004007508772
16,4,3,5.164006898014015
17,4,3,4.521302440495037
18,4,3,4.25148573762091
19,4,3,4.6274868842636545
20,4,3,5.100978465583204
21,4,3,5.097727360965592
22,4,3,4.816972454071583
23,4,3,4.843796229834519
24,4,3,5.1597528847563074
25,4,3,5.316569247645288
26,4,3,5.104907422948271
27,4,3,5.280389500032363
28,4,3,5.08378619460908
29,4,3,5.097639765682897
30,4,3,4.9287670166931825
31,4,3,4.619517304229798
32,4,3,4.599553229386094
33,4,3,4.5188496177928155
34,4,3,4.442917619288279
35,4,3,4.740099994980297
36,4,3,4.779103366229649
37,4,3,4.8175446291187844
38,4,3,4.781106539146081
39,4,3,4.644724018890785
40,4,3,4.4582338999105176
1,6,3,2.8566510632231696
2,6,3,4.64087968631025
3,6,3,3.6474317582145677
4,6,3,2.844684101017017
5,6,3,2.9763977892283373
6,6,3,3.7215024484128065
7,6,3,4.0732241642469305
8,6,3,5.178239037679464
9,6,3,5.194004888483216
10,6,3,4.581442306454237
11,6,3,5.656338508802874
12,6,3,5.723536717545437
13,6,3,6.112040264959956
14,6,3,5.633379585009893
15,6,3,5.769721986122196
16,6,3,5.685110765222195
17,6,3,6.079060102678112
18,6,3,5.570470847738578
19,6,3,5.882315066841326
20,6,3,5.363607807779992
21,6,3,5.513491298515678
22,6,3,5.1936248058433385
23,6,3,5.259157021205602
24,6,3,5.370028835702615
25,6,3,5.260073960726855
26,6,3,5.141211284121433
27,6,3,5.10971645057602
28,6,3,5.162277046834104
29,6,3,5.113634429995546
30,6,3,4.918784716034714
31,6,3,4.627078969885611
32,6,3,4.68462163932241
33,6,3,4.733968151543863
34,6,3,4.533882634164307
35,6,3,4.762127522279145
36,6,3,4.703784762623707
37,6,3,4.6965299700134695
38,6,3,4.793263509732313
39,6,3,4.822970638989744
40,6,3,4.902012933990506
1,1,5,26.545664486682487
2,1,5,18.82496942165291
3,1,5,14.668507056235006
4,1,5,19.5899977044368
5,1,5,13.072152186121453
6,1,5,10.40250829379689
7,1,5,10.084623958222743
8,1,5,10.658348747967022
9,1,5,11.179058375938592
10,1,5,11.40736119126268
11,1,5,10.884507662307314
12,1,5,10.225988497863916
13,1,5,9.226822066466777
14,1,5,9.42383052610167
15,1,5,8.866213764145101
16,1,5,8.756902394085062
17,1,5,8.334111848725396
18,1,5,8.899136031429395
19,1,5,8.838374785769984
20,1,5,8.501762828598622
21,1,5,8.21920230210471
22,1,5,8.283051781468945
23,1,5,8.104228585173052
24,1,5,7.883606074816453
25,1,5,7.146457723014314
26,1,5,7.18936849627618
27,1,5,7.127817760995954
28,1,5,7.278775054779154
29,1,5,7.122079118641168
30,1,5,6.952192960472515
31,1,5,6.6440462984759145
32,1,5,6.301229964660935
33,1,5,6.445437183525568
34,1,5,6.140087708931743
35,1,5,6.219748965242709
36,1,5,6.201806829353077
37,1,5,6.017708350161242
38,1,5,5.950586158855202
39,1,5,6.0160014258269365
40,1,5,5.970069486731018
1,2,5,5.829696497772619
2,2,5,7.23443647703517
3,2,5,8.004618262379047
4,2,5,8.0212575673835
5,2,5,7.4382284092023685
6,2,5,8.961530328421118
7,2,5,9.32743564452364
8,2,5,10.2719599478958
9,2,5,11.640740009817865
10,2,5,11.16960285461643
11,2,5,11.879233229530259
12,2,5,10.698219969668186
13,2,5,11.435413465379655
14,2,5,11.524250783169487
15,2,5,11.411828392058005
16,2,5,11.239410552029236
17,2,5,10.550361355910347
18,2,5,9.767479291630133
19,2,5,10.121533750215416
20,2,5,9.89550407852171
21,2,5,9.31568766629463
22,2,5,9.007058203310375
23,2,5,8.919263753209448
24,2,5,8.529649957913016
25,2,5,7.903411307854234
26,2,5,7.696890873574137
27,2,5,7.8580100382945774
28,2,5,7.762259863851213
29,2,5,7.778381601440187
30,2,5,7.522164751705616
31,2,5,7.295063819212782
32,2,5,6.936519189915731
33,2,5,7.107832716262374
34,2,5,6.9578979028896635
35,2,5,6.834714365356052
36,2,5,6.719042710144782
37,2,5,6.674323145754085
38,2,5,6.528577515897938
39,2,5,6.466948753229885
40,2,5,6.343627620712564
1,3,5,13.105799556384056
2,3,5,7.087434123331293
3,3,5,6.095727199995782
4,3,5,8.316104911910552
5,3,5,6.462112193611583
6,3,5,5.143608537340398
7,3,5,5.165295497143948
8,3,5,6.8396467448209854
9,3,5,6.062067492515001
10,3,5,6.600191117522149
11,3,5,6.389768774094557
12,3,5,6.002435511295628
13,3,5,5.8054703100085945
14,3,5,5.87751347911276
15,3,5,6.183699187718752
16,3,5,6.011039518539809
17,3,5,5.663166977000871
18,3,5,6.754008424435554
19,3,5,6.091483755309911
20,3,5,6.0180382103214445
21,3,5,6.2149021578932535
22,3,5,6.255147965660978
23,3,5,6.567701428640069
24,3,5,6.387895410302662
25,3,5,6.233730880842101
26,3,5,6.001137450593112
27,3,5,6.178620131302263
28,3,5,6.418683365350878
29,3,5,6.555936417237618
30,3,5,6.6244954090472215
31,3,5,6.489921179402269
32,3,5,6.3099882343744085
33,3,5,6.119867569553645
34,3,5,6.116081444454073
35,3,5,6.041779435779699
36,3,5,6.069162593676698
37,3,5,5.817523187706691
38,3,5,5.853662279523624
39,3,5,5.71174745185903
40,3,5,5.738890242074369
1,4,5,3.076145168385884
2,4,5,4.746060635425339
3,4,5,6.54161771541715
4,4,5,4.3594384123483785
5,4,5,4.2256715234921725
6,4,5,4.755377410823226
7,4,5,4.667072637800738
8,4,5,6.007387361622344
9,4,5,6.175747079554731
10,4,5,6.196384359522307
11,4,5,6.132756492264267
12,4,5,5.388255461764149
13,4,5,5.915813932316933
14,4,5,6.571899334368877
15,4,5,6.504938768052634
16,4,5,6.302837207511058
17,4,5,6.316396613738978
18,4,5,6.255188723884836
19,4,5,6.263076661136663
20,4,5,6.559199183112608
21,4,5,6.15601313063482
22,4,5,5.8542584032694975
23,4,5,5.4868418982646485
24,4,5,5.299923338771036
25,4,5,5.5139993514783106
26,4,5,5.2952590479246595
27,4,5,5.275794309408593
28,4,5,5.291985887866884
29,4,5,5.315418981925683
30,4,5,5.156368724106395
31,4,5,5.08160200520843
32,4,5,4.771781027361837
33,4,5,4.896969210689799
34,4,5,4.692150008850179
35,4,5,4.526245209459248
36,4,5,4.364007467606927
37,4,5,4.155532720539535
38,4,5,4.090295959349677
39,4,5,3.9998598948246658
40,4,5,3.8215746475992134
1,6,5,4.369434616739443
2,6,5,3.0335753189067356
3,6,5,3.6601455317737788
4,6,5,4.315601355972888
5,6,5,3.8996500343879834
6,6,5,4.086900440645305
7,6,5,4.942478433769345
8,6,5,6.099689380898864
9,6,5,6.208729723149683
10,6,5,5.943474716588675
11,6,5,5.360428640802053
12,6,5,5.416146537802616
13,6,5,5.476295970158866
14,6,5,6.179603194854457
15,6,5,6.560475506928317
16,6,5,6.170169645578332
17,6,5,6.090491483583648
18,6,5,5.458650425759008
19,6,5,5.207278154607322
20,6,5,5.066436161578094
21,6,5,5.130085268641619
22,6,5,5.724026299447538
23,6,5,5.780799634677574
24,6,5,5.406659374523269
25,6,5,5.3134981692407415
26,6,5,4.911120177876978
27,6,5,4.886713668219818
28,6,5,5.155846544676895
29,6,5,5.321668575796226
30,6,5,5.3521488150596985
31,6,5,5.278573965450317
32,6,5,5.383071390214662
33,6,5,5.277500982825793
34,6,5,5.469151812460317
35,6,5,5.489161491099246
36,6,5,5.286592121149842
37,6,5,5.086446303392529
38,6,5,5.132337791006726
39,6,5,5.020993436837384
40,6,5,4.998630519884913
1,1,10,14.641995992860554
2,1,10,9.028116494080104
3,1,10,16.2446902047778
4,1,10,13.160199877894188
5,1,10,12.729583928178524
6,1,10,11.729254849405857
7,1,10,11.145160633029699
8,1,10,10.66376081679904
9,1,10,10.470398402878535
10,1,10,10.484652505560065
11,1,10,10.137827607163265
12,1,10,10.890485823608643
13,1,10,9.902057653346917
14,1,10,8.795669220362138
15,1,10,9.659068102105788
16,1,10,9.22257371570265
17,1,10,9.942375917377564
18,1,10,8.93074584078285
19,1,10,8.660961142422394
20,1,10,8.461090833575234
21,1,10,8.306572635889221
22,1,10,8.345307235469248
23,1,10,8.41620512131841
24,1,10,8.645356837143925
25,1,10,8.659231112539011
26,1,10,8.56448644565165
27,1,10,8.117535178528488
28,1,10,8.270918441380733
29,1,10,8.27704596662105
30,1,10,7.999758481226678
31,1,10,7.682318724291064
32,1,10,7.383576537149943
33,1,10,7.341479312269944
34,1,10,7.210407663911937
35,1,10,7.34615868958187
36,1,10,7.294870564259627
37,1,10,7.022847737608203
38,1,10,6.75725014274174
39,1,10,6.45604052103209
40,1,10,6.2755887688582375
1,2,10,5.478187486382052
2,2,10,11.591133474608887
3,2,10,15.953445010826092
4,2,10,14.833799055060702
5,2,10,14.91393614426105
6,2,10,13.731820622493153
7,2,10,14.254450872653402
8,2,10,13.92948751413721
9,2,10,14.498185715407383
10,2,10,11.893603616574486
11,2,10,12.393236744957395
12,2,10,12.178248196010744
13,2,10,11.115238275578223
14,2,10,10.08019039760454
15,2,10,9.731640023749115
16,2,10,9.60060984016949
17,2,10,9.546592861994542
18,2,10,9.85661139423433
19,2,10,9.206552591431187
20,2,10,9.564140753612012
21,2,10,8.451204569727972
22,2,10,8.205665482955629
23,2,10,8.198740789915812
24,2,10,7.590891539179406
25,2,10,7.629006030605625
26,2,10,7.524570688263126
27,2,10,7.271318868654535
28,2,10,7.933390207405653
29,2,10,8.000254166261072
30,2,10,7.702571617913948
31,2,10,7.229673021544026
32,2,10,7.032634575377198
33,2,10,6.738215714788264
34,2,10,6.806823127818889
35,2,10,6.861250455349518
36,2,10,6.683566847202735
37,2,10,6.45951260505115
38,2,10,6.326981542992479
39,2,10,6.112995448799618
40,2,10,5.964839267891419
1,3,10,7.06447789784064
2,3,10,7.914076580692792
3,3,10,10.796990793349478
4,3,10,7.288577675571797
5,3,10,10.174123803812678
6,3,10,8.560414499672094
7,3,10,7.300129986996559
8,3,10,7.172166679226287
9,3,10,6.637450358881302
10,3,10,6.000457453079708
11,3,10,5.686332285114716
12,3,10,5.642228102160386
13,3,10,5.836888563373324
14,3,10,5.835804907552232
15,3,10,6.3671430459561735
16,3,10,6.135889029143256
17,3,10,6.4227823819352166
18,3,10,6.079619540696638
19,3,10,6.106144232189789
20,3,10,6.006400016330474
21,3,10,6.1137504719439315
22,3,10,6.240472971010774
23,3,10,6.175861787078229
24,3,10,6.152937297814119
25,3,10,5.900817795167814
26,3,10,6.018057453128628
27,3,10,5.9015967688343975
28,3,10,5.867590999628582
29,3,10,6.094474918378015
30,3,10,6.09473453885085
31,3,10,6.058998624161639
32,3,10,5.8463447668804935
33,3,10,5.748404731631702
34,3,10,5.644136278064081
35,3,10,5.539099139667204
36,3,10,5.572458856914625
37,3,10,5.335397971047815
38,3,10,5.403340149301843
39,3,10,5.403965285775614
40,3,10,5.425782841451028
1,4,10,1.6996196956846117
2,4,10,6.783613931074634
3,4,10,5.061089297170216
4,4,10,5.479237651581992
5,4,10,5.989426319656709
6,4,10,5.532934036066445
7,4,10,5.96725387755419
8,4,10,7.381019279380089
9,4,10,8.495576814529526
10,4,10,7.638007071706532
11,4,10,8.112823411648161
12,4,10,7.5957295288599465
13,4,10,7.230786569120615
14,4,10,7.092878027197875
15,4,10,7.065869933355879
16,4,10,6.746067612584057
17,4,10,6.2439420772568575
18,4,10,6.586929033664435
19,4,10,6.342141478354248
20,4,10,6.392536942711581
21,4,10,6.317673994890894
22,4,10,6.3394486488362345
23,4,10,6.072985988736802
24,4,10,6.2966741951189045
25,4,10,6.313629188247109
26,4,10,5.959783150693147
27,4,10,5.789834535438765
28,4,10,5.622809047884025
29,4,10,5.4855788021611405
30,4,10,5.546874600206338
31,4,10,5.214197487519897
32,4,10,5.193628153629165
33,4,10,5.061562550470969
34,4,10,4.98953692076604
35,4,10,4.932164759158434
36,4,10,4.926294537866513
37,4,10,4.832722512328917
38,4,10,4.879972680383263
39,4,10,4.576185135003753
40,4,10,4.425790747478059
1,6,10,5.020459779726172
2,6,10,4.589239875315336
3,6,10,8.486557317601028
4,6,10,10.089359817064425
5,6,10,14.423915554438837
6,6,10,10.69623343147392
7,6,10,9.740494079053342
8,6,10,9.342646300153906
9,6,10,7.717491880068007
10,6,10,7.687189678575976
11,6,10,7.039886077767035
12,6,10,6.159406853431474
13,6,10,6.325826922751717
14,6,10,5.94840417297134
15,6,10,6.005322726092628
16,6,10,6.139479795017985
17,6,10,6.017258241630894
18,6,10,5.852606001562966
19,6,10,5.440900657705669
20,6,10,5.01083142812435
21,6,10,5.178152965501856
22,6,10,5.076502005796157
23,6,10,5.077621552237428
24,6,10,4.895317118220498
25,6,10,4.5343351408286505
26,6,10,4.564025485619364
27,6,10,4.626468276820971
28,6,10,4.792247572598585
29,6,10,4.920315224887337
30,6,10,4.778579583311997
31,6,10,4.516914037521562
32,6,10,4.520073680722386
33,6,10,4.4983162190888635
34,6,10,4.518157305058459
35,6,10,4.456053645410082
36,6,10,4.374559345117996
37,6,10,4.417998954170384
38,6,10,4.449045339634535
39,6,10,4.359098103644414
40,6,10,4.450903045498005
1,1,21,8.708391618339515
2,1,21,10.288417245167606
3,1,21,10.799818012318465
4,1,21,16.546442005518912
5,1,21,14.43759347528224
6,1,21,9.91443692367375
7,1,21,11.47867898360814
8,1,21,12.077159837891083
9,1,21,11.782820447008122
10,1,21,10.419213595526513
11,1,21,10.449721903379313
12,1,21,9.86898171185614
13,1,21,9.336619543811958
14,1,21,9.243546804177345
15,1,21,9.670966755083217
16,1,21,9.775835023556862
17,1,21,8.771956741513813
18,1,21,8.978162733363803
19,1,21,8.450913452548557
20,1,21,8.728539984909816
21,1,21,8.496934358895503
22,1,21,8.126547387825102
23,1,21,8.047835762056096
24,1,21,7.883217405971416
25,1,21,7.794066249547014
26,1,21,7.114937859637062
27,1,21,6.949914110664449
28,1,21,6.828267990398079
29,1,21,6.2466965676702815
30,1,21,6.1357079477046454
31,1,21,6.330894344051203
32,1,21,6.621012722444094
33,1,21,6.571835270565649
34,1,21,6.7137985910294615
35,1,21,6.789192435621695
36,1,21,6.514673472546031
37,1,21,6.334923183953397
38,1,21,6.043588043485201
39,1,21,5.897816356047953
40,1,21,5.863478807643715
1,2,21,7.60846171771904
2,2,21,16.556021927634042
3,2,21,15.378413504147689
4,2,21,16.100896658287716
5,2,21,12.828072725417998
6,2,21,8.328111897762
7,2,21,7.881082768359805
8,2,21,7.961134963827807
9,2,21,7.752954465202703
10,2,21,7.68265964167065
11,2,21,8.27209258894115
12,2,21,6.619385965439957
13,2,21,6.336649997209804
14,2,21,6.082586356671182
15,2,21,6.546908186398822
16,2,21,7.047126012735269
17,2,21,7.19876741121779
18,2,21,7.333477280822112
19,2,21,7.382301411590983
20,2,21,7.688440283099271
21,2,21,7.991586794625335
22,2,21,8.023284281363525
23,2,21,7.4019939812882924
24,2,21,6.920171013526928
25,2,21,6.930888264141676
26,2,21,6.530550705744389
27,2,21,6.472283660584258
28,2,21,6.48235889830332
29,2,21,6.393250517072664
30,2,21,5.976338701746412
31,2,21,5.969946443160355
32,2,21,5.775643516623718
33,2,21,5.691794242779303
34,2,21,5.75280833741604
35,2,21,6.070116846649499
36,2,21,5.948144001022378
37,2,21,6.0153025625178875
38,2,21,6.041785777426017
39,2,21,5.951794113044634
40,2,21,5.960509379553545
1,3,21,10.71364556068211
2,3,21,13.017418108861978
3,3,21,11.326644845573009
4,3,21,8.083895303822143
5,3,21,6.724028376491818
6,3,21,6.817677120103904
7,3,21,7.030391371312568
8,3,21,6.540125027429631
9,3,21,6.2271543102319935
10,3,21,5.873131864938045
11,3,21,5.741816193901344
12,3,21,5.536822344272743
13,3,21,5.265758230031127
14,3,21,5.057522736232801
15,3,21,5.4553880750611325
16,3,21,6.12848103627401
17,3,21,6.371005025494353
18,3,21,6.133669234522184
19,3,21,5.8713806232935974
20,3,21,6.3881486730366435
21,3,21,6.415784677784064
22,3,21,6.757487941500069
23,3,21,6.741039062983738
24,3,21,6.370273184258611
25,3,21,6.259616374981447
26,3,21,5.772008391201852
27,3,21,5.858580673790456
28,3,21,5.698213045038285
29,3,21,5.325939110690231
30,3,21,5.199526652527445
31,3,21,5.0215222958378085
32,3,21,4.87611839109894
33,3,21,4.838898550344337
34,3,21,4.856787008725897
35,3,21,4.915666659733321
36,3,21,5.054325827936768
37,3,21,5.095199473288202
38,3,21,5.061925633416185
39,3,21,5.006821161023197
40,3,21,4.962541981896563
1,4,21,0.9570905795043197
2,4,21,18.00811278029121
3,4,21,10.977535455053058
4,4,21,8.334761056981876
5,4,21,6.849874063383332
6,4,21,5.661664251950203
7,4,21,6.539250624280993
8,4,21,6.279153041480856
9,4,21,6.21592244939162
10,4,21,6.418655660219642
11,4,21,6.935623370231432
12,4,21,6.211808310830245
13,4,21,5.791285213356884
14,4,21,5.16012098636195
15,4,21,5.382552291857356
16,4,21,5.783864020698858
17,4,21,6.027059413533084
18,4,21,5.926433699431944
19,4,21,5.87251693462866
20,4,21,5.908458965113877
21,4,21,5.660745892147367
22,4,21,5.437203710743146
23,4,21,5.101144403614959
24,4,21,4.9446245430394775
25,4,21,5.264404763797365
26,4,21,5.166717574565993
27,4,21,5.496351730675081
28,4,21,5.424629018785575
29,4,21,5.276768819773595
30,4,21,4.93930457523049
31,4,21,4.775287364205598
32,4,21,4.604713337062838
33,4,21,4.4795762359813605
34,4,21,4.481515247752885
35,4,21,4.692906338290369
36,4,21,4.656631425846187
37,4,21,4.747637647282799
38,4,21,4.790891896880525
39,4,21,4.674206765320645
40,4,21,4.784218362325576
1,6,21,5.122715860835321
2,6,21,10.89048410084171
3,6,21,11.996458340307427
4,6,21,10.926543438297758
5,6,21,9.221904429360109
6,6,21,8.099873963148655
7,6,21,8.589242534841368
8,6,21,7.414016261571823
9,6,21,7.140627079435943
10,6,21,6.7508342888552875
11,6,21,6.337144472759297
12,6,21,5.945919448028509
13,6,21,5.792623427340396
14,6,21,5.464826323773993
15,6,21,5.695869487590795
16,6,21,5.602745435749258
17,6,21,5.573333532099292
18,6,21,5.630654058904577
19,6,21,5.3712530386557376
20,6,21,5.283204921086736
21,6,21,5.150843531259926
22,6,21,5.385289256464832
23,6,21,5.391216763494914
24,6,21,5.245625634880402
25,6,21,5.476933652218946
26,6,21,5.318370239577843
27,6,21,5.170041173830501
28,6,21,5.19905625254225
29,6,21,5.0383871107054725
