n,engine_date,hand_date,engine_side,hand_side,engine_shares,hand_shares,engine_price,hand_price,engine_reason,hand_reason,share_diff,price_diff,same
1,2022-07-15,2022-07-15,buy,buy,1704.0893077630487,1704.0893077630487,146.7059260692,146.7059260692,,,0.0,0.0,True
2,2022-08-08,2022-08-08,sell,sell,1704.0893077630487,1704.0893077630487,164.4344459299,164.4344459299,target,target,0.0,0.0,True
3,2022-08-11,2022-08-11,buy,buy,1544.071111370956,1544.071111370956,166.8010905635,166.8010905635,,,0.0,0.0,True
4,2022-08-29,2022-08-29,sell,sell,1544.071111370956,1544.071111370956,158.0618418321,158.0618418321,stop,stop,0.0,0.0,True
5,2022-10-31,2022-10-31,buy,buy,1691.9908906047353,1691.9908906047353,150.2249458436,150.2249458436,,,0.0,0.0,True
6,2022-11-03,2022-11-03,sell,sell,1691.9908906047353,1691.9908906047353,139.337666353,139.337666353,stop,stop,0.0,0.0,True
7,2023-01-24,2023-01-24,buy,buy,1810.4816208516252,1810.4816208516252,137.8494775115,137.8494775115,,,0.0,0.0,True
8,2023-02-03,2023-02-03,sell,sell,1810.4816208516252,1810.4816208516252,152.8222535012,152.8222535012,target,target,0.0,0.0,True
9,2023-02-06,2023-02-06,buy,buy,1710.2089276970844,1710.2089276970844,149.8945101166,149.8945101166,,,0.0,0.0,True
