名稱,類別,參數,成本,成本前annual_excess:SPY,成本後annual_excess:SPY,成本代價,成本前換手,成本後換手,成本前年化,成本後年化,成本前最大回撤,成本後最大回撤,成本前裁決,成本後裁決,成本前run_id,成本後run_id,備註
因子動量排名·加密最優,加密最優,lookback_months=8、mode=winner、cadence=monthly,每股0.005+滑點5bp,0.03567724697965646,0.03316641458805858,-0.0025108323915978836,1.9621946321509627,1.9611641818175662,0.17419694147593567,0.1716861090843378,-0.3368855286411495,-0.33761623917313643,孤峰,孤峰,run-7d49fa518874b385,run-35c3f7e9979fe553,
因子動量排名·加密鄰域最高,加密鄰域最高,lookback_months=4、mode=winner、cadence=monthly,每股0.005+滑點5bp,0.027957083907007796,0.02354032357063085,-0.004416760336376946,3.4698443192615676,3.4678345081407587,0.166476778403287,0.16206001806691006,-0.340822716543434,-0.34082271654343377,山脊,山脊,run-8390921e7dac4626,run-3205dd16a0a4a1d1,
因子動量排名·成本後最優,成本後最優,lookback_months=8、mode=winner、cadence=monthly,每股0.005+滑點5bp,0.03567724697965646,0.03316641458805858,-0.0025108323915978836,1.9621946321509627,1.9611641818175662,0.17419694147593567,0.1716861090843378,-0.3368855286411495,-0.33761623917313643,孤峰,孤峰,run-7d49fa518874b385,run-35c3f7e9979fe553,
