step,note,n_cells,n_10x,n_tickers,AUC_full,AUC_year_weighted,separation,verdict,verdict_note,netcash_pos_10x,netcash_pos_all,netcash_pos_all_yearweighted,false_kill_10x,cull_rate_all,n_years_used
"①舊宇宙+面板v2(補前,即 KARST-166 原口徑)",,35491,436,473,0.6534,0.6483,0.1483,存在,數值大的一邊才是十倍股,0.4037,0.174,0.1628,0.5963,0.826,11
①舊宇宙+面板v2(補後),,37415,449,491,0.6402,0.6365,0.1365,存在,數值大的一邊才是十倍股,0.4076,0.2025,0.1888,0.5924,0.7975,11
②只換面板v3(補前),,27646,326,458,0.6186,0.6238,0.1238,存在,數值大的一邊才是十倍股,0.316,0.1605,0.1435,0.684,0.8395,8
②只換面板v3(補後),,30905,354,480,0.599,0.5996,0.0996,存在,數值大的一邊才是十倍股,0.3503,0.2201,0.2112,0.6497,0.7799,8
②附A 不設美元限制(對照),,30905,354,480,0.599,0.5996,0.0996,存在,數值大的一邊才是十倍股,0.3503,0.2201,0.2112,0.6497,0.7799,8
②附B 連股數也換 v3(對照),,29580,357,457,0.6001,0.5808,0.0808,存在,數值大的一邊才是十倍股,0.3333,0.2107,0.2037,0.6667,0.7893,10
③只換宇宙為小型股名單v1(補前),,3034,73,41,0.7838,0.7824,0.2824,存在,數值大的一邊才是十倍股,0.726,0.1994,0.2092,0.274,0.8006,6
③只換宇宙為小型股名單v1(補後),,3144,73,41,0.7628,0.7684,0.2684,存在,數值大的一邊才是十倍股,0.726,0.2274,0.2308,0.274,0.7726,6
