threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
16.0,0.5,monthly,0.002138420889292947,560,普通,3,3,-0.000244746229990489,-0.0010391352697516343,0.002383167119283436,,False,cadence=monthly,1,-0.0046460087435993835,0.0044012625136088945
16.0,0.5,quarterly,-0.00036449387642223385,188,普通,3,3,-0.0046460087435993835,-0.0060731803659917665,0.00428151486717715,,True,cadence=quarterly,1,-0.000244746229990489,-0.0044012625136088945
16.0,0.75,monthly,0.006608266939275742,560,普通,5,5,0.0003806335157039431,-0.0008648931690104167,0.006227633423571799,17.361232436545748,False,cadence=monthly,1,-0.006890448756239935,0.007271082271943878
16.0,0.75,quarterly,-0.0025039226059477837,188,普通,5,5,-0.006890448756239935,-0.007767753986298365,0.004386526150292151,,False,cadence=quarterly,1,0.0003806335157039431,-0.007271082271943878
16.0,1.0,monthly,0.010549516922639945,269,孤峰,3,3,0.0010936600918299288,-0.0020582921851067435,0.009455856830810017,9.646065538505965,True,cadence=monthly,1,-0.009007165577790466,0.010100825669620395
16.0,1.0,quarterly,-0.005379351335256244,101,普通,3,3,-0.009007165577790466,-0.01021643699196854,0.003627814242534222,,False,cadence=quarterly,1,0.0010936600918299288,-0.010100825669620395
18.0,0.5,monthly,-0.004229260162389004,560,普通,5,5,-0.0024381759933570133,-0.002079959159550615,-0.0017910841690319903,,False,cadence=monthly,1,-0.005705989299585175,0.003267813306228162
18.0,0.5,quarterly,-0.00494953634985551,188,普通,5,5,-0.005705989299585175,-0.0058572798895311085,0.000756452949729665,,False,cadence=quarterly,1,-0.0024381759933570133,-0.003267813306228162
18.0,0.75,monthly,-0.005496412586141641,560,普通,8,8,-0.002561048689641046,-0.0021941282025784714,-0.0029353638965005954,,False,cadence=monthly,1,-0.008391696988395234,0.005830648298754189
18.0,0.75,quarterly,-0.010766082142172007,188,普通,8,8,-0.008391696988395234,-0.008094898844173137,-0.0023743851537767723,,False,cadence=quarterly,1,-0.002561048689641046,-0.005830648298754189
18.0,1.0,monthly,-0.007286730908454331,211,普通,5,5,-0.0025959846544280816,-0.0016578354036228316,-0.004690746254026249,,False,cadence=monthly,1,-0.010948855443716895,0.008352870789288813
18.0,1.0,quarterly,-0.01737930622778583,82,普通,5,5,-0.010948855443716895,-0.009662765286903107,-0.006430450784068934,,False,cadence=quarterly,1,-0.0025959846544280816,-0.008352870789288813
20.0,0.5,monthly,-0.005382691007104867,560,普通,5,5,-0.007840194771613573,-0.008331695524515315,0.002457503764508706,,False,cadence=monthly,1,-0.00976796783917914,0.0019277730675655667
20.0,0.5,quarterly,-0.004518110006977993,188,孤峰,5,5,-0.00976796783917914,-0.01081793940561937,0.005249857832201147,,True,cadence=quarterly,1,-0.007840194771613573,-0.0019277730675655667
20.0,0.75,monthly,-0.008267380033075256,560,普通,8,8,-0.00996755670340336,-0.010180078787194374,0.001700176670328105,,False,cadence=monthly,1,-0.014064210394434371,0.004096653691031011
20.0,0.75,quarterly,-0.011133790816135525,188,普通,8,8,-0.014064210394434371,-0.014430512841721727,0.0029304195782988464,,False,cadence=quarterly,1,-0.00996755670340336,-0.004096653691031011
20.0,1.0,monthly,-0.011683168260812948,169,普通,5,5,-0.012007485677608972,-0.012072349160968176,0.0003243174167960241,,False,cadence=monthly,1,-0.018232800343446764,0.006225314665837792
20.0,1.0,quarterly,-0.01853067953500398,72,普通,5,5,-0.018232800343446764,-0.01817322450513532,-0.00029787919155721543,,False,cadence=quarterly,1,-0.012007485677608972,-0.006225314665837792
22.0,0.5,monthly,-0.008051145095482548,560,普通,5,5,-0.00650159417733757,-0.0061916839937085745,-0.0015495509181449778,,False,cadence=monthly,1,-0.01129928427138475,0.004797690094047179
22.0,0.5,quarterly,-0.007713445132395247,188,普通,5,5,-0.01129928427138475,-0.01201645209918265,0.0035858391389895026,,False,cadence=quarterly,1,-0.00650159417733757,-0.004797690094047179
22.0,0.75,monthly,-0.015614279745488124,560,普通,8,8,-0.00809381563358285,-0.007153757619594692,-0.007520464111905274,,False,cadence=monthly,1,-0.016202455407686476,0.008108639774103626
22.0,0.75,quarterly,-0.019526842587538562,188,普通,8,8,-0.016202455407686476,-0.015786907010204965,-0.003324387179852086,,False,cadence=quarterly,1,-0.00809381563358285,-0.008108639774103626
22.0,1.0,monthly,-0.02369694253168153,154,普通,5,5,-0.009592997510046905,-0.006772208505719979,-0.014103945021634626,,False,cadence=monthly,1,-0.02097495813155174,0.011381960621504835
22.0,1.0,quarterly,-0.032060100752044685,68,普通,5,5,-0.02097495813155174,-0.01875792960745315,-0.011085142620492944,,False,cadence=quarterly,1,-0.009592997510046905,-0.011381960621504835
25.0,0.5,monthly,-0.001852519539376818,560,普通,3,3,-0.006339873505961324,-0.007835658161489492,0.004487353966584506,,False,cadence=monthly,1,-0.013035951201298746,0.006696077695337421
25.0,0.5,quarterly,-0.007740794740494605,188,普通,3,3,-0.013035951201298746,-0.014801003354900125,0.00529515646080414,,False,cadence=quarterly,1,-0.006339873505961324,-0.006696077695337421
25.0,0.75,monthly,0.0001584503565021933,560,普通,5,5,-0.007918516900208764,-0.009533910351550956,0.008076967256710957,,False,cadence=monthly,1,-0.018606586385176798,0.010688069484968034
25.0,0.75,quarterly,-0.017162722344766568,188,普通,5,5,-0.018606586385176798,-0.018895359193258843,0.0014438640404102303,,False,cadence=quarterly,1,-0.007918516900208764,-0.010688069484968034
25.0,1.0,monthly,0.001545335154274241,132,孤峰,3,3,-0.009401859191598305,-0.01305092397355582,0.010947194345872546,,True,cadence=monthly,1,-0.024046319609542732,0.014644460417944427
25.0,1.0,quarterly,-0.027435612753821115,54,普通,3,3,-0.024046319609542732,-0.022916555228116604,-0.0033892931442783825,,False,cadence=quarterly,1,-0.009401859191598305,-0.014644460417944427
