ticker,left_on,yfinance_ok,yfinance,stooq_ok,stooq
ANSS,2025-07-18,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
JNPR,2025-07-09,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
CTLT,2024-12-23,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
WRK,2024-07-08,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
PXD,2024-05-08,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
CDAY,2024-02-01,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
ATVI,2023-10-18,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
SIVB,2023-03-15,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
ABMD,2022-12-22,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
FBHS,2022-12-19,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
NLOK,2022-11-08,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
TWTR,2022-11-01,False,回傳空表,False,"回應不是行情表:<!DOCTYPE html><html><head><meta charset=""utf-8""><meta name="
