ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
NMK,,1996-01-02,2002-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
NRTLQ,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
NSI,,1996-01-02,2001-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
NSM,,1996-01-02,2011-09-26,True,,,no display_name recorded; ticker not in anchors nor current map
NXTL,,1998-04-01,2005-08-15,True,,,no display_name recorded; ticker not in anchors nor current map
NYN,,1996-01-02,1997-08-15,True,,,no display_name recorded; ticker not in anchors nor current map
NYX,,2007-10-25,2013-11-13,True,,,no display_name recorded; ticker not in anchors nor current map
OAT,,1996-01-02,2001-08-03,True,,,no display_name recorded; ticker not in anchors nor current map
ODP,,1999-06-24,2010-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
OK,,1999-12-02,2001-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
OM,,1996-01-02,1996-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
OMX,,1996-01-02,2008-06-23,True,,,no display_name recorded; ticker not in anchors nor current map
ONE,,1996-01-02,2004-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
ORX,,1996-01-02,1999-03-01,True,,,no display_name recorded; ticker not in anchors nor current map
OWENQ,,1996-01-02,2000-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
PAC,,1996-01-02,1997-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
PALM,,2000-07-28,2002-08-14,True,,,no display_name recorded; ticker not in anchors nor current map
PAS,,1996-01-02,1998-01-30,True,,,no display_name recorded; ticker not in anchors nor current map
PBG,,2001-05-14,2010-03-01,True,,,no display_name recorded; ticker not in anchors nor current map
PBY,,1996-01-02,2000-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
PCH,,1996-01-02,2001-07-09,True,,,no display_name recorded; ticker not in anchors nor current map
PCP,,2007-06-01,2016-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
PCS,,1998-11-24,2004-04-23,True,,,no display_name recorded; ticker not in anchors nor current map
PD,,1996-01-02,2007-03-20,True,,,no display_name recorded; ticker not in anchors nor current map
PDCO,,2005-10-11,2018-03-19,True,,,no display_name recorded; ticker not in anchors nor current map
PDG,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
PEAK,,2019-11-05,2024-03-04,True,,,no display_name recorded; ticker not in anchors nor current map
PEL,,1996-01-02,1997-06-19,True,,,no display_name recorded; ticker not in anchors nor current map
PET,,1996-01-02,1998-06-29,True,,,no display_name recorded; ticker not in anchors nor current map
PGL,,1996-01-02,2007-02-22,True,,,no display_name recorded; ticker not in anchors nor current map
PGN,,1996-01-02,2012-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
PHA,,1996-01-02,2003-04-16,True,,,no display_name recorded; ticker not in anchors nor current map
PHB,,1996-01-02,1999-10-04,True,,,no display_name recorded; ticker not in anchors nor current map
PKI,,1996-01-02,2023-05-16,True,,,no display_name recorded; ticker not in anchors nor current map
PMCS,,2001-08-03,2007-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
PMI,,1996-01-02,1996-05-31,True,,,no display_name recorded; ticker not in anchors nor current map
PNU,,1996-01-02,2000-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
PPW,,1996-01-02,1999-11-30,True,,,no display_name recorded; ticker not in anchors nor current map
PRD,,1996-01-02,2000-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
PSFT,,1998-10-02,2004-12-29,True,,,no display_name recorded; ticker not in anchors nor current map
PTV,,1999-11-05,2010-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
PVN,,1996-01-02,2005-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
PVT,,1998-08-31,1999-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
PWER,,2000-10-23,2005-03-14,True,,,no display_name recorded; ticker not in anchors nor current map
PWJ,,1999-06-04,2000-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
PX,,1996-01-02,2018-10-31,True,,,no display_name recorded; ticker not in anchors nor current map
PZE,,1996-01-02,1998-12-31,True,,,no display_name recorded; ticker not in anchors nor current map
QEP,,2010-07-01,2015-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
QTRN,,1999-11-16,2003-09-26,True,,,no display_name recorded; ticker not in anchors nor current map
RAD,,1996-01-02,2000-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
RAL,,1996-01-02,2001-12-13,True,,,no display_name recorded; ticker not in anchors nor current map
RATL,,2002-02-01,2003-02-21,True,,,no display_name recorded; ticker not in anchors nor current map
RBD,,1996-01-02,1999-03-25,True,,,no display_name recorded; ticker not in anchors nor current map
RBK,,1996-01-02,2006-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
RDC,,1996-01-02,2014-08-19,True,,,no display_name recorded; ticker not in anchors nor current map
RDS.A,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
RE,,2017-06-19,2023-07-10,True,,,no display_name recorded; ticker not in anchors nor current map
RLM,,1996-01-02,2000-05-04,True,,,no display_name recorded; ticker not in anchors nor current map
RML,,1996-01-02,2000-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
RNB,,1996-01-02,2000-01-03,True,,,no display_name recorded; ticker not in anchors nor current map
ROH,,1996-01-02,2009-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
RRD,,1996-01-02,2012-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
RSHCQ,,1996-01-02,2011-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
RX,,1996-11-04,2010-02-26,True,,,no display_name recorded; ticker not in anchors nor current map
RYAN,,1996-01-02,1997-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
RYC,,1996-01-02,1999-08-13,True,,,no display_name recorded; ticker not in anchors nor current map
RYI,,1996-01-02,1998-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
S,,1996-01-02,2013-07-09,True,,,no display_name recorded; ticker not in anchors nor current map
SAF,,1996-01-02,2008-09-23,True,,,no display_name recorded; ticker not in anchors nor current map
SAI,,1997-07-17,1999-01-04,True,,,no display_name recorded; ticker not in anchors nor current map
SANM,,2000-06-21,2007-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
SAPE,,2000-05-05,2002-05-13,True,,,no display_name recorded; ticker not in anchors nor current map
SATS,,2026-03-23,2026-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
SB,,1996-01-02,1997-11-28,True,,,no display_name recorded; ticker not in anchors nor current map
SBL,,2000-12-11,2007-01-10,True,,,no display_name recorded; ticker not in anchors nor current map
SCI,,1996-01-02,2000-03-16,True,,,no display_name recorded; ticker not in anchors nor current map
SDS,,2002-07-22,2005-08-12,True,,,no display_name recorded; ticker not in anchors nor current map
SEBL,,2000-05-05,2006-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
SEE,,1998-04-01,2023-12-18,True,,,no display_name recorded; ticker not in anchors nor current map
SEG,,1996-08-16,2000-11-22,True,,,no display_name recorded; ticker not in anchors nor current map
SFA,,1996-01-02,2006-02-27,True,,,no display_name recorded; ticker not in anchors nor current map
SFS,,1996-01-02,1997-07-28,True,,,no display_name recorded; ticker not in anchors nor current map
SGID,,1996-01-02,2000-06-21,True,,,no display_name recorded; ticker not in anchors nor current map
SGP,,1996-01-02,2009-11-04,True,,,no display_name recorded; ticker not in anchors nor current map
SHLD,,2005-03-28,2012-09-05,True,,,no display_name recorded; ticker not in anchors nor current map
SHN,,1996-01-02,1997-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
SII,,2006-10-02,2010-08-27,True,,,no display_name recorded; ticker not in anchors nor current map
SK,,1996-01-02,1998-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
SLR,,1998-12-31,2007-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
SMI,,1996-01-02,2000-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
SMS,,1996-01-02,2000-06-08,True,,,no display_name recorded; ticker not in anchors nor current map
SNT,,1996-01-02,1999-10-26,True,,,no display_name recorded; ticker not in anchors nor current map
SNV,,1997-12-01,2008-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
SOTR,,1999-03-01,2004-11-01,True,,,no display_name recorded; ticker not in anchors nor current map
SOV,,2004-07-01,2009-01-30,True,,,no display_name recorded; ticker not in anchors nor current map
SRR,,1996-01-02,1997-10-07,True,,,no display_name recorded; ticker not in anchors nor current map
SSP,,2005-12-20,2008-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
STJ,,1996-01-02,2017-01-05,True,,,no display_name recorded; ticker not in anchors nor current map
STO,,1996-01-02,1998-11-18,True,,,no display_name recorded; ticker not in anchors nor current map
STR,,2006-12-01,2010-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
SUB,,1998-01-28,2001-03-01,True,,,no display_name recorded; ticker not in anchors nor current map
SUNEQ,,2007-05-31,2011-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
SXCL,,1999-10-01,2001-05-14,True,,,no display_name recorded; ticker not in anchors nor current map
TA,,1996-01-02,1999-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
TCOMA,,1996-01-02,1999-03-10,True,,,no display_name recorded; ticker not in anchors nor current map
TDM,,1996-01-02,1997-09-02,True,,,no display_name recorded; ticker not in anchors nor current map
TEG,,2007-02-22,2015-06-30,True,,,no display_name recorded; ticker not in anchors nor current map
TEK,,1996-01-02,2007-11-16,True,,,no display_name recorded; ticker not in anchors nor current map
TEN,,1996-01-02,1999-11-05,True,,,no display_name recorded; ticker not in anchors nor current map
TEX,,2006-12-20,2008-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
THY,,1996-01-02,1996-10-16,True,,,no display_name recorded; ticker not in anchors nor current map
TIE,,2007-10-29,2012-12-24,True,,,no display_name recorded; ticker not in anchors nor current map
TIF,,2000-06-21,2021-01-07,True,,,no display_name recorded; ticker not in anchors nor current map
TIN,,1996-01-02,2007-12-31,True,,,no display_name recorded; ticker not in anchors nor current map
TKR,,1996-01-02,2001-08-07,True,,,no display_name recorded; ticker not in anchors nor current map
TMC,,1996-01-02,2000-06-13,True,,,no display_name recorded; ticker not in anchors nor current map
TMC.A,,1996-01-02,2000-06-13,True,,,no display_name recorded; ticker not in anchors nor current map
TMK,,1996-01-02,2019-08-08,True,,,no display_name recorded; ticker not in anchors nor current map
TNB,,1996-01-02,2004-08-03,True,,,no display_name recorded; ticker not in anchors nor current map
TOS,,1999-09-20,2001-09-17,True,,,no display_name recorded; ticker not in anchors nor current map
TOY,,1996-01-02,2005-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
TRB,,1996-01-02,2007-12-21,True,,,no display_name recorded; ticker not in anchors nor current map
TRW,,1996-01-02,2002-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
TSG,,2000-03-16,2007-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
TSS,,2008-01-02,2019-09-23,True,,,no display_name recorded; ticker not in anchors nor current map
TUP,,1996-05-31,2004-03-25,True,,,no display_name recorded; ticker not in anchors nor current map
TWC,,2009-03-30,2016-05-18,True,,,no display_name recorded; ticker not in anchors nor current map
TX,,1996-01-02,2001-10-10,True,,,no display_name recorded; ticker not in anchors nor current map
TXU,,1996-01-02,2007-10-10,True,,,no display_name recorded; ticker not in anchors nor current map
UAWGQ,,1996-01-02,2002-05-15,True,,,no display_name recorded; ticker not in anchors nor current map
UCC,,1996-01-02,1999-05-03,True,,,no display_name recorded; ticker not in anchors nor current map
UCL,,1996-01-02,2005-08-11,True,,,no display_name recorded; ticker not in anchors nor current map
UCM,,1996-01-02,2000-10-23,True,,,no display_name recorded; ticker not in anchors nor current map
UIS,,1996-01-02,2008-11-11,True,,,no display_name recorded; ticker not in anchors nor current map
UK,,1996-01-02,2001-02-07,True,,,no display_name recorded; ticker not in anchors nor current map
UMG,,1996-01-02,2000-06-15,True,,,no display_name recorded; ticker not in anchors nor current map
UN,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
UPC,,1998-10-01,2004-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
UPR,,1996-10-16,2000-07-17,True,,,no display_name recorded; ticker not in anchors nor current map
USBC,,1996-01-02,1997-08-04,True,,,no display_name recorded; ticker not in anchors nor current map
USH,,1996-01-02,1997-06-18,True,,,no display_name recorded; ticker not in anchors nor current map
USHC,,1996-01-02,1996-07-19,True,,,no display_name recorded; ticker not in anchors nor current map
USS,,1996-01-02,1998-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
UST,,1996-01-02,2009-01-06,True,,,no display_name recorded; ticker not in anchors nor current map
USW,,1996-01-02,2000-07-03,True,,,no display_name recorded; ticker not in anchors nor current map
UVN,,2001-02-07,2007-03-29,True,,,no display_name recorded; ticker not in anchors nor current map
VAR,,2007-02-12,2021-04-20,True,,,no display_name recorded; ticker not in anchors nor current map
VAT,,1996-01-02,1996-09-06,True,,,no display_name recorded; ticker not in anchors nor current map
VIAC,,2019-12-05,2022-02-17,True,,,no display_name recorded; ticker not in anchors nor current map
VO,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
VRTS,,2000-04-03,2005-07-05,True,,,no display_name recorded; ticker not in anchors nor current map
VSTNQ,,2000-06-29,2006-01-03,True,,,no display_name recorded; ticker not in anchors nor current map
VTSS,,2000-12-12,2002-08-21,True,,,no display_name recorded; ticker not in anchors nor current map
WAI,,1996-01-02,1998-08-11,True,,,no display_name recorded; ticker not in anchors nor current map
WAMUQ,,1997-07-02,2008-09-30,True,,,no display_name recorded; ticker not in anchors nor current map
WB,,1996-01-02,2009-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
WBA,,1996-01-02,2025-08-28,True,,,no display_name recorded; ticker not in anchors nor current map
WCOEQ,,1996-04-01,2002-05-15,True,,,no display_name recorded; ticker not in anchors nor current map
WEN,,1996-01-02,2008-09-30,True,,,no display_name recorded; ticker not in anchors nor current map
WFT,,2005-07-22,2009-02-26,True,,,no display_name recorded; ticker not in anchors nor current map
WIN,,2006-07-18,2015-04-07,True,,,no display_name recorded; ticker not in anchors nor current map
WLA,,1996-01-02,2000-06-20,True,,,no display_name recorded; ticker not in anchors nor current map
WLL,,1996-01-02,2002-02-11,True,,,no display_name recorded; ticker not in anchors nor current map
WLP,,1999-06-09,2004-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
WMX,,1996-01-02,1998-07-17,True,,,no display_name recorded; ticker not in anchors nor current map
WNDXQ,,1996-01-02,2004-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
WOR,,1996-01-02,2004-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
WWY,,1996-01-02,2008-10-07,True,,,no display_name recorded; ticker not in anchors nor current map
WYE,,1996-01-02,2009-10-16,True,,,no display_name recorded; ticker not in anchors nor current map
WYND,,2006-08-01,2018-05-31,True,,,no display_name recorded; ticker not in anchors nor current map
X,,1996-01-02,2014-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
XTO,,2004-12-29,2010-06-28,True,,,no display_name recorded; ticker not in anchors nor current map
YNR,,2000-01-06,2000-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
YRCW,,1996-01-02,1996-11-04,True,,,no display_name recorded; ticker not in anchors nor current map
